bagri_loonkansar,992,hu,I (1st singular),,hu,,bagri
mewari_bhunyakhedi,,hɐgɾi,all,,hɐgɾi,,mewari
mewari_kannouj,,hɐŋgɭa,all,,hɐŋgɭa,,mewari
mewari_bannoda,,hɐŋgɭa,all,,hɐŋgɭa,,mewari
mewari_gorana,,hɐŋgɭu,all,,hɐŋgɭu,,mewari
marwari_bagra,,hɐɾai,all,,hɐɾai,,marwari
mewari_sangad,,hɐ̃gəɭɐi,all,,hɐ̃gəɭɐi,,mewari
marwari_gomat,,hẽŋg,all,,hẽŋg,,marwari
mewari_kalnsas,,puɾɔ,all,,puɾɔ,,mewari
bagri_jamal,,sab,all,,sab,,bagri
mewari_eklingpura,,sagɭa,all,,sagɭa,,mewari
mewari_godra,,san̪d̪a,all,,san̪d̪a,,mewari
hadothi_gothda,,san̪d̪a,all,,san̪d̪a,,hadothi
mewari_khor,,saŋ,all,,saŋ,,mewari
hadothi_pakkarana,13355,saɾa,all,,saɾa,,hadothi
bagri_panjkosi,13355,saɾa,all,,saɾa,,bagri
bagri_makkasar,13355,saɾa,all,,saɾa,,bagri
dhundari_badagaon,13355,saɾa,all,,saɾa,,dhundari
hadothi_patera,13355,saɾa,all,,saɾa,,hadothi
bagri_lakjikirani,13355,saɾa,all,,saɾa,,bagri
bagri_mannaksar,13355,saɾa,all,,saɾa,,bagri
mewati_hathiya,13355,saɾa,all,,saɾa,,mewati
bagri_pallu,13355,saɾa,all,,saɾa,,bagri
mewati_udaka,13355,saɾa,all,,saɾa,,mewati
bagri_fatehabad,13355,saɾa,all,,saɾa,,bagri
hadothi_silori,13355,saɾa,all,,saɾa,,hadothi
bagri_jamal,13355,saɾa,all,,saɾa,,bagri
bagri_sardarsahar,13355,saɾa,all,,saɾa,,bagri
mewati_chirkana,13355,saɾa,all,,saɾa,,mewati
dhundari_deladi,13355,saɾa,all,,saɾa,,dhundari
mewati_gulpeda,13355,saɾa,all,,saɾa,,mewati
mewati_goyla,13355,saɾa,all,,saɾa,,mewati
bagri_karnigedda,13355,saɾa,all,,saɾa,,bagri
hadothi_devpura,13355,saɾaj,all,,saɾaj,,hadothi
hadothi_kawai,13355,saɾajɪ,all,,saɾajɪ,,hadothi
bagri_old_abaddi,13355,saɾe,all,,saɾe,,bagri
dhundari_bhagatpur,13355,saɾɐ,all,,saɾɐ,,marwari
hadothi_gothda,13355,saɾɐj,all,,saɾɐj,,hadothi
dhundari_bhagatpur,13355,saɾʌ,all,,saɾʌ,,dhundari
hadothi_shyampura,13355,saɾ̪aj,all,,saɾ̪aj,,hadothi
mewari_pathera,13355,saɾ̪ɐ,all,,saɾ̪ɐ,,mewari
dhundari_pathalvas,13355,saɾ̪ɐ,all,,saɾ̪ɐ,,dhundari
mewari_kishanji,13355,saɾ̪ɐ,all,,saɾ̪ɐ,,mewari
dhundari_bamore,13355,saɾ̪ɐji,all,,saɾ̪ɐji,,dhundari
hadothi_piplia,13276,sɐb,all,,sɐb,,hadothi
mewari_padarada,13276,sɐb,all,,sɐb,,mewari
mewati_gulpeda,13276,sɐb,all,,sɐb,,mewati
dhundari_pathalvas,13276,sɐb,all,,sɐb,,dhundari
mewari_jesingpura,13276,sɐb,all,,sɐb,,mewari
mewati_akera,13276,sɐb,all,,sɐb,,mewati
mewari_basad,13276,sɐb,all,,sɐb,,mewari
mewati_udaka,13276,sɐb,all,,sɐb,,mewati
mewari_dholpura,13276,sɐb,all,,sɐb,,mewari
mewati_jakhopur,13276,sɐb,all,,sɐb,,mewati
hadothi_kelwada,13276,sɐbɐɾɛ,all,,sɐbɐɾɛ,,hadothi
dhundari_badagaon,,sɐgɐɭɐ,all,,sɐgɐɭɐ,,marwari
dhundari_bhagatpur,,sɐgɐɭɐ,all,,sɐgɐɭɐ,,marwari
dhundari_chalkoi,,sɐgɐɭɐ,all,,sɐgɐɭɐ,,marwari
bagri_mirzawala,,sɐgɖɐ,all,,sɐgɖɐ,,bagri
mewari_ajmer,,sɐgəɭɐ,all,,sɐgəɭɐ,,mewari
bagri_pallu,,sɐgɭɑ,all,,sɐgɭɑ,,bagri
bagri_mannaksar,,sɐgɭɑ,all,,sɐgɭɑ,,bagri
bagri_loonkansar,,sɐgɭɑ,all,,sɐgɭɑ,,bagri
hadothi_pakkarana,,sɐn̪d̪aj,all,,sɐn̪d̪aj,,hadothi
mewati_jhambaus,13276,səb,all,,səb,,mewati
mewati_hathiya,13276,səb,all,,səb,,mewati
dhundari_jorpura,13276,sʌbɭa,all,,sʌbɭa,,dhundari
dhundari_chalkoi,,sʌgʌɭɐ,all,,sʌgʌɭɐ,,dhundari
dhundari_bhagatpur,,sʌgʌɭʌ,all,,sʌgʌɭʌ,,dhundari
marwari_husangsar,,sʌgːɭa,all,,sʌgːɭa,,marwari
marwari_degana,,ʂɐgɭaji,all,,ʂɐgɭaji,,marwari
dhundari_badagaon,,ʃʌgʌɭa,all,,ʃʌgʌɭa,,dhundari
mewari_sangad,3193,kiɖi,ant,,kiɖi,,mewari
mewari_kalnsas,3193,kiɖi,ant,,kiɖi,,mewari
mewari_kalgav,3193,kiɖi,ant,,kiɖi,,mewari
marwari_kherwa,3193,kiɖi,ant,,kiɖi,,marwari
mewari_kannouj,3193,kiɖi,ant,,kiɖi,,mewari
dhundari_bamore,3193,kiɖi,ant,,kiɖi,,dhundari
bagri_panjkosi,3193,kiɖi,ant,,kiɖi,,bagri
mewari_basad,3193,kiɖi,ant,,kiɖi,,mewari
dhundari_badagaon,3193,kiɖi,ant,,kiɖi,,marwari
bagri_pallu,3193,kiɖi,ant,,kiɖi,,bagri
mewari_bannoda,3193,kiɖi,ant,,kiɖi,,mewari
mewari_jesingpura,3193,kiɖi,ant,,kiɖi,,mewari
bagri_old_abaddi,3193,kiɖi,ant,,kiɖi,,bagri
mewari_ajmer,3193,kiɖi,ant,,kiɖi,,mewari
bagri_mirzawala,3193,kiɖi,ant,,kiɖi,,bagri
bagri_karnigedda,3193,kiɖi,ant,,kiɖi,,bagri
bagri_mannaksar,3193,kiɖi,ant,,kiɖi,,bagri
hadothi_piplia,3193,kiɖi,ant,,kiɖi,,hadothi
bagri_fatehabad,3193,kiɖi,ant,,kiɖi,,bagri
marwari_degana,3193,kiɖi,ant,,kiɖi,,marwari
dhundari_jorpura,3193,kiɖi,ant,,kiɖi,,dhundari
mewari_gorana,3193,kiɖi,ant,,kiɖi,,mewari
mewari_khor,3193,kiɖi,ant,,kiɖi,,mewari
mewari_kishanji,3193,kiɖi,ant,,kiɖi,,mewari
mewari_dholpura,3193,kiɖi,ant,,kiɖi,,mewari
dhundari_chalkoi,3193,kiɖi,ant,,kiɖi,,dhundari
bagri_makkasar,3193,kiɖi,ant,,kiɖi,,bagri
marwari_bagra,3193,kiɖi,ant,,kiɖi,,marwari
bagri_lakjikirani,3193,kiɖi,ant,,kiɖi,,bagri
mewari_godra,3193,kiɖi,ant,,kiɖi,,mewari
marwari_mukheri,3193,kiɖi,ant,,kiɖi,,marwari
mewari_padarada,3193,kiɖi,ant,,kiɖi,,mewari
mewari_hurda,3193,kiɖi,ant,,kiɖi,,mewari
mewati_jhambaus,3193,kiɖi,ant,,kiɖi,,mewati
dhundari_bhagatpur,3193,kiɖi,ant,,kiɖi,,dhundari
hadothi_gothda,3193,kiɖi,ant,,kiɖi,,hadothi
marwari_gomat,3193,kiɖi,ant,,kiɖi,,marwari
mewari_eklingpura,3193,kiɖi,ant,,kiɖi,,mewari
hadothi_silori,3193,kiɖi,ant,,kiɖi,,hadothi
mewari_dindoli,3193,kiɖi,ant,,kiɖi,,mewari
bagri_loonkansar,3193,kiɖi,ant,,kiɖi,,bagri
mewari_bhunyakhedi,3193,kiɖi,ant,,kiɖi,,mewari
marwari_husangsar,3193,kiɖi,ant,,kiɖi,,marwari
dhundari_chalkoi,3193,kiɖi,ant,,kiɖi,,marwari
bagri_jamal,3193,kiɖi,ant,,kiɖi,,bagri
marwari_falna,3193,kiɖi,ant,,kiɖi,,marwari
bagri_sardarsahar,3193,kiɖi,ant,,kiɖi,,bagri
marwari_fatehgarh,3193,kiɖi,ant,,kiɖi,,marwari
dhundari_bhagatpur,3193,kiɖi,ant,,kiɖi,,marwari
mewari_padarada,9749,makɔ,ant,,makɔ,,mewari
dhundari_bhagatpur,9749,mɐkɔɖa,ant,,mɐkɔɖa,,marwari
dhundari_bhagatpur,9749,mʌkɔɖa,ant,,mʌkɔɖa,,dhundari
dhundari_bamore,9749,mʌːkɔɽi,ant,,mʌːkɔɽi,,dhundari
dhundari_badagaon,4822,tʃiɖi,ant,,tʃiɖi,,dhundari
hadothi_devpura,4822,tʃiʈi,ant,,tʃiʈi,,hadothi
hadothi_pakkarana,4822,tʃiʈi,ant,,tʃiʈi,,hadothi
hadothi_shyampura,4822,tʃiʈi,ant,,tʃiʈi,,hadothi
hadothi_kawai,4822,tʃiʈi,ant,,tʃiʈi,,hadothi
hadothi_patera,4822,tʃiʈi,ant,,tʃiʈi,,hadothi
dhundari_pathalvas,4822,tʃɪ̃ʈi,ant,,tʃɪ̃ʈi,,dhundari
dhundari_deladi,4822,tʃɪ̃ʈi,ant,,tʃɪ̃ʈi,,dhundari
mewari_pathera,4822,tʃɪ̃ʈi,ant,,tʃɪ̃ʈi,,mewari
mewati_chirkana,4822,tʃɪ̃ʈi,ant,,tʃɪ̃ʈi,,mewati
mewati_goyla,4822,tʃẽiʈi,ant,,tʃẽiʈi,,mewati
mewati_jakhopur,4822,tʃẽiʈi,ant,,tʃẽiʈi,,mewati
mewati_hathiya,4822,tʃẽiʈi,ant,,tʃẽiʈi,,mewati
mewati_akera,4822,tʃẽiʈi,ant,,tʃẽiʈi,,mewati
mewati_gulpeda,4822,tʃẽiʈi,ant,,tʃẽiʈi,,mewati
mewati_udaka,4822,tʃẽiʈi,ant,,tʃẽiʈi,,mewati
hadothi_kelwada,4822,tʃẽʈi,ant,,tʃẽʈi,,hadothi
bagri_lakjikirani,9229,ba,arm,,ba,,bagri
bagri_old_abaddi,9229,ba,arm,,ba,,bagri
bagri_jamal,9229,ba,arm,,ba,,bagri
bagri_fatehabad,9229,ba,arm,,ba,,bagri
bagri_loonkansar,9229,ba,arm,,ba,,bagri
bagri_mirzawala,9229,ba,arm,,ba,,bagri
bagri_sardarsahar,9229,ba,arm,,ba,,bagri
bagri_panjkosi,9229,ba,arm,,ba,,bagri
mewati_chirkana,,badʒu,arm,,badʒu,,mewati
mewati_jhambaus,,badʒu,arm,,badʒu,,mewati
mewati_gulpeda,,badʒu,arm,,badʒu,,mewati
mewati_jhambaus,9229,bahã,arm,,bahã,,mewati
mewati_jakhopur,9229,bahã,arm,,bahã,,mewati
dhundari_jorpura,9229,bajẽ,arm,,bajẽ,,dhundari
dhundari_jorpura,9229,baʋɭijɔ,arm,,baʋɭijɔ,,dhundari
dhundari_chalkoi,,budʒa,arm,,budʒa,,marwari
mewari_kannouj,,budʒa,arm,,budʒa,,mewari
dhundari_chalkoi,,budʒɐ,arm,,budʒɐ,,dhundari
marwari_husangsar,,bukhja,arm,,bukhja,,marwari
mewari_kalgav,9229,bã,arm,,bã,,mewari
mewari_ajmer,9229,bãh,arm,,bãh,,mewari
mewati_goyla,9229,bãh,arm,,bãh,,mewati
mewati_akera,9229,bãh,arm,,bãh,,mewati
mewari_kishanji,9229,bãu,arm,,bãu,,mewari
dhundari_bhagatpur,9229,bãvɭjɐ,arm,,bãvɭjɐ,,marwari
dhundari_bhagatpur,9229,bãvɭjʌ,arm,,bãvɭjʌ,,dhundari
mewati_hathiya,9229,bãːh,arm,,bãːh,,mewati
mewati_udaka,9229,bãːh,arm,,bãːh,,mewati
bagri_panjkosi,9229,bɑ̃h,arm,,bɑ̃h,,bagri
bagri_mirzawala,9229,bɑ̃h,arm,,bɑ̃h,,bagri
marwari_fatehgarh,9229,bɔ̃,arm,,bɔ̃,,marwari
mewati_gulpeda,,bɦudʒa,arm,,bɦudʒa,,mewati
marwari_kherwa,9229,bʌʋɖa,arm,,bʌʋɖa,,marwari
mewari_sangad,14024,hat̪,arm,,hat̪,,mewari
mewari_basad,14024,hat̪,arm,,hat̪,,mewari
mewari_godra,14024,hat̪,arm,,hat̪,,mewari
mewari_bannoda,14024,hat̪,arm,,hat̪,,mewari
dhundari_bhagatpur,14024,hat̪,arm,,hat̪,,marwari
bagri_loonkansar,14024,hat̪,arm,,hat̪,,bagri
mewari_khor,14024,hat̪,arm,,hat̪,,mewari
bagri_sardarsahar,14024,hat̪,arm,,hat̪,,bagri
dhundari_deladi,14024,hat̪,arm,,hat̪,,dhundari
marwari_bagra,14024,hat̪,arm,,hat̪,,marwari
dhundari_badagaon,14024,hat̪,arm,,hat̪,,dhundari
mewari_kalnsas,14024,hat̪,arm,,hat̪,,mewari
bagri_karnigedda,14024,hat̪,arm,,hat̪,,bagri
dhundari_pathalvas,14024,hat̪,arm,,hat̪,,dhundari
mewari_dindoli,14024,hat̪,arm,,hat̪,,mewari
mewari_dholpura,14024,hat̪,arm,,hat̪,,mewari
mewari_bhunyakhedi,14024,hat̪,arm,,hat̪,,mewari
dhundari_bhagatpur,14024,hat̪,arm,,hat̪,,dhundari
mewari_eklingpura,14024,hat̪,arm,,hat̪,,mewari
mewari_pathera,14024,hat̪,arm,,hat̪,,mewari
mewari_kannouj,14024,hat̪,arm,,hat̪,,mewari
bagri_pallu,14024,hat̪,arm,,hat̪,,bagri
marwari_falna,14024,hat̪,arm,,hat̪,,marwari
marwari_mukheri,14024,hat̪,arm,,hat̪,,marwari
mewati_akera,14024,hat̪h,arm,,hat̪h,,mewati
marwari_gomat,14024,hat̪h,arm,,hat̪h,,marwari
dhundari_bamore,14024,hat̪h,arm,,hat̪h,,dhundari
mewari_jesingpura,14024,hat̪h,arm,,hat̪h,,mewari
marwari_degana,14024,hat̪h,arm,,hat̪h,,marwari
mewari_padarada,14024,hat̪h,arm,,hat̪h,,mewari
mewari_gorana,14024,hat̪hə,arm,,hat̪hə,,mewari
dhundari_bamore,14024,haʈh,arm,,haʈh,,dhundari
bagri_makkasar,14024,hɑt̪h,arm,,hɑt̪h,,bagri
bagri_mannaksar,14024,hɑt̪h,arm,,hɑt̪h,,bagri
mewari_hurda,13627,khɐn̪d̪ɔ,arm,,khɐn̪d̪ɔ,,mewari
dhundari_badagaon,13627,kɐn̪d̪a,arm,,kɐn̪d̪a,,marwari
dhundari_badagaon,13627,kʌn̪d̪a,arm,,kʌn̪d̪a,,dhundari
hadothi_piplia,,badʒu,arm (whole),,badʒu,,hadothi
hadothi_kelwada,9229,bahə,arm (whole),,bahə,,hadothi
hadothi_kelwada,,bɦʊdʒa,arm (whole),,bɦʊdʒa,,hadothi
hadothi_patera,,bʊdʒa,arm (whole),,bʊdʒa,,hadothi
hadothi_gothda,14024,hat̪,arm (whole),,hat̪,,hadothi
hadothi_pakkarana,14024,hat̪,arm (whole),,hat̪,,hadothi
hadothi_patera,14024,hat̪,arm (whole),,hat̪,,hadothi
hadothi_shyampura,14024,hat̪,arm (whole),,hat̪,,hadothi
hadothi_kawai,14024,hat̪,arm (whole),,hat̪,,hadothi
hadothi_silori,14024,hat̪,arm (whole),,hat̪,,hadothi
hadothi_devpura,14024,hat̪,arm (whole),,hat̪,,hadothi
hadothi_piplia,14024,hat̪,arm (whole),,hat̪,,hadothi
mewari_kalnsas,,bani,ash,,bani,,mewari
hadothi_shyampura,,bani,ash,,bani,,hadothi
hadothi_kawai,,bani,ash,,bani,,hadothi
mewari_godra,,bani,ash,,bani,,mewari
hadothi_kelwada,,bani,ash,,bani,,hadothi
