OM,>d1029,oka,vomit,,,,"southworth2005m[p. 9, table 1, row 9, item 177]",,"Old Marathi form printed in Southworth's OM Att. column for modern Marathi okṇe. Southworth classifies this item as Drav. (SD). Immediate source forms: Ka Tu ōkk-; Tu ōṁk-. Proto-form: PSD *ōṅkk- (DEDR 1029). Old Marathi attestation: oka, approximately 1300.",southworth2005m:p9:t1:r09:old-marathi,,,,loanword verb
M,>d1109,kaḍe,"side, direction",,,,"southworth2005m[p. 9, table 1, row 10 and p. 10, table 2A, item 8]",,"Southworth classifies this item as Drav. (SD). Immediate source forms: Ka Tu Te kaḍa. Proto-form: PD *kaṭ-ai (DEDR 1109). Old Marathi attestation: the Marathi lexical item, approximately 1290. Table 2A item 8 gives OIA/source marker Mn and distribution (source abbreviations as printed): Pa=+; Pk=+; Gy=blank; D=blank; Kf=blank; Dr=blank; K=blank; S=blank; PL=blank; Ph=blank; N=blank; A=+; B=blank; O=+; Bi=blank; Av=blank; H=+; R=blank; G=+; M=+; Ko=blank; Si=blank.",southworth2005m:p9:t1:r10:marathi,,,,loanword
M,>d4632,matsya,mole on skin,,,,"southworth2005m[p. 9, table 1, row 11]",,Southworth classifies this item as Drav. (SD). Immediate source forms: Ka Te macca. Proto-form: PD *maccu (DEDR 4632).,southworth2005m:p9:t1:r11:marathi,,,,loanword
M,>d5347,bāḷant(iṇ),lying-in woman,,,,"southworth2005m[p. 9, table 1, row 12]",,"Southworth classifies this item as Drav. (SD). Immediate source forms: Te bāḷ-inta/enta. Proto-form: PSD *val-ant- (DEDR 5347). Old Marathi attestation: the Marathi lexical item, approximately 1278.",southworth2005m:p9:t1:r12:marathi,,,,loanword
M,>d4493,boṭ,"finger, toe",,,,"southworth2005m[p. 9, table 1, row 13]",,"Southworth classifies this item as Drav. (SD). Immediate source forms: Ka boṭṭu; Go boṭ(ṭ)a. Proto-form: PSD *poṭṭ- (DEDR 4493). Old Marathi attestation: the Marathi lexical item, approximately 1290.",southworth2005m:p9:t1:r13:marathi,,,,loanword
M,>d4673,maṇgaṭ,"wrist, ankle",,,,"southworth2005m[p. 9, table 1, row 14 and p. 10, table 2A, item 9]",,Southworth classifies this item as Drav. (SD). Immediate source forms: Ka Te maṇi-kaṭṭu. Proto-form: PD *maṇi-ka(ṇ)ṭṭu (DEDR 4673). Table 2A item 9 gives OIA/source marker - and distribution (source abbreviations as printed): Pa=blank; Pk=blank; Gy=blank; D=blank; Kf=blank; Dr=blank; K=blank; S=blank; PL=blank; Ph=blank; N=blank; A=blank; B=blank; O=blank; Bi=blank; Av=blank; H=+; R=blank; G=blank; M=+; Ko=blank; Si=blank.,southworth2005m:p9:t1:r14:marathi,,,,loanword
M,>d4677,māṇḍi,thigh,,,,"southworth2005m[p. 9, table 1, row 15]",,"Southworth classifies this item as Drav. (SD). Immediate source forms: Ka maṇḍi. Proto-form: PSD *maṇṭi (DEDR 4677). Old Marathi attestation: the Marathi lexical item, approximately 1278.",southworth2005m:p9:t1:r15:marathi,,,,loanword
M,>d2540,cimuṭṇe,"squeeze, pinch",,,,"southworth2005m[p. 9, table 1, row 16]",,"Southworth classifies this item as Drav. (SD). Immediate source forms: Ka cimuṭu. Proto-form: PSD1 *cim-i(ṇ)ṭ/u(ṇ)ṭ- (DEDR 2540). Old Marathi attestation: the Marathi lexical item, approximately 1290.",southworth2005m:p9:t1:r16:marathi,,,,loanword verb
M,>d3739,niṭ,"neat, proper",,,,"southworth2005m[p. 9, table 1, row 17]",,"Southworth classifies this item as Drav. (SD). Immediate source forms: Ka Tu niṭa. Proto-form: P(S)D *niṭṭa (DEDR 3739). Old Marathi attestation: the Marathi lexical item, approximately 1290.",southworth2005m:p9:t1:r17:marathi,,,,loanword
M,>d364,āi,mother,,,,"southworth2005m[p. 9, table 1, row 18, item 97 and p. 10, table 2A, item 7]",,"Southworth classifies this item as Drav. (SD1). Immediate source forms: Ka āyi. Proto-form: PD *āy (DEDR 364). Old Marathi attestation: the Marathi lexical item, approximately 1353. The dagger identifies the reconstruction as coming from Krishnamurti (2003:523-533). Table 2A item 7 gives OIA/source marker - and distribution (source abbreviations as printed): Pa=blank; Pk=blank; Gy=blank; D=blank; Kf=blank; Dr=?; K=blank; S=+; PL=blank; Ph=blank; N=+; A=+; B=+; O=+; Bi=blank; Av=blank; H=blank; R=blank; G=+; M=+; Ko=blank; Si=blank.",southworth2005m:p9:t1:r18:marathi,,,,loanword
M,>d4722,mecṇe,approve,,,,"southworth2005m[p. 9, table 1, row 19]",,"Southworth classifies this item as Drav. (SD1). Immediate source forms: Ka meccu; Tu meccuni. Proto-form: PD *meccu- (DEDR 4722). Old Marathi attestation: mecu, approximately 1290.",southworth2005m:p9:t1:r19:marathi,,,,loanword verb
OM,>d4722,mecu,approve,,,,"southworth2005m[p. 9, table 1, row 19]",,"Old Marathi form printed in Southworth's OM Att. column for modern Marathi mecṇe. Southworth classifies this item as Drav. (SD1). Immediate source forms: Ka meccu; Tu meccuni. Proto-form: PD *meccu- (DEDR 4722). Old Marathi attestation: mecu, approximately 1290.",southworth2005m:p9:t1:r19:old-marathi,,,,loanword verb
M,>d2548,śimpṇe,sprinkle,,,,"southworth2005m[p. 9, table 1, row 20]",,"Southworth classifies this item as Drav. (SD1). Immediate source forms: Ka simp-. Proto-form: PSD *cim(p)- (DEDR 2548). Old Marathi attestation: the Marathi lexical item, approximately 1290.",southworth2005m:p9:t1:r20:marathi,,,,loanword verb
M,>d1670,giḍḍ(@),short and thick,,,,"southworth2005m[p. 9, table 1, row 21]",,Southworth classifies this item as Drav. (SD1). Immediate source forms: Ka giḍḍu. Proto-form: PSD1 *kiṭṭ- (DEDR 1670).,southworth2005m:p9:t1:r21:marathi,,,,loanword adj
M,>d1651,ḍokə,head,,,,"southworth2005m[p. 9, table 1, row 22, item 68 and p. 10, table 2A, item 10]",,"Southworth classifies this item as Drav. (SD2). Immediate source forms: Ki ḍōka 'pot' (< *kḍōka). Proto-form: PD *kuṭak(k)a- (DEDR 1651). Old Marathi attestation: ḍoi, approximately 1278. Table 2A item 10 gives OIA/source marker - and distribution (source abbreviations as printed): Pa=blank; Pk=blank; Gy=blank; D=blank; Kf=blank; Dr=?; K=blank; S=blank; PL=blank; Ph=?; N=?; A=blank; B=blank; O=blank; Bi=blank; Av=blank; H=+; R=blank; G=+; M=+; Ko=blank; Si=blank.",southworth2005m:p9:t1:r22:marathi,,,,loanword
OM,>d1651,ḍoi,head,,,,"southworth2005m[p. 9, table 1, row 22, item 68]",,"Old Marathi form printed in Southworth's OM Att. column for modern Marathi ḍokə. Southworth classifies this item as Drav. (SD2). Immediate source forms: Ki ḍōka 'pot' (< *kḍōka). Proto-form: PD *kuṭak(k)a- (DEDR 1651). Old Marathi attestation: ḍoi, approximately 1278.",southworth2005m:p9:t1:r22:old-marathi,,,,loanword
M,>d449,ḍāv@,left,,,,"southworth2005m[p. 9, table 1, row 23, item 87 and p. 10, table 2A, item 6]",,"Southworth classifies this item as Drav. (SD2). Immediate source forms: Te ḍā. Proto-form: PD *iṭai (DEDR 449). Old Marathi attestation: ḍāv, approximately 1290. Table 2A item 6 gives OIA/source marker - and distribution (source abbreviations as printed): Pa=blank; Pk=+; Gy=blank; D=blank; Kf=blank; Dr=blank; K=blank; S=+; PL=+; Ph=+; N=+; A=blank; B=+; O=+; Bi=+; Av=blank; H=+; R=blank; G=+; M=+; Ko=blank; Si=blank.",southworth2005m:p9:t1:r23:marathi,,,,loanword adj
OM,>d449,ḍāv,left,,,,"southworth2005m[p. 9, table 1, row 23, item 87]",,"Old Marathi form printed in Southworth's OM Att. column for modern Marathi ḍāv@. Southworth classifies this item as Drav. (SD2). Immediate source forms: Te ḍā. Proto-form: PD *iṭai (DEDR 449). Old Marathi attestation: ḍāv, approximately 1290.",southworth2005m:p9:t1:r23:old-marathi,,,,loanword adj
M,>d513,lek,child,,,,"southworth2005m[p. 9, table 1, row 24]",,"Southworth classifies this item as Drav. (SD2/CD). Immediate source forms: Te lēka; Nk lēṅga. Proto-form: PSD2 < PD *lenk- < *iḷa(ṅ)(k)- (DEDR 513). Old Marathi attestation: the Marathi lexical item, approximately 1290.",southworth2005m:p9:t1:r24:marathi,,,,loanword
M,>d1278,karapṇe,scorch,,,,"southworth2005m[p. 9, table 1, row 25]",,"Southworth classifies this item as Drav. (SD2/CD). Immediate source forms: Pa karup-. Proto-form: PD *karu- (DEDR 1278). Old Marathi attestation: the Marathi lexical item, approximately 1278.",southworth2005m:p9:t1:r25:marathi,,,,loanword verb
