B,,akaʃ,sky,,akaʃ,lexical-similarity group 1,"kim-kim-sangma-ahmad2011tripura[wordlist item 1, site 0 Bangla]",,,siltripura2011:i001:0:1,,,,dialect:B:tripura2011-0-bangla:Bangla%20%28%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site l Katchaptali]",,,siltripura2011:i002:l:1,,,,dialect:Kokborok:tripura2011-l-katchaptali:Katchaptali%20%28Usoi%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site m Laiphu Karbaripara]",,,siltripura2011:i002:m:1,,,,dialect:Kokborok:tripura2011-m-laiphu-karbaripara:Laiphu%20Karbaripara%20%28Anok%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site n Krishna Dayalpara]",,,siltripura2011:i002:n:1,,,,dialect:Kokborok:tripura2011-n-krishna-dayalpara:Krishna%20Dayalpara%20%28Kewa%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site o Jarichandrapara]",,,siltripura2011:i002:o:1,,,,dialect:Kokborok:tripura2011-o-jarichandrapara:Jarichandrapara%20%28Phatung%29
Kokborok,,ʂa,sun,,ʂa,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site p Doluchara]",,,siltripura2011:i002:p:1,,,,dialect:Kokborok:tripura2011-p-doluchara:Doluchara%20%28Debbarma%29
Kokborok,,ʂal,sun,,ʂal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site c Dolchari]",,,siltripura2011:i002:c:1,,,,dialect:Kokborok:tripura2011-c-dolchari:Dolchari%20%28Gabing%29
Kokborok,,ʂal,sun,,ʂal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site d Lombapara]",,,siltripura2011:i002:d:1,,,,dialect:Kokborok:tripura2011-d-lombapara:Lombapara%20%28Naitong%29
Kokborok,,ʂal,sun,,ʂal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site e Pakkhipara]",,,siltripura2011:i002:e:1,,,,dialect:Kokborok:tripura2011-e-pakkhipara:Pakkhipara%20%28Kema%29
Kokborok,,ʂal,sun,,ʂal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site i Beltolipara]",,,siltripura2011:i002:i:1,,,,dialect:Kokborok:tripura2011-i-beltolipara:Beltolipara%20%28Khali%29
Kokborok,,ʂal,sun,,ʂal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site o Jarichandrapara]",,,siltripura2011:i002:o:2,,,,dialect:Kokborok:tripura2011-o-jarichandrapara:Jarichandrapara%20%28Phatung%29
Kokborok,,ʂal,sun,,ʂal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site q Satchari Tripura Basti]",,,siltripura2011:i002:q:1,,,,dialect:Kokborok:tripura2011-q-satchari-tripura-basti:Satchari%20Tripura%20Basti%20%28Debbarma%29
Kokborok,,ʂal,sun,,ʂal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site r Khumulung]",,,siltripura2011:i002:r:1,,,,dialect:Kokborok:tripura2011-r-khumulung:Khumulung%20%28Debbarma%29
Kokborok,,ʂal,sun,,ʂal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site t Oldlankar]",,,siltripura2011:i002:t:1,,,,dialect:Kokborok:tripura2011-t-oldlankar:Oldlankar%20%28Riang%29
Kokborok,,ʃal,sun,,ʃal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site s Barbakpur]",,,siltripura2011:i002:s:1,,,,dialect:Kokborok:tripura2011-s-barbakpur:Barbakpur%20%28Mukchak%29
Garo,,ʃal,sun,,ʃal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site u Gajni]",,,siltripura2011:i002:u:1,,,,dialect:Garo:tripura2011-u-gajni:Gajni%20%28Abeng%29
Garo,,ʃal,sun,,ʃal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site v Nagar Sontosh]",,,siltripura2011:i002:v:1,,,,dialect:Garo:tripura2011-v-nagar-sontosh:Nagar%20Sontosh%20%28Chibok%29
Garo,,raŋʃan,sun,,raŋʃan,lexical-similarity group 4,"kim-kim-sangma-ahmad2011tripura[wordlist item 2, site w Nalchapra]",,,siltripura2011:i002:w:1,,,,dialect:Garo:tripura2011-w-nalchapra:Nalchapra%20%28A%E2%80%99tong%29
B,,tʃãd,moon,,tʃãd,lexical-similarity group 1,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site 0 Bangla]",,,siltripura2011:i003:0:1,,,,dialect:B:tripura2011-0-bangla:Bangla%20%28%29
Kokborok,,ta,moon,,ta,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site a Boro Pharangsia]",,,siltripura2011:i003:a:1,,,,dialect:Kokborok:tripura2011-a-boro-pharangsia:Boro%20Pharangsia%20%28Usoi%29
Kokborok,,ta,moon,,ta,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site b Choto Madhuk]",,,siltripura2011:i003:b:1,,,,dialect:Kokborok:tripura2011-b-choto-madhuk:Choto%20Madhuk%20%28Usoi%29
Kokborok,,ta,moon,,ta,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site c Dolchari]",,,siltripura2011:i003:c:1,,,,dialect:Kokborok:tripura2011-c-dolchari:Dolchari%20%28Gabing%29
Kokborok,,ta,moon,,ta,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site e Pakkhipara]",,,siltripura2011:i003:e:1,,,,dialect:Kokborok:tripura2011-e-pakkhipara:Pakkhipara%20%28Kema%29
Kokborok,,ta,moon,,ta,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site f Tongpaipara]",,,siltripura2011:i003:f:1,,,,dialect:Kokborok:tripura2011-f-tongpaipara:Tongpaipara%20%28Tongpai%29
Kokborok,,ta,moon,,ta,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site g Mildhanpara]",,,siltripura2011:i003:g:1,,,,dialect:Kokborok:tripura2011-g-mildhanpara:Mildhanpara%20%28Aslong%29
Kokborok,,ta,moon,,ta,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site h Noimail Gutchagram]",,,siltripura2011:i003:h:1,,,,dialect:Kokborok:tripura2011-h-noimail-gutchagram:Noimail%20Gutchagram%20%28Dendak%29
Kokborok,,ta,moon,,ta,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site j Robertpara]",,,siltripura2011:i003:j:1,,,,dialect:Kokborok:tripura2011-j-robertpara:Robertpara%20%28Usoi%29
Kokborok,,ta,moon,,ta,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site k Bethanipara]",,,siltripura2011:i003:k:1,,,,dialect:Kokborok:tripura2011-k-bethanipara:Bethanipara%20%28Usoi%29
Kokborok,,ta,moon,,ta,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site l Katchaptali]",,,siltripura2011:i003:l:1,,,,dialect:Kokborok:tripura2011-l-katchaptali:Katchaptali%20%28Usoi%29
Kokborok,,tal,moon,,tal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site d Lombapara]",,,siltripura2011:i003:d:1,,,,dialect:Kokborok:tripura2011-d-lombapara:Lombapara%20%28Naitong%29
Kokborok,,tal,moon,,tal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site i Beltolipara]",,,siltripura2011:i003:i:1,,,,dialect:Kokborok:tripura2011-i-beltolipara:Beltolipara%20%28Khali%29
Kokborok,,tal,moon,,tal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site m Laiphu Karbaripara]",,,siltripura2011:i003:m:1,,,,dialect:Kokborok:tripura2011-m-laiphu-karbaripara:Laiphu%20Karbaripara%20%28Anok%29
Kokborok,,tal,moon,,tal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site n Krishna Dayalpara]",,,siltripura2011:i003:n:1,,,,dialect:Kokborok:tripura2011-n-krishna-dayalpara:Krishna%20Dayalpara%20%28Kewa%29
Kokborok,,tal,moon,,tal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site o Jarichandrapara]",,,siltripura2011:i003:o:1,,,,dialect:Kokborok:tripura2011-o-jarichandrapara:Jarichandrapara%20%28Phatung%29
Kokborok,,tal,moon,,tal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site p Doluchara]",,,siltripura2011:i003:p:1,,,,dialect:Kokborok:tripura2011-p-doluchara:Doluchara%20%28Debbarma%29
Kokborok,,tal,moon,,tal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site q Satchari Tripura Basti]",,,siltripura2011:i003:q:1,,,,dialect:Kokborok:tripura2011-q-satchari-tripura-basti:Satchari%20Tripura%20Basti%20%28Debbarma%29
Kokborok,,tal,moon,,tal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site r Khumulung]",,,siltripura2011:i003:r:1,,,,dialect:Kokborok:tripura2011-r-khumulung:Khumulung%20%28Debbarma%29
Kokborok,,tal,moon,,tal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site s Barbakpur]",,,siltripura2011:i003:s:1,,,,dialect:Kokborok:tripura2011-s-barbakpur:Barbakpur%20%28Mukchak%29
Kokborok,,tal,moon,,tal,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site t Oldlankar]",,,siltripura2011:i003:t:1,,,,dialect:Kokborok:tripura2011-t-oldlankar:Oldlankar%20%28Riang%29
Garo,,dʒadʒoŋ,moon,,dʒadʒoŋ,lexical-similarity group 4,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site u Gajni]",,,siltripura2011:i003:u:1,,,,dialect:Garo:tripura2011-u-gajni:Gajni%20%28Abeng%29
Garo,,dʒadʒoŋ,moon,,dʒadʒoŋ,lexical-similarity group 4,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site v Nagar Sontosh]",,,siltripura2011:i003:v:1,,,,dialect:Garo:tripura2011-v-nagar-sontosh:Nagar%20Sontosh%20%28Chibok%29
Garo,,tʃaŋ ɨi ̯,moon,,tʃaŋ ɨi ̯,lexical-similarity group 5,"kim-kim-sangma-ahmad2011tripura[wordlist item 3, site w Nalchapra]",,,siltripura2011:i003:w:1,,,,dialect:Garo:tripura2011-w-nalchapra:Nalchapra%20%28A%E2%80%99tong%29
B,,taɾa,star,,taɾa,lexical-similarity group 1,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site 0 Bangla]",,,siltripura2011:i004:0:1,,,,dialect:B:tripura2011-0-bangla:Bangla%20%28%29
Kokborok,,athɔkkhrɔi ̯,star,,athɔkkhrɔi ̯,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site t Oldlankar]",,,siltripura2011:i004:t:1,,,,dialect:Kokborok:tripura2011-t-oldlankar:Oldlankar%20%28Riang%29
Kokborok,,athukguri,star,,athukguri,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site s Barbakpur]",,,siltripura2011:i004:s:1,,,,dialect:Kokborok:tripura2011-s-barbakpur:Barbakpur%20%28Mukchak%29
Kokborok,,athukiri,star,,athukiri,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site q Satchari Tripura Basti]",,,siltripura2011:i004:q:1,,,,dialect:Kokborok:tripura2011-q-satchari-tripura-basti:Satchari%20Tripura%20Basti%20%28Debbarma%29
Kokborok,,athukiri,star,,athukiri,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site r Khumulung]",,,siltripura2011:i004:r:1,,,,dialect:Kokborok:tripura2011-r-khumulung:Khumulung%20%28Debbarma%29
Kokborok,,athukrɔi ̯,star,,athukrɔi ̯,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site a Boro Pharangsia]",,,siltripura2011:i004:a:1,,,,dialect:Kokborok:tripura2011-a-boro-pharangsia:Boro%20Pharangsia%20%28Usoi%29
Kokborok,,athukrɔi ̯,star,,athukrɔi ̯,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site b Choto Madhuk]",,,siltripura2011:i004:b:1,,,,dialect:Kokborok:tripura2011-b-choto-madhuk:Choto%20Madhuk%20%28Usoi%29
Kokborok,,athukrɔi ̯,star,,athukrɔi ̯,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site j Robertpara]",,,siltripura2011:i004:j:1,,,,dialect:Kokborok:tripura2011-j-robertpara:Robertpara%20%28Usoi%29
Kokborok,,athukrɔi ̯,star,,athukrɔi ̯,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site k Bethanipara]",,,siltripura2011:i004:k:1,,,,dialect:Kokborok:tripura2011-k-bethanipara:Bethanipara%20%28Usoi%29
Kokborok,,athukrɔi ̯,star,,athukrɔi ̯,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site l Katchaptali]",,,siltripura2011:i004:l:1,,,,dialect:Kokborok:tripura2011-l-katchaptali:Katchaptali%20%28Usoi%29
Kokborok,,athukurui ̯,star,,athukurui ̯,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site p Doluchara]",,,siltripura2011:i004:p:1,,,,dialect:Kokborok:tripura2011-p-doluchara:Doluchara%20%28Debbarma%29
Kokborok,,handoguɾi,star,,handoguɾi,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site o Jarichandrapara]",,,siltripura2011:i004:o:1,,,,dialect:Kokborok:tripura2011-o-jarichandrapara:Jarichandrapara%20%28Phatung%29
Kokborok,,handugiɾi,star,,handugiɾi,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site d Lombapara]",,,siltripura2011:i004:d:1,,,,dialect:Kokborok:tripura2011-d-lombapara:Lombapara%20%28Naitong%29
Kokborok,,handugiɾi,star,,handugiɾi,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site f Tongpaipara]",,,siltripura2011:i004:f:1,,,,dialect:Kokborok:tripura2011-f-tongpaipara:Tongpaipara%20%28Tongpai%29
Kokborok,,handugiɾi,star,,handugiɾi,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site h Noimail Gutchagram]",,,siltripura2011:i004:h:1,,,,dialect:Kokborok:tripura2011-h-noimail-gutchagram:Noimail%20Gutchagram%20%28Dendak%29
Kokborok,,handukguɾi,star,,handukguɾi,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site i Beltolipara]",,,siltripura2011:i004:i:1,,,,dialect:Kokborok:tripura2011-i-beltolipara:Beltolipara%20%28Khali%29
Kokborok,,handukhiɾi,star,,handukhiɾi,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site e Pakkhipara]",,,siltripura2011:i004:e:1,,,,dialect:Kokborok:tripura2011-e-pakkhipara:Pakkhipara%20%28Kema%29
Kokborok,,handukhiɾi,star,,handukhiɾi,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site m Laiphu Karbaripara]",,,siltripura2011:i004:m:1,,,,dialect:Kokborok:tripura2011-m-laiphu-karbaripara:Laiphu%20Karbaripara%20%28Anok%29
Kokborok,,hantukuɾi,star,,hantukuɾi,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site n Krishna Dayalpara]",,,siltripura2011:i004:n:1,,,,dialect:Kokborok:tripura2011-n-krishna-dayalpara:Krishna%20Dayalpara%20%28Kewa%29
Kokborok,,ʂandugiɾi,star,,ʂandugiɾi,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site c Dolchari]",,,siltripura2011:i004:c:1,,,,dialect:Kokborok:tripura2011-c-dolchari:Dolchari%20%28Gabing%29
Kokborok,,ʂantokɪɾi,star,,ʂantokɪɾi,lexical-similarity group 3,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site g Mildhanpara]",,,siltripura2011:i004:g:1,,,,dialect:Kokborok:tripura2011-g-mildhanpara:Mildhanpara%20%28Aslong%29
Garo,,aʃki,star,,aʃki,lexical-similarity group 4,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site u Gajni]",,,siltripura2011:i004:u:1,,,,dialect:Garo:tripura2011-u-gajni:Gajni%20%28Abeng%29
Garo,,askui ̯,star,,askui ̯,lexical-similarity group 4,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site w Nalchapra]",,,siltripura2011:i004:w:1,,,,dialect:Garo:tripura2011-w-nalchapra:Nalchapra%20%28A%E2%80%99tong%29
Garo,,aʃikhi,star,,aʃikhi,lexical-similarity group 5,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site v Nagar Sontosh]",,,siltripura2011:i004:v:1,,,,dialect:Garo:tripura2011-v-nagar-sontosh:Nagar%20Sontosh%20%28Chibok%29
Garo,,aʃki,star,,aʃki,lexical-similarity group 5,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site u Gajni]",,,siltripura2011:i004:u:2,,,,dialect:Garo:tripura2011-u-gajni:Gajni%20%28Abeng%29
Kokborok,,athukguri,star,,athukguri,lexical-similarity group 6,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site s Barbakpur]",,,siltripura2011:i004:s:2,,,,dialect:Kokborok:tripura2011-s-barbakpur:Barbakpur%20%28Mukchak%29
Kokborok,,handukguɾi,star,,handukguɾi,lexical-similarity group 6,"kim-kim-sangma-ahmad2011tripura[wordlist item 4, site i Beltolipara]",,,siltripura2011:i004:i:2,,,,dialect:Kokborok:tripura2011-i-beltolipara:Beltolipara%20%28Khali%29
B,,mɛgh,cloud,,mɛgh,lexical-similarity group 1,"kim-kim-sangma-ahmad2011tripura[wordlist item 5, site 0 Bangla]",,,siltripura2011:i005:0:1,,,,dialect:B:tripura2011-0-bangla:Bangla%20%28%29
Kokborok,,dʒumoi ̯,cloud,,dʒumoi ̯,lexical-similarity group 2,"kim-kim-sangma-ahmad2011tripura[wordlist item 5, site b Choto Madhuk]",,,siltripura2011:i005:b:1,,,,dialect:Kokborok:tripura2011-b-choto-madhuk:Choto%20Madhuk%20%28Usoi%29
