Kalk,9661,dra,brother,,drɑ,cited for the dental assimilation of the bilabial-plus-/r/ cluster,"kalkoti[p. 131, table 1];kalkoti[p. 147, table 16];kalkoti[p. 136, n. 6]",,,kalkoti:t1:1,,,,noun sg m dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6984,nam,nine,,,,"kalkoti[p. 134, table 5]",,,kalkoti:t5:9,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6227,deeš,ten,,,,"kalkoti[p. 134, table 5]",,,kalkoti:t5:10,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,2485,akaaš,eleven,,,,"kalkoti[p. 134, table 5]",,,kalkoti:t5:11,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6658,baaš,twelve,,,,"kalkoti[p. 134, table 5]",,,kalkoti:t5:12,,,,num dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,traateedubiš,forty-three,,,,"kalkoti[p. 134, table 6]",,,kalkoti:t6:43,,,,num compound dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,2892,traam,work,,trɑːm,the article prints this element only inside the expression it cites in table 3,"kalkoti[p. 137, table 8];kalkoti[p. 133, table 3]",,,kalkoti:t8:2,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,6368,driɡ,"long, tall",,driɡ,,"kalkoti[p. 137, table 8]",,,kalkoti:t8:3,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4368,draam,village,,drɑːm,"cited in example (8): ‘In our village, there is a place called Shelkin.’; cited for the stable word-initial /dr/ cluster","kalkoti[p. 137, table 8];kalkoti[p. 147, example 8];kalkoti[p. 136]",,,kalkoti:t8:4,,,,noun dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,13573,siir,sun,,,,"kalkoti[p. 137, table 9]",,,kalkoti:t9:1,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5798,taár,star,,tɑː(ʔ)r,Liljegren analyses this word as carrying a high tone.; high-rising tone (melody 4),"kalkoti[p. 137, table 9];kalkoti[p. 144, table 13];kalkoti[p. 142, table 12]",,Liljegren compares Palula tóoru and OIA tāraká- (Turner 1966: 5798).,kalkoti:t9:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,43,ic̣ii,eye,,,"cited for its final open syllable, matching stressed-final Palula ac̣híi","kalkoti[p. 137, table 9];kalkoti[p. 137]",,,kalkoti:t9:3,,,,noun f dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,3438,trimii,worm,,,,"kalkoti[p. 137, table 9]",,,kalkoti:t9:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,13254,sär,lake,,sær,Liljegren analyses this word as carrying no underlying tone.; high level tone (melody 1),"kalkoti[p. 144, table 13];kalkoti[p. 142, table 12]",,Liljegren compares Palula sáar and OIA sáras- (Turner 1966: 13254).,kalkoti:t13:1,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,2830,kaan,ear,,kɑːn,Liljegren analyses this word as carrying no underlying tone.; high level tone (melody 1),"kalkoti[p. 144, table 13];kalkoti[p. 142, table 12]",,Liljegren compares Palula káaṇ and OIA kárṇa- (Turner 1966: 2830).,kalkoti:t13:2,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5589,ḍä̀är,belly,,ɖæːr,Liljegren analyses this word as carrying a low tone.; low level tone (melody 2),"kalkoti[p. 144, table 13];kalkoti[p. 142, table 12]",,Liljegren compares Palula ḍheér and OIA *ḍhēḍḍha- (Turner 1966: 5589).,kalkoti:t13:3,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12379,šaàk,wood,,ɕɑːk,Liljegren analyses this word as carrying a low tone.; high-falling tone (melody 5),"kalkoti[p. 144, table 13];kalkoti[p. 142, table 12]",,Liljegren compares Palula šaák and OIA śākhyá- (Turner 1966: 12379).,kalkoti:t13:4,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,11572,baál,hair,,bɑː(ʔ)l,Liljegren analyses this word as carrying a high tone.; high-rising tone (melody 4),"kalkoti[p. 144, table 13];kalkoti[p. 142, table 12]",,Liljegren compares Palula bóolu and OIA va ̄́la- (Turner 1966: 11572).,kalkoti:t13:6,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,4516,ɡòór,horse,,ɡoː(ʔ)r,Liljegren analyses this word as carrying a low-high tone.; low-rising tone (melody 3),"kalkoti[p. 144, table 13];kalkoti[p. 142, table 12]",,Liljegren compares Palula ɡhúuṛu and OIA ɡhōṭa- (Turner 1966: 4516).,kalkoti:t13:7,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,5009,čhèél,goat,,ʨʰeː(ʔ)l,Liljegren analyses this word as carrying a low-high tone.; Liljegren prints CDIAL 4963 for this word; Jambu links it to 5009 instead; low-rising tone (melody 3),"kalkoti[p. 144, table 13];kalkoti[p. 142, table 12]",,Liljegren compares Palula čhéeli and OIA chaɡalikā- (Turner 1966: 4963).,kalkoti:t13:8,,,,dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,mi,I,,,cited in example (4): ‘I brought a letter from him.’,"kalkoti[p. 145, table 14];kalkoti[p. 146, example 4]",,,kalkoti:t14:1sg:obl2,,,,pron personal 1sg obl erg gen dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,thi,you (singular),,,printed as t(h)i; the parenthesised segment is optional; cited in example (17): ‘Did you take the book?’,"kalkoti[p. 145, table 14];kalkoti[p. 150, example 17]",,,kalkoti:t14:2sg:obl2,,,,pron personal 2sg obl erg gen dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,roo,"he, she, it (proximate)",,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3sg:near:nom,,,,pron personal prox 3sg nom dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,räs,"he, she, it (proximate)",,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3sg:near:obl1,,,,pron personal prox 3sg obl acc dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,rä,"he, she, it (proximate)",,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3sg:near:obl2,,,,pron personal prox 3sg obl erg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,räsi,"he, she, it (proximate)",,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3sg:near:gen,,,,pron personal prox 3sg gen dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,soo,"he, she, it (remote)",,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3sg:far:nom,,,,pron personal dist 3sg nom dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,täs,"he, she, it (remote)",,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3sg:far:obl1,,,,pron personal dist 3sg obl acc dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tä,"he, she, it (remote)",,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3sg:far:obl2,,,,pron personal dist 3sg obl erg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,täsi,"he, she, it (remote)",,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3sg:far:gen,,,,pron personal dist 3sg gen dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,is,we,,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:1pl:obl2,,,,pron personal 1pl obl erg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,äsi,we,,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:1pl:gen,,,,pron personal 1pl gen dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tusi,you (plural),,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:2pl:gen,,,,pron personal 2pl gen dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ränaa,they (proximate),,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3pl:near:obl1,,,,pron personal prox 3pl obl acc dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,rin,they (proximate),,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3pl:near:obl2,,,,pron personal prox 3pl obl erg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,räni,they (proximate),,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3pl:near:gen,,,,pron personal prox 3pl gen dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tin,they (remote),,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3pl:far:nom,,,,pron personal dist 3pl nom obl erg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tän,they (remote),,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3pl:far:nom:a2,,,,pron personal dist 3pl nom obl erg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tänaa,they (remote),,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3pl:far:obl1,,,,pron personal dist 3pl obl acc dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,tänaami,they (remote),,,,"kalkoti[p. 145, table 14]",,,kalkoti:t14:3pl:far:gen,,,,pron personal dist 3pl gen dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,12707,šii,house,,,cited in example (5): ‘Did you see that white house?’,"kalkoti[p. 147, table 16];kalkoti[p. 146, example 5]",,,kalkoti:t16:1:sg,,,,noun sg pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,13747,theer,hand,,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:2:sg,,,,noun sg pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,drai,brother,,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:3:pl,,,,noun pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,puu,"boy, son",,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:4:sg,,,,noun sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,lärkoor,"boy, son",,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:4:pl,,,,noun pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,lukuṭoor,"boy, son",,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:4:pl:a2,,,,noun pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,pee,"girl, daughter",,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:5:sg,,,,noun sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,lärkeer,"girl, daughter",,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:5:pl,,,,noun pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,9828,meeš,man,,,cited in example (7): ‘Zaman remembers this man.’,"kalkoti[p. 147, table 16];kalkoti[p. 147, example 7]",,,kalkoti:t16:6:sg,,,,noun sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,mišaal,man,,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:6:pl,,,,noun pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,xäläq,man,,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:6:pl:a2,,,,noun pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,treer,woman,,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:7:sg,,,,noun sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,triyaal,woman,,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:7:pl,,,,noun pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ḍakṭar,doctor,,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:8:sg,,,,noun sg dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
Kalk,,ḍakṭaraan,doctor,,,,"kalkoti[p. 147, table 16]",,,kalkoti:t16:8:pl,,,,noun pl dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29
