m13,*gəˀt,,cut (v),Pinnow: V334.<br>MKCD: *\*sguut; \*[s]gət; \*sgat* 'to be cut short; to cut' (972). Attested in Mon; Khasi Viet-Muong / Khmuic; Aslian / Khmer; South Bahnaric.
m14,*v₉laŋ/ᵊlaŋ,,thatch,"Pinnow: V270.<br>MKCD: *\*[p]laŋ; \*[p]laiŋ* 'thatching-grass' (749). Attested in Khmer; Katuic; Palaungic; Khasi / Khmuic, Viet-Muong."
m15,*ɟv₁₀m,,eat (v),Pinnow: V385.<br>MKCD: *\*cuum; \*cuəm; \*cəm; (\*cim cim >) \*ncim; \*ciəm (& \*nciəm?); \*caim * 'to eat; to feed' (1327). Attested in Palaungic / Palaungic / South Bahnaric; Central Aslian / Mon; Khmer; South Bahnaric / Bahnaric / Kuy.
m16,*bul,,drunk,Pinnow: V105.<br>MKCD: *\*ɓul; \*ɓuul* 'drunk' (1765). Attested in Khmer; Bahnaric / Mon; Katuic; Khmuic; Central & South Aslian.
m17,*buluuˀ,,thigh,Pinnow: V145.<br>MKCD: *\*bluuʔ* 'thigh' (223). Attested in Khmer; Bahnaric; Katuic; Khmuic; Palaungic; Central Aslian; Nicobaric.
m18,*bv₁₃lv₁₁,,ripe,Pinnow: V232.<br>MKCD: —.
m19,*bv₁₄rəl,,raw,Pinnow: V253.<br>MKCD: —.
m20,*səreŋ,,stone,Pinnow: V183.<br>MKCD: *\*[ ]rɁa[a]ŋ* 'rock' (B42?). Attested in Palaungic.
m21,*sv₁₄ŋəl/*sᵊŋəl,,fuel,Pinnow: V252.<br>MKCD: *\*j[n]ŋəl* 'fire' (1723). Attested in Palaungic.
m22,*bel,,spread (vt),Pinnow: V221.<br>MKCD: *\*b[e]l (& \*beel?)* 'to spread a mat' (1761). Attested in Mon; South Bahnaric; Palaungic; Central Aslian.
m23,*bal,,burn (v),Pinnow: .<br>MKCD: —.
m24,*tol,,tie (v),Pinnow: V191.<br>MKCD: —.
m25,*riˀt,,grind (v),Pinnow: V76.<br>MKCD: *\*riit; \*riət* 'to rotate; go round; to grind' (1056). Attested in Katuic; Palaungic / Mon; Palaungic; Khasi.
m26,*k₂v₄su/*k₂ᵊsu,,fever/pain,Pinnow: V247.<br>MKCD: *\*[c]uuʔ* 'to be sick' (44). Attested in Khmuic; Palaungic.
m27,*tuɲ,,shoot (v),Pinnow: V107.<br>MKCD: ** '' (896a?). Attested in .
m28,*sim,,chicken,Pinnow: V315.<br>MKCD: *\*cim; \*ciim; \*ciəm; \*caim; \*cum* 'bird' (1324). Attested in Bahnaric; ?Central & South Aslian / South Bahnaric; Palaungic; Viet-Muong; Mon; North Bahnaric; Central Aslian / Kuy / South Bahnaric; Nicobaric.
m29,*ɟoˀt,,wipe (v),Pinnow: V190.<br>MKCD: *\*[ ]jut; \*[ ]juut* 'to wipe' (994). Attested in Mon / Khmer; Katuic; South Bahnaric; Khasi; ?North Aslian.
m30,*ɟo(o)ˀ,,fruit / to bear fruit (v),Pinnow: V188.<br>MKCD: —.
m31,*ɟoˀk,,sweep (v),Pinnow: .<br>MKCD: —.
m32,*arel,,hail/pebble,Pinnow: V225.<br>MKCD: *\*pril; \*priəl; by metathesis \*pliir; \*pliər* 'hail' (1791). Attested in Khmer; Palaungic / North Bahnaric / Plaungic / Khasi / Mon / Bahnaric Khmuic.
m33,*juˀp,,night,Pinnow: V280.<br>MKCD: *\*yup; \*y[uu]p; \*yəp* 'dark' (1268). Attested in Khasi; North & Central Aslian; ?Nicobaric / North Bahnaric / Khmer; Bahnaric.
m34,*tv₁₅ruˀp,,cloud,Pinnow: V285a.<br>MKCD: *\*[k]t₁əəp* 'cloud; precipitation' (1255). Attested in Mon; Palaungic.
m35,*v₁la(aˀ/ˀk)/ᵊla(aˀ/ˀk),,leaf,Pinnow: V50.<br>MKCD: *\*slaʔ* 'leaf' (230). Attested in Mon; Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Viet-Muong; Aslian.
m36,*usal,,skin,Pinnow: V149.<br>MKCD: —.
m37,*lv₁₈ᴺdv₂₀,,laugh (v),Pinnow: V302.<br>MKCD: —.
m38,*sv₂maŋ,,forehead/front,Pinnow: V269.<br>MKCD: —.
m39,*bv₁₆toŋ,,fear,Pinnow: V261.<br>MKCD: *\*ʔt₁uuŋ* 'afraid; to fear' (552). Attested in Kuy; Khasi; Aslian.
m40,*ɖv₂₁ɲ,,cook (v),Pinnow: V342.<br>MKCD: *\*kɗaŋ* 'to cook' (583). Attested in South Bahnaric; Palaungic.
m41,*bv₃ɲ(ˀ),,snake,Pinnow: V353.<br>MKCD: *\*[b]saɲʔ* 'snake' (937). Attested in Katuic; Palaungic; Khasi; Viet-Muong.
m42,*sv₂₂,,plough (v),Pinnow: V99.<br>MKCD: *\*bcuər* 'to plough' (1599). Attested in Khmer; Katuic; South Bahnaric.
m43,*ɟal,,lick (v),Pinnow: V13.<br>MKCD: *\*[c]limʔ; \*[c]liəmʔ; \*[c]laim[ ]* 'to lick' (1409). Attested in Viet-Muong / Mon; North Bahnaric; Viet-Muong / Khmer / Khasi.
m44,*gum,,winnow (v),Pinnow: K159.<br>MKCD: *\*gum; \*guum; \*g[əə]m* 'to winnow' (1317). Attested in South Bahnaric / Mon; Khmuic; Palaungic / Central Aslian.
m45,*bɨˀt,,sow (v),Pinnow: V285.<br>MKCD: —.
m46,*v₂₃sin,,boil (v),Pinnow: V86.<br>MKCD: *\*\*ciinʔ (> Pre-Bahnaric \*cin); \*ciən[ ]; \*cain[ ]* 'cooked' (1137). Attested in Mon; Khmer; Bahnaric; Khmuic; Palaungic; Viet-Muong / Aslian; Nicobaric / Katuic.
m47,*dal,,cover (v),Pinnow: V3.<br>MKCD: *\*kdiil; \*kdiəl; \*kdəl* 'to cover' (1745). Attested in South Bahnaric / North Bahnaric / Mon; Katuic; Bahnaric; Viet-Muong.
m48,*saˀp,,grab (v),Pinnow: .<br>MKCD: *\*[j]ɓat; \*[j]ɓaat; \*[j]ɓuut; \*[j]ɓuət* 'to feel; to grasp' (1042). Attested in Mon; South Bahnaric; Palaungic; Khasi.
m49,*tv₂₄l,,bury (v),Pinnow: .<br>MKCD: *\*t₁iil; \*t₁əl (or \*t₁il?)* 'to plant; to sow' (1733). Attested in South Bahnaric; Mon.
m50,*tv₁₉ŋv₂₅n/tv₁₉nv₂₅ŋ,,stand (v),Pinnow: .<br>MKCD: *\*taaw* 'to stand' (1824). Attested in Mon; South Bahnaric; ?Khasi.
m51,*goˀc/goj,,die (v),Pinnow: .<br>MKCD: —.
m52,*ɲv₂₆r,,run (v),"Pinnow: K294.<br>MKCD: *\*jarʔ* 'quick, to run' (1602). Attested in South Bahnaric; Viet-Muong; Central Aslian."
m53,*tᵊme,,new,Pinnow: V184.<br>MKCD: *\*t₁miʔ* 'new' (144). Attested in Khmer; Katuic; South Bahnaric; Khmuic; Viet-Muong; Nicobaric; Mon; Palaungic; Khasi.
m54,A:*boŋtel; B:*bitkil,,buffalo,Pinnow: .<br>MKCD: —.
m55,*v₁₄sər,,dry,"Pinnow: .<br>MKCD: *\*rɔʔ; \*rɔs, (\*rɔs rɔs >?) \*srɔs* 'dry' (160). Attested in Bahnaric; Khasi; ?Palaungic; Viet-Muong / Khmer; South Bahnaric; Nicobar."
m56,*k₂aˀp,,bite (v),Pinnow: V294.<br>MKCD: *\*kap; \*kaap* 'to bite' (1231). Attested in Khmer; Katuic; North Bahnaric; Khasi; North & Central Aslian / Nicobaric.
m57,*peˀt,,blow (v),Pinnow: V157.<br>MKCD: *\*puut; \*p[əə]t* 'to blow' (1023). Attested in Palaungic; North & Central Aslian / North & Central Aslian.
m58,*geˀp,,burn (vi),Pinnow: .<br>MKCD: —.
m59,A:*miɲam; B:majom,,blood,Pinnow: .<br>MKCD: *\*jhaam; \*jhiim* 'blood' (1430). Attested in Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Aslian; Nicobarese.
m60,*soŋ,,buy/sell (vt),Pinnow: .<br>MKCD: —.
m61,*sv₆bv₁₂l,,sweet,Pinnow: V257.<br>MKCD: —.
m62,*tv₃ŋ,,kindle (v),Pinnow: .<br>MKCD: *\*t₁uuŋ* 'to light' (549). Attested in Palaungic.
m63,*lv₂₉ˀc,,stomach,Pinnow: K282.<br>MKCD: *\*ruuc; \*ruəc* 'intestine' (844). Attested in Mon; South Bahnaric; Central Aslian / Katuic; South Bahnaric; Viet-Muong.
m64,*mv₄raŋ,,big,Pinnow: K107.<br>MKCD: —.
m65,*əsel,,white,Pinnow: V255.<br>MKCD: —.
m66,*bv₁₆rv₁₇(ˀp/ˀk),,lungs,Pinnow: .<br>MKCD: —.
m67,*v₁₅li,,liquor,Pinnow: V85.<br>MKCD: —.
m68,*ruᴺku(ˀp/ˀk),,husked rice,Pinnow: V139.<br>MKCD: *\*rk[aw]ʔ (& \*rkaawʔ?)* 'husked rice' (1820). Attested in Khmer; Katuic; Palaungic; Viet-Muong; North & Central Aslian.
m69,*ɟəlu,,meat,Pinnow: V228.<br>MKCD: —.
m70,*uli,,mango (ripe),Pinnow: .<br>MKCD: —.
m71,A:*roj; B:*roko,,fly,Pinnow: K356.<br>MKCD: *Pre-Proto-Mon-Khmer \*ru[wa]y > \*ruy; \*ruuy; \*ruəy; Pre-Proto-Mon- Khmer \*ruhay* 'fly' (1534). Attested in Khmer / Mon; Nicobaric / Katuic; Bahnaric; Khmuic; Palaungic; Viet-Muong; Central & South Aslian / South Bahnaric.
m72,*saŋsaŋ,,turmeric/yellow,Pinnow: .<br>MKCD: —.
m73,*lutur,,ear,Pinnow: V147.<br>MKCD: *\*kt₂uur; \*kt₂uər* 'ear' (1621). Attested in South Bahnaric; Palaungic; ?Katuic / Mon; Khasi.
m74,*muuˀ,,nose,Pinnow: V387.<br>MKCD: *\*muh; \*muuh; \*muus* 'nose' (2045). Attested in Mon; Katuic; Bahnaric; Khmuic; Khasi; Aslian; Nicobaric / Palaungic; Central Aslian / Palaungic; VIet-Muong.
m75,*siŋi,,sun,Pinnow: V286.<br>MKCD: *\*t₂ŋiiʔ* 'sun; day' (31). Attested in Mon; Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Viet-Mương; South Aslian; Nicobaric.
m76,*daˀp,,cover (v),Pinnow: V3.<br>MKCD: *\*dəp / \*ɗəp; \*ɗəəp; \*ɗap; \*ɗaap; \*ɗup; \*ɗuup; \*ɗuəp; \*[ɗ]ip; \*ɗiəp* 'to block; dam / to cover ' (1260/1261). Attested in Khmer; Katuic; Bahnaric; Palaungic; Viet-Muong // Mon; Khmer; Bahnaric; Palaungic; Khasi; Viet-Muong; Nicobaric / Bahnaric / Khmer; Viet-Muong; Nicobaric / Palaungic; Nicobaric / South Bahnaric; Khasi; Nicobaric / Khmer; North Bahnaric; Palaungic; Viet-Muong; ?South Bahnaric / Mon; North Bahnaric / Khmer / Viet-Muong.
m77,*gəle,,ear of corn,Pinnow: V182.<br>MKCD: *\*gur; \*guər* 'ear of grain' (1577). Attested in Palaungic / Khmer.
m78,*bar,,two,"Pinnow: V49.<br>MKCD: *Pre-Proto-Mon-Khmer \*biʔaar > \*ɓaar, Pre-Khmer \*[ɓ]ir, Pre-Palaungic &c. \*ʔaar* 'two' (1562). Attested in Mon; Khmer; Katuic; Bahnaric; Palaung; Khasi; Viet-Muong; Nicobaric; Aslian."
m79,*ɟa; ɟaaˀ; ɟaˀt,,additive.particle,Pinnow: V1.<br>MKCD: —.
m80,*gam,,say (v),Pinnow: V12.<br>MKCD: —.
m81,*maraˀk,,peacock,Pinnow: V27.<br>MKCD: *\*mraik[ ]* 'peacock' (416). Attested in Mon; South Bahnaric; Palaungic.
m82,*ɟv₃₆lv₃₇N,,long/tall,Pinnow: V340.<br>MKCD: *\*jliiŋ (& \*jliŋ?); \*jla[i]ŋ* 'long' (740). Attested in Mon; Palaungic; South Aslian; Nicobaric / Palaungic.
m83,*tv₁₅rel,,ebony,Pinnow: V227.<br>MKCD: —.
m84,*sv₆l₁₂ˀp,,gazelle,Pinnow: V233.<br>MKCD: —.
m85,*pəˀt,,cross (v),Pinnow: .<br>MKCD: —.
m86,*ten,,trample (v),Pinnow: K306.<br>MKCD: *\*t₁een * 'to tread' (1153a). Attested in Katuic; Khmuic.
m87,*sv₃₀n,,chase (v),Pinnow: V300.<br>MKCD: *\*təɲ* 'to chase' (899). Attested in Khmer; South Bahnaric.
m88,*ɲam,,get (v),Pinnow: .<br>MKCD: *\*cap; \*caap; \*ciəp; \*cip; \*cup* 'to seize' (1243). Attested in Khmer; South Bahnaric; Central Aslian / Katuic; Nicobaric / North Bahnaric; North & Central Aslian / Khmer; Khmuic / Bahnaric.
m89,*gur,,fall/rain (v),Pinnow: V106.<br>MKCD: *\*guur* 'to fall; be shed' (1579). Attested in Mon; Palaungic; ?North Aslian.
m90,*uˀt,,drink/swallow (v),Pinnow: V142.<br>MKCD: *\*hut; \*huut; \*huət; \*huc; \*huuc; \*huəc* 'to suck; drink' (1106). Attested in Khmer; ?South Bahnaric; North & Central Aslian; Nicobaric / Khmuic; Palaungic; Viet-Muong / Khmer; South Bahnaric; Palaungic; Nicobaric / South Bahnaric; Central Aslian / Katuic; Bahnaric / North Bahnaric.
m91,*iˀc,,defecate (v),Pinnow: V81.<br>MKCD: *\*ʔic; \*ʔiə[c]; \*ʔ[ə]c* 'excrement; faeces' (794). Attested in Mon; North Bahnaric; Aslian / South Bahnaric; Khmuic / Khmer; South Bahnaric; Khasi; Nicobaric.
m92,*bəˀt,,contain/block (v),Pinnow: —.<br>MKCD: *\*ɓun; \*ɓuun; \*ɓə[ə]n; \*ɓut * 'to heap up' (1178). Attested in South Bahnaric; ?Mon / Khmer; Katuic; North Bahnaric; Palaungic; Khasi / Palaungic / South Bahnaric.
m93,*laˀk,,scrape (v),Pinnow: —.<br>MKCD: *\*l[a]k* 'to hoe' (418). Attested in North Bahnaric; Palaungic.
m94,*roˀc,,squeeze/milk (v),"Pinnow: V381.<br>MKCD: *\*ruut; \*ruət; \*rət; \*rat; \*rit; \*riit; \*riət* 'to tighten, constrict' (1061). Attested in ."
m95,*ɟiŋ(k),,porcupine,Pinnow: V318.<br>MKCD: *\*cu[ə]ŋ; \*cəŋ; \*ciəŋ / * 'kind of small mammal / ' (528). Attested in Khasi / Katuic; South Bahnaric / Khasi.
m96,*gaˀc,,fry/scrape (v),Pinnow: V15.<br>MKCD: —.
m97,*per,,burn(chilies) (v),Pinnow: —.<br>MKCD: —.
m98,*bv₃₁/*bv₃₁sv₃₂,,be sated (v),Pinnow: V319.<br>MKCD: *\*bhiiʔ* 'sated; full' (259). Attested in Mon; North Bahnaric; Khmuic; Aslian; Nicobaric.
m99,*uˀp,,hair,Pinnow: V143.<br>MKCD: —.
m100,*ɲv₃₃m,,name,"Pinnow: V279.<br>MKCD: *\*[hy]muʔ* 'name' (147). Attested in Mon; Khmer; Katuic; Bru, South Bahnaric; Khmuic; Palaungic; Aslian."
m101,*k₂a(aˀ),,fish,"Pinnow: V64.<br>MKCD: *\*kaʔ* 'fish' (16). Attested in Mon; Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Viet-Muong; Aslian
Nicobaric."
m102,*k₂ojo,,wind,Pinnow: V202.<br>MKCD: *–* '–' (–). Attested in —.
m103,*sv₃₉r,,sambar (deer),Pinnow: —.<br>MKCD: —.
m104,*sv₄₄(vˀ)l,,husking mortar,Pinnow: —.<br>MKCD: —.
m105,*maˀt,,bamboo joint,Pinnow: K415(ˀt)/508(m).<br>MKCD: —.
m106,*or,,pull/drag (vt),Pinnow: —.<br>MKCD: —.
m107,*ɟv₄₀ləˀt,,slip (vi)/be slippery,"Pinnow: V259.<br>MKCD: *\*lut; \*luut; \*luət; \*lət; \*lat; (\*lut-s &c. >) \*luc; \*luuc; \*luəc; \*l[ə]c* 'to slip (off, down)' (1081). Attested in Khmer; North Bahnaric / Khmer; Bahnaric; Palaungic; Viet-Muong / Mon; North Bahnaric; Palaungic; Viet-Muong / South Bahnaric / Khmer / South Bahnaric; Viet-Muong; ?Khasi / Khmer; North Bahnaric; Palaungic; Khasi; Nicobaric / North Bahnaric; Khmuic; ?Khasi / Katuic; South Bahnaric; North & Central Aslian."
m108,*gv₄₁ma,,rain (n/vi),Pinnow: V282.<br>MKCD: *\*gmaʔ* 'rain' (141). Attested in Katuic; Khmuic; South Aslian.
m109,*sv₄₂rv₄₂ˀp,,sip (v),Pinnow: V354.<br>MKCD: *\*srup; \*sruup* 'to suck; to drink' (1283). Attested in Palaungic; Khmer Palaungic.
m110,*tv₄₃məˀt,,mouth,Pinnow: V393.<br>MKCD: *\*t₁ət* 'mouth' (1001). Attested in Khmer; Palaungic; Aslian.
m111,*tv₄₅ˀɟ,,distribute (v),Pinnow: V293.<br>MKCD: —.
m112,*k₂aˀc[e/ə]r/*k₂aˀk[e/ə]r,,unripe mango,Pinnow: —.<br>MKCD: —.
m113,*lv₄₆joŋ,,irrigated field,Pinnow: V318c.<br>MKCD: —.
m114,*buru,,hill,Pinnow: V278.<br>MKCD: *\*bruuʔ* 'hill' (182). Attested in Katuic.
m115,*biri,,forest,Pinnow: V278.<br>MKCD: *\*briiʔ* 'forest' (181). Attested in Khmer; Bahnaric; Palaungic; Central & South Aslian.
m116,*rəəˀ,,elephant,Pinnow: .<br>MKCD: *\*r[ ]uəs* 'elephant' (1930). Attested in Bahnaric.
m117,*rimil,,cloud,Pinnow: .<br>MKCD: —.
m118,*tur,,six,Pinnow: V148.<br>MKCD: *\*t₁uəl* 'six' (1734a). Attested in Palaungic; Nicobaric.
m119,*gul,,seven,Pinnow: V141.<br>MKCD: —.
m120,*tam,,eight,Pinnow: V8.<br>MKCD: *\*t₁haam* 'eight' (1431). Attested in Bahnaric.
m121,*tim,,nine,Pinnow: —.<br>MKCD: *\*[c]t₁iim* 'nine' (1351). Attested in Palaungic.
m122,*gv₄₈l,,ten,Pinnow: V249.<br>MKCD: —.
m123,*baaˀ,,paddy,Pinnow: V4.<br>MKCD: *ɓaʔ* 'paddy' (120). Attested in Bahnaric; Palaungic; Khasi; Aslian.
m124,*k₂on,,child,Pinnow: V205.<br>MKCD: *\*kuun (& \*kun?); \*kuən* 'child' (1127). Attested in Khmer; Khasi; Nicobaric / Mon; Katuic; Bahnaric; Khmuic; Palaungic; Viet-Muong' Central & South Aslian.
m125,*kitv₃ŋ,,god,Pinnow: K193e;K388.<br>MKCD: —.
m126,*alv₃ŋ/*ᵊlv₃ŋ,,inside,Pinnow: (396a).<br>MKCD: *\*[ ]n₂uŋ* 'in' (593). Attested in Khmer; Katuic; South Bahnaric; Palaungic.
m127,*k₂umv₄₉/*k₂ᵊmv₄₉,,dirt,Pinnow: V114.<br>MKCD: *\*kmuuʔ; kmuəʔ; kməʔ; * 'dirt' (140). Attested in Khmer; Katuic; Palaungic; North Bahnaric; North & Central Aslian.
