Rank,Template,Aliases,Uses,Etyma,Authors,Year,Title,Publisher,URL,Access
85,R:got:Lehmann,,1,1,Lehmann,1986,[https://books.google.dk/books?id=39UUAAAAIAAJ A Gothic Etymological Dictionary],E. J. Brill,,
86,R:grc:vanBeek:2022,,1,1,van Beek,2022,The Reflexes of Syllabic Liquids in Ancient Greek,Brill,https://brill.com/view/title/60857,
87,R:iir-nur:Blazek:2010,,1,1,Blažek,2010,"Sound of Indo-European 2: Papers on Indo-European Phonetics, Phonemics and Morphophonemics",Lincom Studies in Indo-European Linguistics,https://www.academia.edu/2417635/On_the_position_of_Nuristani_within_Indo-Iranian,
88,R:iir-nur:Halfmann:2025,,1,1,Halfmann,2025,The Diversification of Indo-Iranian and the Position of the Nuristani Languages,Dr. Ludwig Reichert Verlag,https://medialibrary.reichert-verlag.de/de/file/9783752003543_ebook.pdf,
89,R:iir-nur:Hegedus:2012,,1,1,Hegedűs,2012,"Sound of Indo-European: Papers on Indo-European Phonetics, Phonemics and Morphophonemics",Museum Tusculanum Press,https://www.academia.edu/1265201/The_ruki-rule_in_Nuristani,
90,R:iir:Ciancaglini:2012,,1,1,Ciancaglini,2012,Outcomes of the Indo-Iranian suffix *-ka- in Old Persian and Avestan,"Università degli Studi di Napoli ""L'Orientale""",https://www.academia.edu/3644640/Outcomes_of_the_Indo-Iranian_suffix_-ka-_in_Old_Persian_and_Avestan,
91,R:iir:IIP,,1,1,Gray,1902,"Indo-Iranian Phonology, with Special Reference to the Middle and New Indo-Iranian Languages",Columbia University Press,https://books.google.com/books?id=ozdIAQAAMAAJ&dq=old+hindi+hiya&source=gbs_navlinks_s,
92,R:iir:Lipp:2009b,,1,1,Lipp,2009,"Die indogermanischen und einzelsprachlichen Palatale im Indoiranischen: Thorn-Problem, indoiranische Laryngalvokalisation",Winter,,
93,R:iir:deVaan:2000,,1,1,,2000,,Brill,,
94,R:inc:Grestenberger:2009,,1,1,Grestenberger,2009,The Vedic i-Stems and internal derivation (master's dissertation),"Universität Wien, Philologisch-Kulturwissenschaftliche Fakultät",http://othes.univie.ac.at/4757/1/2009-04-27_0401802.pdf,
95,R:inc:LASA,,1,1,Southworth,2005,Linguistic Archaeology of South Asia,Routledge,,
96,R:inc:Pischel,,1,1,Pischel,1957,Comparative Grammar of the Prakrit Languages,Motilal Banarasidass,,
97,R:inc:Witzel:1999,,1,1,Witzel,1999,Early Sources for South Asian Substrate Languages,,https://fid4sa-repository.ub.uni-heidelberg.de/113/,
98,R:ine-ana:EDIANA,,1,1,Olav Hackstein; Jared L. Miller; Elisabeth Rieken,2017–,Digital Philological-Etymological Dictionary of the Minor Ancient Anatolian Corpus Languages (eDiAna),,,
99,R:ine:Blazek:2016,,1,1,Blažek,2012,On Indo-European ‘barley’,Reichert Verlag,https://www.academia.edu/38384844/IEbarley_Copenhagen2012-2017.pdf,
100,R:ine:Byrd:2015,,1,1,Byrd,2015,The Indo-European Syllable,Brill,,
101,R:ine:GI,,1,1,Gamkrelidze; Ivanov,1995,Indo-European and the Indo-Europeans. A Reconstruction and Historical Analysis of a Proto-Language and Proto-Culture. Part I: The Text,Mouton de Gruyter,,
102,R:ine:Gvozdanović:1992,,1,1,Jadranka Gvozdanović,1992,Indo-European Numerals,Mouton de Gruyter,,
103,R:ine:IEL,,1,1,{{w,2017,The Indo-European Languages,Routledge,,
104,R:ine:Lindeman:1987,,1,1,Lindeman,1987,Introduction to the ‘Laryngeal Theory’,Norwegian University Press,,
105,R:ine:Ochsentour,,1,1,Höfler,2015,Denominale Sekundärderivation im Indogermanischen: Eine Ochsentour,,,
106,R:ine:Szemerényi:1977,,1,1,Szemerényi,1977,Studies in the kinship terminology of the Indo-European languages,Bibliothèque Pahlavi,https://books.google.com/books?id=WLkRAQAAMAAJ&pg=PA,
107,R:ine:VWIS,,1,1,Fick,,Vergleichendes Wörterbuch der indogermanischen Sprachen,Vandenhoeck & Ruprecht,,
108,R:ine:Vijunas:2009,,1,1,Vijūnas,2009,The Indo-European Primary T-Stems,Institut für Sprachen und Literaturen der Universität Innsbruck,https://www.academia.edu/64373431/The_Indo_European_primary_t_stems,
109,R:ine:WP,,1,1,Walde,,Vergleichendes Wörterbuch der indogermanischen Sprachen,de Gruyter,,
110,R:ine:deVaan:1999,,1,1,de Vaan,1999,The PIE root structure *Te(R)Dʰ-,,,
111,R:ira:DMMPP,R:xpr:DMMPP,1,1,,,,,,
112,R:ira:Justi,,1,1,Justi,1895,Iranisches Namenbuch,N. G. Elwert’sche Verlagsbuchhandlung,https://books.google.com/books?id=EAQVAAAAQAAJ&pg=PA,
113,R:ira:Kim:2024,,1,1,Kim,,The Indo-Iranian background of the Ossetic future,De Gruyter Mouton,https://www.degruyterbrill.com/document/doi/10.1515/flin-2024-2019/html,
114,R:ira:Kuiper:1976,,1,1,Kuiper,1976,Old East Iranian dialects,Brill,https://www.jstor.org/stable/24652490,
115,R:ira:Palmer:2025,,1,1,Palmér,2025,Indo-Slavic Lexical Isoglosses and the Prehistoric Dispersal of Indo-Iranian,Brill,https://brill-com.wikipedialibrary.idm.oclc.org/display/title/72253,
116,R:ira:Skjaervo:2017b,,1,1,Skjærvø,2017,Avestan and Old Persian Morphology,Eisenbrauns,http://allegatifac.unipv.it/caterinamauri/sitovecchio/1972634256_Avestan3a.pdf,
117,R:ira:Szemerenyi:1970,,1,1,Szemerényi,1970,W.B. Henning memorial volume,Lund Humphries,,
118,R:kpv:Redei:1988,,1,1,Rédei,1988,Die syrjänische Sprache,E. J. Brill,,
119,R:la:Rundgren:1957,,1,1,Rundgren,1957,Über einige iranische Lehnwörter im Lateinischen und Griechischen,,http://uu.diva-portal.org/smash/get/diva2:1149343/FULLTEXT01.pdf,
120,R:la:Schrijver,,1,1,Schrijver,1991,The Reflexes of the Proto-Indo-European Laryngeals in Latin,Rodopi,,
121,R:ofs:OFED,,1,1,Boutkan; Siebinga,2005,Old Frisian Etymological Dictionary,Brill,,
122,R:os:Paluncic:2019,,1,1,Palunčić,2019,Ossetic historical phonology and North-Eastern Iranian anthroponomastics from the North Pontic region 1st – 5th c. CE,State Hermitage Publishers,,
123,R:peo:OPG,R:peo:Kent,1,1,,,,,,
124,R:ps:Cheung:2010,,1,1,Cheung,2010,Selected Pashto Problems I. The accent in Pashto,Peeters Publishers,https://www.academia.edu/6502455/Selected_Pashto_Problems_I_the_Pashto_Accent,
125,R:ps:Cheung:2011,,1,1,Cheung,2011,Selected Pashto Problems II. Historical Phonology 1: On Vocalism and Etyma,Brill Academic Publishers,https://www.academia.edu/6502465/Selected_Pashto_Problems_II._Historical_Phonology_1_On_Vocalism_and_Etyma,
126,R:ru:Szemerényi:1967,,1,1,Szemerényi,1967,Славянская этимология на индоевропейском фоне,,,
127,R:sa:GDS,,1,1,Śāstrī,1953,A Grammatical Dictionary of Sanskrit (Vedic): With a complete index to Wackernagel's Altindische Grammatik and Macdonnell's Vedic grammar,Moolchand Khairātī Rām Trust,,
128,R:sa:Wackernagel,,1,1,Wackernagel,1896-1964,[[Altindische Grammatik,Vandenhoeck & Ruprecht,,
129,R:sgh:EVSh,,1,1,Morgenstierne,1974,Etymological Vocabulary of the Shughni Group,Dr Ludwig Reichert Verlag,,
130,R:txb:DTB,R:txb:Adams 2013,1,1,,,,,,
131,R:xcl:AG,,1,1,Hübschmann,1897,Armenische Grammatik. 1. Theil: Armenische Etymologie,Breitkopf & Härtel,,
132,R:xcl:HAB,,1,1,{{xlit,,{{xlit,University Press,,
133,R:xcl:HAnB,,1,1,{{xlit,,{{xlit,University Press,,
134,R:xcl:Martirosyan:2005,,1,1,Martirosyan,2005,On Armenian čiw ‘shank’,,http://www.academia.edu/4197611/On_Armenian_ciw_shank,
135,R:xco:CW,,1,1,Benzing,1983,Chwaresmischer Wortindex,Otto Harrassowitz,,
136,R:xme:Janda,,1,1,Janda,2004,Die Sprache Der Meder,University of Zurich,http://bnk.institutkurde.org/images/pdf/1RGZ3XDKEM.pdf,
