Entry_Key,Page_ID,Revision,Title,PIIr_Form,POS,Gloss,PIE_Parent,Uncertain,Sanskrit,Match_Key,Candidates,Matched_CDIAL_Head,Decision,Rank,Reason,Existing_Parent,Citations
enwikt:5576018,5576018,92151994,Reconstruction:Proto-Indo-Iranian/bʰaHȷ́ʰúš,bʰaHȷ́ʰúš,noun,arm,*bʰeh₂ǵʰús,,bāhú,bāhu,9229,9229,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_7ted4gnmf5k24,R:inc:IAIL[*bāhú-]
enwikt:5576402,5576402,92152082,Reconstruction:Proto-Indo-Iranian/Hyás,Hyás,pronoun,"that, who, which",*Hyós,,yád,yad,,,unlinked,,no CDIAL head with this spelling,,R:ine:LIPP[312]; R:HCHIEL[1902]
enwikt:5576406,5576406,90070805,Reconstruction:Proto-Indo-Iranian/saptá,saptá,numeral,seven,*septḿ̥,,saptá,sapta,13139,13139,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_d4e4pwzoyakzw,
enwikt:5588759,5588759,92152313,Reconstruction:Proto-Indo-Iranian/ȷ́ʰansás,ȷ́ʰansás,noun,goose,*ǵʰh₂éns,,haṃsá,haṁsa,13937 6-3x,13937,linked,1,disambiguated by gloss overlap,,R:sa:EWAia[haṃsá-][799]
enwikt:5588795,5588795,89043488,Reconstruction:Proto-Indo-Iranian/ćwā́,ćwā́,noun,dog,*ḱwṓ,,śván,śvan,12750,12750,linked,1,unique spelling match,,
enwikt:5588818,5588818,90340044,Reconstruction:Proto-Indo-Iranian/Hŕ̥ćšas,Hŕ̥ćšas,noun,bear,*h₂ŕ̥tḱos,,ṛkṣa,r̥kṣa,2445,2445,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_vcmbiyisefv24,
enwikt:5588823,5588823,92171786,Reconstruction:Proto-Indo-Iranian/Hušā́s,Hušā́s,proper noun,dawn,*h₂éwsōs,,uṣas,uṣas,2385,2385,linked,1,unique spelling match,,
enwikt:5589360,5589360,81624435,Reconstruction:Proto-Indo-Iranian/witˢtás,witˢtás,verb,found,*widtós,,vittá,vitta,11727 11727a,11727,linked,1,disambiguated by gloss overlap,,R:ine:NIL[719]
enwikt:5589376,5589376,91773706,Reconstruction:Proto-Indo-Iranian/niždás,niždás,noun,nest,*nisdós,,nīḍa,nīḍa,7541,7541,linked,1,unique spelling match,,
enwikt:5589464,5589464,90962346,Reconstruction:Proto-Indo-Iranian/pratamás,pratamás,numeral,first,,,prathamá,pratʰama,8648,8648,linked,1,unique spelling match,,"R:ine:HCHIEL[491]; R:ira:ESIJa[*fratama-, *fraϑama-][58-60]"
enwikt:5591651,5591651,84285906,Reconstruction:Proto-Indo-Iranian/wī́naH,wī́naH,noun,a lute,,,,,,,unlinked,,no CDIAL head with this spelling,,
enwikt:5591875,5591875,90710572,Reconstruction:Proto-Indo-Iranian/máH,máH,particle,do not,*méh₁,,mā́,mā,9981,9981,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_mh2da63ttyw4s,R:CDIAL[mahyā]
enwikt:5592594,5592594,90097275,Reconstruction:Proto-Indo-Iranian/swás,swás,pronoun,self; own,*swós,,svá,sva,13893,13893,linked,1,unique spelling match,,R:ine:LIPP[751]
enwikt:5592720,5592720,87170487,Reconstruction:Proto-Indo-Iranian/Hyaȷ́nás,Hyaȷ́nás,noun,worship; sacrifice,,,yajñá,yajña,10397,10397,linked,1,unique spelling match,,
enwikt:5592724,5592724,92152271,Reconstruction:Proto-Indo-Iranian/átʰarwā,átʰarwā,noun,priest,,,átharvan,atʰarvan,,,unlinked,,no CDIAL head with this spelling,,R:iir:Lubotsky:1999
enwikt:5592789,5592789,92152099,Reconstruction:Proto-Indo-Iranian/Hásuras,Hásuras,noun,deity,,,ásura,asura,,,unlinked,,no CDIAL head with this spelling,,R:Joki 1973
enwikt:5592801,5592801,86563986,Reconstruction:Proto-Indo-Iranian/Yamás,Yamás,proper noun,"Yama, god of the underworld",,,yamá,yama,10421 10422 14769,10422,linked,1,disambiguated by gloss overlap,,
enwikt:5593241,5593241,87170485,Reconstruction:Proto-Indo-Iranian/sá,sá,pronoun,he,*só,,sa,sa,12815 12816,,unlinked,,ambiguous: several CDIAL heads share this spelling,,
enwikt:5653536,5653536,92152085,Reconstruction:Proto-Indo-Iranian/Há-,Há-,prefix,,*h₁é-,,á-,a,1,1,alternate,2,unique spelling match; review:duplicate-claim — wiir-5558423 already claims this head-word,,R:ine:LIPP[179]
enwikt:5844004,5844004,81824834,Reconstruction:Proto-Indo-Iranian/Haȷ́ʰíH,Haȷ́ʰíH,noun,"heifer, cow",*h₂eǵʰ-,,ahī́,ahī,,,unlinked,,no CDIAL head with this spelling,,R:iir:Kummel:2017[277]
enwikt:5844007,5844007,92152016,Reconstruction:Proto-Indo-Iranian/dʰa(H)inúš,dʰa(H)inúš,noun,milch cow,,,dhenú,dʰenu,6877,6877,linked,1,unique spelling match,,R:iir:Kummel:2017[277]; R:inc:IAIL[dhenú-]
enwikt:5844030,5844030,85456423,Reconstruction:Proto-Indo-Iranian/Haȷ́ás,Haȷ́ás,noun,goat,,,ajá,aja,145,145,linked,1,unique spelling match,,R:ine:Mallory 2006
enwikt:5844033,5844033,92152129,Reconstruction:Proto-Indo-Iranian/kʰáras,kʰáras,noun,donkey,,yes,khara,kʰara,3818 3819,3818,linked,1,disambiguated by gloss overlap,,R:Witzel:2003[29]; R:ine:HCHIEL[1948]; R:akk:CAD[ḫāru][118]; R:inc:IAIL
enwikt:5848983,5848983,90070798,Reconstruction:Proto-Indo-Iranian/pánča,pánča,numeral,five,*pénkʷe,,páñca,pañca,7655,7655,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_4fg7nbz3loe4y,
enwikt:5872981,5872981,92152126,Reconstruction:Proto-Indo-Iranian/kʰumbʰás,kʰumbʰás,noun,pot,,,kumbhá,kumbʰa,14397 3308 3309,3308,linked,1,disambiguated by gloss overlap,,R:ine:deVaan:1999[11]; R:grc:Beekes[802]
enwikt:5873967,5873967,78349809,Reconstruction:Proto-Indo-Iranian/stʰuHnáH,stʰuHnáH,noun,pillar,,,,,,,unlinked,,no CDIAL head with this spelling,,
enwikt:6059241,6059241,82647360,Reconstruction:Proto-Indo-Iranian/dʰárati,dʰárati,verb,"to hold, have",,,,,,,unlinked,,no CDIAL head with this spelling,,
enwikt:6068448,6068448,92152062,Reconstruction:Proto-Indo-Iranian/Hrā́ćš,Hrā́ćš,noun,"king, ruler",,,rā́j,rāj,,,unlinked,,no CDIAL head with this spelling,,R:inc:IAIL; R:dra:DED[aracaṉ]
enwikt:6078407,6078407,89007359,Reconstruction:Proto-Indo-Iranian/ȷ́ʰimás,ȷ́ʰimás,noun,"cold, frost; winter",*ǵʰéyōm,,himá,hima,14096,14096,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_l5e6ut6n4ngb6,
enwikt:6078408,6078408,91953160,Reconstruction:Proto-Indo-Iranian/stáHnam,stáHnam,noun,"the act of standing; position, location, place",,,sthā́na,stʰāna,13753,13753,linked,1,unique spelling match,,
enwikt:6081003,6081003,92152257,Reconstruction:Proto-Indo-Iranian/wā́kš,wā́kš,noun,"speech, voice",*wṓkʷs,,vā́c,vāc,,,unlinked,,no CDIAL head with this spelling,,R:sa:EWAia[vā́c-][539-40]
enwikt:6081428,6081428,92077647,Reconstruction:Proto-Indo-Iranian/swásā,swásā,noun,sister,*swésōr,,svásṛ,svasr̥,13913,13913,alternate,2,unique spelling match; review:duplicate — the head already has a Proto-Indo-Iranian parent,f_ofvfgvshq6rni,
