Item	Site_Code	PDF_Page	Printed_Page	Column	OCR_Candidate	OCR_Row_Top	OCR_Pitch	Review_Status
8	HDH	74	65	left	1 a-a	1112	31	unreviewed
8	HBG	74	65	left	1 a	1143	31	unreviewed
8	HO2	74	65	left	ta	1174	31	unreviewed
8	HRA	74	65	left	motfa	1205	31	unreviewed
8	HO3	74	65	left	ta	1236	31	unreviewed
8	HOP	74	65	right	motfa	833	31	unreviewed
8	HBA	74	65	right	motfa	864	31	unreviewed
8	HNI	74	65	right	matfam	895	31	unreviewed
8	BBG	74	65	right	motfa	957	31	unreviewed
8	BMA	74	65	right	motfon	988	31	unreviewed
8	BOP	74	65	right	motfa	1019	31	unreviewed
8	BRA	74	65	right	motfon	1050	31	unreviewed
8	BGH	74	65	right	motfan	1081	31	unreviewed
8	MU1	74	65	right		1112	31	unreviewed
8	MU2	74	65	right	4 trotna	1143	31	unreviewed
8	SA1	74	65	right		1174	31	unreviewed
8	SBA	74	65	right		1205	31	unreviewed
8	OCU	74	65	right		1236	31	unreviewed
9	HO1	74	65	left	data	1404	32	unreviewed
9	HTH	74	65	left	data	1436	32	unreviewed
9	HKA	74	65	left	data	1468	32	unreviewed
9	HKE	74	65	left	data	1500	32	unreviewed
9	HCH	74	65	left	data	1532	32	unreviewed
9	HCU	74	65	left	data	1564	32	unreviewed
9	HSU	74	65	left	data	1596	32	unreviewed
9	HSA	74	65	left	data	1628	32	unreviewed
9	HJO	74	65	left	data	1660	32	unreviewed
9	HDH	74	65	left	data	1692	32	unreviewed
9	HBG	74	65	left	data	1724	32	unreviewed
9	HO2	74	65	left	data	1756	32	unreviewed
9	HRA	74	65	left	data	1788	32	unreviewed
9	HO3	74	65	left	danta	1820	32	unreviewed
9	HOP	74	65	right	data	1404	32	unreviewed
9	HBA	74	65	right	gata	1436	32	unreviewed
9	HNI	74	65	right	data	1468	32	unreviewed
9	BBG	74	65	right	da?ta	1532	32	unreviewed
9	BMA	74	65	right	data	1564	32	unreviewed
9	BOP	74	65	right	data	1596	32	unreviewed
9	BRA	74	65	right	data	1628	32	unreviewed
9	BGH	74	65	right	data	1660	32	unreviewed
9	MU1	74	65	right	data	1692	32	unreviewed
9	MU2	74	65	right	data	1724	32	unreviewed
9	SA1	74	65	right	data	1756	32	unreviewed
9	SBA	74	65	right	data	1788	32	unreviewed
9	OCU	74	65	right	danto	1820	32	unreviewed
10	HO1	75	66	left	1 leve	259	32	unreviewed
10	HTH	75	66	left	1 le?e	291	32	unreviewed
10	HKA	75	66	left	1 le?e	323	32	unreviewed
10	HKE	75	66	left	1 le?e	355	32	unreviewed
10	HCH	75	66	left	1 lee	387	32	unreviewed
10	HCU	75	66	left	1 le?e	419	32	unreviewed
10	HSU	75	66	left	1 lele (le?e)	451	32	unreviewed
10	HSA	75	66	left	1 le?e	483	32	unreviewed
10	HJO	75	66	left	1 le?e	515	32	unreviewed
10	HDH	75	66	left	1 le?e	547	32	unreviewed
10	HBG	75	66	left	1 le?e	579	32	unreviewed
10	HO2	75	66	left	1 le?e, 3 alay	611	32	unreviewed
10	HRA	75	66	left	1 le?e	643	32	unreviewed
10	HO3	75	66	left	3 alay (7)	675	32	unreviewed
10	HOP	75	66	right	1 le?e	259	32	unreviewed
10	HBA	75	66	right	3 alay	291	32	unreviewed
10	HNI	75	66	right	3 alan	323	32	unreviewed
10	BBG	75	66	right	1 le’e	387	32	unreviewed
10	BMA	75	66	right	3 alan	419	32	unreviewed
10	BOP	75	66	right	3 alan	451	32	unreviewed
10	BRA	75	66	right	3 alan	483	32	unreviewed
10	BGH	75	66	right	3 alay	515	32	unreviewed
10	MU1	75	66	right	3 alan	547	32	unreviewed
10	MU2	75	66	right	1 le?e, 3 alay	579	32	unreviewed
10	SA1	75	66	right	3 alay	611	32	unreviewed
10	SBA	75	66	right	3 alay	643	32	unreviewed
10	OCU	75	66	right	2 dzib*e	675	32	unreviewed
11	HO1	75	66	left	1 nunu, 3 towa, 4 kuwam	833	32	unreviewed
11	HTH	75	66	left	1 nunu	865	32	unreviewed
11	HKA	75	66	left	1 nunu	897	32	unreviewed
11	HKE	75	66	left	1 nunu	929	32	unreviewed
11	HCH	75	66	left	1 nunu	961	32	unreviewed
11	HCU	75	66	left	1 nunu	993	32	unreviewed
11	HSU	75	66	left	ft nunu	1025	32	unreviewed
11	HSA	75	66	left	1 nunu	1057	32	unreviewed
11	HJO	75	66	left	1 nunu	1089	32	unreviewed
11	HDH	75	66	left	1 nunu	1121	32	unreviewed
11	HBG	75	66	left	1 nunu	1153	32	unreviewed
11	HO2	75	66	left	3 toa	1185	32	unreviewed
11	HRA	75	66	left	1 nunu	1217	32	unreviewed
11	HO3	75	66	left	-----	1249	32	unreviewed
11	HOP	75	66	right	1 nunu	833	32	unreviewed
11	HBA	75	66	right	1 nunu	865	32	unreviewed
11	HNI	75	66	right	1 nunu	897	32	unreviewed
11	BBG	75	66	right	1 nunu	961	32	unreviewed
11	BMA	75	66	right	1 nunu	993	32	unreviewed
11	BOP	75	66	right	-----	1025	32	unreviewed
11	BRA	75	66	right	1 nunu	1057	32	unreviewed
11	BGH	75	66	right	3 tuwa	1089	32	unreviewed
11	MU1	75	66	right	=2-26	1121	32	unreviewed
11	MU2	75	66	right	1 nunu	1153	32	unreviewed
11	SA1	75	66	right	1 nunu, 4 koram	1185	32	unreviewed
11	SBA	75	66	right	1 nunu	1217	32	unreviewed
11	OCU	75	66	right	2 tfatl	1249	32	unreviewed
12	HO1	75	66	left	1 la?i	1403	32	unreviewed
12	HTH	75	66	left	1 lai	1435	32	unreviewed
12	HKA	75	66	left	1 lai	1467	32	unreviewed
12	HKE	75	66	left	1 lai	1499	32	unreviewed
12	HCH	75	66	left	1 lai	1531	32	unreviewed
12	HCU	75	66	left	1 la?i	1563	32	unreviewed
12	HSU	75	66	left	1 lai	1595	32	unreviewed
12	HSA	75	66	left	1 lal	1627	32	unreviewed
12	HJO	75	66	left	1 lai	1659	32	unreviewed
12	HDH	75	66	left	1 lae?	1691	32	unreviewed
12	HBG	75	66	left	1 la?i	1723	32	unreviewed
12	HO2	75	66	left	1 laii	1755	32	unreviewed
12	HRA	75	66	left	1 lat	1787	32	unreviewed
12	HO3	75	66	left	1 Iai	1819	32	unreviewed
12	HOP	75	66	right	1 lat	1403	32	unreviewed
12	HBA	75	66	right	1 lai	1435	32	unreviewed
12	HNI	75	66	right	1 la?i	1467	32	unreviewed
12	BBG	75	66	right	1 la?i	1531	32	unreviewed
12	BMA	75	66	right	1 lei	1563	32	unreviewed
12	BOP	75	66	right	1 lai	1595	32	unreviewed
12	BRA	75	66	right	1 le?	1627	32	unreviewed
12	BGH	75	66	right	1 lai	1659	32	unreviewed
12	MU1	75	66	right	1 lai?	1691	32	unreviewed
12	MU2	75	66	right	1 lai	1723	32	unreviewed
12	SA1	75	66	right	1 la?e, 3 dodgok	1755	32	unreviewed
12	SBA	75	66	right	1 late	1787	32	unreviewed
12	OCU	75	66	right	2 petto	1819	32	unreviewed
13	HO1	76	67	left	{ supu, 3 rupi, 4 bi	258	33	unreviewed
13	HTH	76	67	left	ecupi	291	33	unreviewed
13	HKA	76	67	left	cupi	324	33	unreviewed
13	HKE	76	67	left	1 supu	357	33	unreviewed
13	HCH	76	67	left	1 supu, 3 cupi	390	33	unreviewed
13	HCU	76	67	left	cupi	423	33	unreviewed
13	HSU	76	67	left	1 supu	456	33	unreviewed
13	HSA	76	67	left	rupt	489	33	unreviewed
13	HJO	76	67	left	1 supu	522	33	unreviewed
13	HDH	76	67	left	{ supu?u, 3 cupi	555	33	unreviewed
13	HBG	76	67	left	ti	588	33	unreviewed
13	HO2	76	67	left	ti	621	33	unreviewed
13	HRA	76	67	left	1 supu	654	33	unreviewed
13	HO3	76	67	left	ti	687	33	unreviewed
13	HOP	76	67	right	4 fi	258	33	unreviewed
13	HBA	76	67	right	1 supu	291	33	unreviewed
13	HNI	76	67	right	4 £1	324	33	unreviewed
13	BBG	76	67	right	4 ti	390	33	unreviewed
13	BMA	76	67	right	1 supu	423	33	unreviewed
13	BOP	76	67	right	4 ti	456	33	unreviewed
13	BRA	76	67	right	1 supu	489	33	unreviewed
13	BGH	76	67	right	4 ti	522	33	unreviewed
13	MU1	76	67	right	4 kt	555	33	unreviewed
13	MU2	76	67	right	4 ti	588	33	unreviewed
13	SA1	76	67	right	1 sopo, 4 ti	621	33	unreviewed
13	SBA	76	67	right	4 {i	654	33	unreviewed
13	OCU	76	67	right	2 hato	687	33	unreviewed
14	HO1	76	67	left	uka	844	32	unreviewed
14	HTH	76	67	left		876	32	unreviewed
14	HKA	76	67	left		908	32	unreviewed
14	HKE	76	67	left	uke	940	32	unreviewed
14	HCH	76	67	left	unuke	972	32	unreviewed
14	HCU	76	67	left	uke	1004	32	unreviewed
14	HSU	76	67	left	uke	1036	32	unreviewed
14	HSA	76	67	left	uke	1068	32	unreviewed
14	HJO	76	67	left	kuvem dgay	1100	32	unreviewed
14	HDH	76	67	left	uke	1132	32	unreviewed
14	HBG	76	67	left	uk?a	1164	32	unreviewed
14	HO2	76	67	left	uka	1196	32	unreviewed
14	HRA	76	67	left	uke	1228	32	unreviewed
14	HO3	76	67	left		1260	32	unreviewed
14	HOP	76	67	right	khuni	844	32	unreviewed
14	HBA	76	67	right	1 uke	876	32	unreviewed
14	HNI	76	67	right	koni	908	32	unreviewed
14	BBG	76	67	right	1 uk-a	972	32	unreviewed
14	BMA	76	67	right	1 uke	1004	32	unreviewed
14	BOP	76	67	right	gonti	1036	32	unreviewed
14	BRA	76	67	right	1 uka?	1068	32	unreviewed
14	BGH	76	67	right	1 uka?	1100	32	unreviewed
14	MU1	76	67	right		1132	32	unreviewed
14	MU2	76	67	right	1 uka	1164	32	unreviewed
14	SA1	76	67	right	moka	1196	32	unreviewed
14	SBA	76	67	right	moka	1228	32	unreviewed
14	OCU	76	67	right	koini	1260	32	unreviewed
15	HO1	76	67	left	ti talka	1418	33	unreviewed
15	HTH	76	67	left	&t talka	1451	33	unreviewed
15	HKA	76	67	left	ti talka	1484	33	unreviewed
15	HKE	76	67	left	talka	1517	33	unreviewed
15	HCH	76	67	left	£1 talka	1550	33	unreviewed
15	HCU	76	67	left	gi talka	1583	33	unreviewed
15	HSU	76	67	left	£1 talka	1616	33	unreviewed
15	HSA	76	67	left	bi talka	1649	33	unreviewed
15	HJO	76	67	left	talka	1682	33	unreviewed
15	HDH	76	67	left	£i falka	1715	33	unreviewed
15	HBG	76	67	left	£1 alka	1748	33	unreviewed
15	HO2	76	67	left		1781	33	unreviewed
15	HRA	76	67	left	ti talka	1814	33	unreviewed
15	HO3	76	67	left		1847	33	unreviewed
15	HOP	76	67	right	1 talka	1418	33	unreviewed
15	HBA	76	67	right	ti kalka	1451	33	unreviewed
15	HNI	76	67	right	£1 papuli	1484	33	unreviewed
15	BBG	76	67	right	ti telka	1550	33	unreviewed
15	BMA	76	67	right	£alaka ti	1583	33	unreviewed
15	BOP	76	67	right	talka	1616	33	unreviewed
15	BRA	76	67	right	ti alka	1649	33	unreviewed
15	BGH	76	67	right	alka	1682	33	unreviewed
15	MU1	76	67	right		1715	33	unreviewed
15	MU2	76	67	right	£I alka	1748	33	unreviewed
15	SA1	76	67	right	talka	1781	33	unreviewed
15	SBA	76	67	right	falka	1814	33	unreviewed
15	OCU	76	67	right	tolohato, 3 papult	1847	33	unreviewed
16	HO1	77	68	left	1 ganda	260	33	unreviewed
16	HTH	77	68	left	£1 anudi	293	33	unreviewed
16	HKA	77	68	left	£1 angudi	326	33	unreviewed
16	HKE	77	68	left	anguli	359	33	unreviewed
16	HCH	77	68	left	1 ganda	392	33	unreviewed
16	HCU	77	68	left	2 angul	425	33	unreviewed
16	HSU	77	68	left	2 angudi	458	33	unreviewed
16	HSA	77	68	left	1 ganda	491	33	unreviewed
16	HJO	77	68	left	2 angudt	524	33	unreviewed
16	HDH	77	68	left	1 bi ganda, 5 fi rama	557	33	unreviewed
16	HBG	77	68	left	2 angurt	590	33	unreviewed
16	HO2	77	68	left	1 ganda, 3 katub, 4 daro	623	33	unreviewed
16	HRA	77	68	left	3 ti katup	656	33	unreviewed
16	HO3	77	68	left	-----	689	33	unreviewed
16	HOP	77	68	right	2 angull	260	33	unreviewed
16	HBA	77	68	right	2 angud!	293	33	unreviewed
16	HNI	77	68	right	2 onguri	326	33	unreviewed
16	BBG	77	68	right	4 dado	392	33	unreviewed
16	BMA	77	68	right	2 angidi	425	33	unreviewed
16	BOP	77	68	right	2 angult	458	33	unreviewed
16	BRA	77	68	right	2 anlL!	491	33	unreviewed
16	BGH	77	68	right	2 angud!	524	33	unreviewed
16	MU1	77	68	right	-----	557	33	unreviewed
16	MU2	77	68	right	3 katu	590	33	unreviewed
16	SA1	77	68	right	3 katup	623	33	unreviewed
16	SBA	77	68	right	3 katub	656	33	unreviewed
16	OCU	77	68	right	2 angul!	689	33	unreviewed
17	HO1	77	68	left	1 sacsac	847	33	unreviewed
17	HTH	77	68	left	1 sarsac	880	33	unreviewed
17	HKA	77	68	left	1 sarsaci	913	33	unreviewed
17	HKE	77	68	left	1 sacsac	946	33	unreviewed
17	HCH	77	68	left	1 sarsac	979	33	unreviewed
17	HCU	77	68	left	1 sarsac	1012	33	unreviewed
17	HSU	77	68	left	1 sarsac	1045	33	unreviewed
17	HSA	77	68	left	1 sarsac	1078	33	unreviewed
17	HJO	77	68	left	1 sarsar	1111	33	unreviewed
17	HDH	77	68	left	1 sarsac	1144	33	unreviewed
17	HBG	77	68	left	1 sarsac	1177	33	unreviewed
17	HO2	77	68	left	-----	1210	33	unreviewed
17	HRA	77	68	left	1 sarsac	1243	33	unreviewed
17	HO3	77	68	left	-----	1276	33	unreviewed
17	HOP	77	68	right	1 sarsar	847	33	unreviewed
17	HBA	77	68	right	1 sarsac	880	33	unreviewed
17	HNI	77	68	right	1 sarsar	913	33	unreviewed
17	BBG	77	68	right	1 sarsar	979	33	unreviewed
17	BMA	77	68	right	1 sacsac	1012	33	unreviewed
17	BOP	77	68	right	2 nokba	1045	33	unreviewed
17	BRA	77	68	right	1 sarsar	1078	33	unreviewed
17	BGH	77	68	right	1 sarsar	1111	33	unreviewed
17	MU1	77	68	right	-----	1144	33	unreviewed
17	MU2	77	68	right	3 cama	1177	33	unreviewed
17	SA1	77	68	right	3 {i cama	1210	33	unreviewed
17	SBA	77	68	right	3 cama	1243	33	unreviewed
17	OCU	77	68	right	2 no+kho	1276	33	unreviewed
18	HO1	77	68	left	1 kata	1435	33	unreviewed
18	HTH	77	68	left	1 kata	1468	33	unreviewed
18	HKA	77	68	left	1 kata	1501	33	unreviewed
18	HKE	77	68	left	1 kata	1534	33	unreviewed
18	HCH	77	68	left	1 kata	1567	33	unreviewed
18	HCU	77	68	left	1 kata	1600	33	unreviewed
18	HSU	77	68	left	1 kata	1633	33	unreviewed
18	HSA	77	68	left	1 kata	1666	33	unreviewed
18	HJO	77	68	left	1 kata	1699	33	unreviewed
18	HDH	77	68	left	1 kata	1732	33	unreviewed
18	HBG	77	68	left	1 kata	1765	33	unreviewed
18	HO2	77	68	left	1 kata	1798	33	unreviewed
18	HRA	77	68	left	1 kata	1831	33	unreviewed
18	HO3	77	68	left	1 kata	1864	33	unreviewed
18	HOP	77	68	right	1 kata	1435	33	unreviewed
18	HBA	77	68	right	1 kata	1468	33	unreviewed
18	HNI	77	68	right	f{ kata	1501	33	unreviewed
18	BBG	77	68	right	1 karta	1567	33	unreviewed
18	BMA	77	68	right	1 kata	1600	33	unreviewed
18	BOP	77	68	right	1 kata	1633	33	unreviewed
18	BRA	77	68	right	1 kata	1666	33	unreviewed
18	BGH	77	68	right	| kata	1699	33	unreviewed
18	MU1	77	68	right	1 kata	1732	33	unreviewed
18	MU2	77	68	right	1 kata	1765	33	unreviewed
18	SA1	77	68	right	3 dzanga	1798	33	unreviewed
18	SBA	77	68	right	3 dzanga	1831	33	unreviewed
18	OCU	77	68	right	2 gudo	1864	33	unreviewed
19	HO1	78	69	left	1 Ge	264	32	unreviewed
19	HTH	78	69	left	1 Oe	296	32	unreviewed
19	HKA	78	69	left	1 Or	328	32	unreviewed
19	HKE	78	69	left	1 Oe	360	32	unreviewed
19	HCH	78	69	left	1 Or	392	32	unreviewed
19	HCU	78	69	left	1 Or	424	32	unreviewed
19	HSU	78	69	left	1 Or	456	32	unreviewed
19	HSA	78	69	left	1 Or	488	32	unreviewed
