Item	Gloss	Site_Code	Scope	PDF_Page	Printed_Page	Column	Manual_Transcription	Review_Status	Confidence	Uncertainty	Reviewer_Method	Disposition	Citation	Entry_Key
1	body	SA1	comparison_control	72	63	right	1 hormo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list SA1]	
1	body	SBA	comparison_control	72	63	right	1 hʌrmo	attested	medium	source open-back vowel encoded as ʌ	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list SBA]	
1	body	OCU	comparison_control	72	63	right	2 soriro	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 1, list OCU]	
2	head	HO1	republished_control	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HO1]	
2	head	HTH	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HTH]	ho2024-hth-i002
2	head	HKA	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HKA]	ho2024-hka-i002
2	head	HKE	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HKE]	ho2024-hke-i002
2	head	HCH	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HCH]	ho2024-hch-i002
2	head	HCU	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HCU]	ho2024-hcu-i002
2	head	HSU	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HSU]	ho2024-hsu-i002
2	head	HSA	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HSA]	ho2024-hsa-i002
2	head	HJO	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HJO]	ho2024-hjo-i002
2	head	HDH	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HDH]	ho2024-hdh-i002
2	head	HBG	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HBG]	ho2024-hbg-i002
2	head	HO2	republished_control	72	63	left	1 bo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HO2]	
2	head	HRA	target	72	63	left	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HRA]	ho2024-hra-i002
2	head	HO3	republished_control	72	63	left	1 bo?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HO3]	
2	head	HOP	target	72	63	right	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HOP]	ho2024-hop-i002
2	head	HBA	target	72	63	right	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HBA]	ho2024-hba-i002
2	head	HNI	target	72	63	right	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list HNI]	ho2024-hni-i002
2	head	BBG	comparison_control	72	63	right	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list BBG]	
2	head	BMA	comparison_control	72	63	right	1 boho	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list BMA]	
2	head	BOP	comparison_control	72	63	right	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list BOP]	
2	head	BRA	comparison_control	72	63	right	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list BRA]	
2	head	BGH	comparison_control	72	63	right	1 bo?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list BGH]	
2	head	MU1	comparison_control	72	63	right	1 bo?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list MU1]	
2	head	MU2	comparison_control	72	63	right	1 bo, 2 mund	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list MU2]	
2	head	SA1	comparison_control	72	63	right	1 bohok	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list SA1]	
2	head	SBA	comparison_control	72	63	right	1 bɔhʌ?	attested	medium	source open-back vowels encoded as ɔ and ʌ	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list SBA]	
2	head	OCU	comparison_control	72	63	right	2 mʊnɖɔ	attested	medium	source vowel/retroflex glyphs encoded as ʊ and ɖ	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 2, list OCU]	
3	hair	HO1	republished_control	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HO1]	
3	hair	HTH	target	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HTH]	ho2024-hth-i003
3	hair	HKA	target	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HKA]	ho2024-hka-i003
3	hair	HKE	target	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HKE]	ho2024-hke-i003
3	hair	HCH	target	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HCH]	ho2024-hch-i003
3	hair	HCU	target	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HCU]	ho2024-hcu-i003
3	hair	HSU	target	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HSU]	ho2024-hsu-i003
3	hair	HSA	target	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HSA]	ho2024-hsa-i003
3	hair	HJO	target	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HJO]	ho2024-hjo-i003
3	hair	HDH	target	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HDH]	ho2024-hdh-i003
3	hair	HBG	target	72	63	left	1 bale?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HBG]	ho2024-hbg-i003
3	hair	HO2	republished_control	72	63	left	2 ub	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HO2]	
3	hair	HRA	target	72	63	left	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HRA]	ho2024-hra-i003
3	hair	HO3	republished_control	72	63	left	2 u?p	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HO3]	
3	hair	HOP	target	72	63	right	2 bo? up	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HOP]	ho2024-hop-i003
3	hair	HBA	target	72	63	right	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HBA]	ho2024-hba-i003
3	hair	HNI	target	72	63	right	2 bo? up	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list HNI]	ho2024-hni-i003
3	hair	BBG	comparison_control	72	63	right	2 ub?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list BBG]	
3	hair	BMA	comparison_control	72	63	right	2 ub	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list BMA]	
3	hair	BOP	comparison_control	72	63	right	2 bo?o up	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list BOP]	
3	hair	BRA	comparison_control	72	63	right	2 bo?o u?b	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list BRA]	
3	hair	BGH	comparison_control	72	63	right	2 u?p	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list BGH]	
3	hair	MU1	comparison_control	72	63	right	2 u?b	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list MU1]	
3	hair	MU2	comparison_control	72	63	right	2 ub	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list MU2]	
3	hair	SA1	comparison_control	72	63	right	2 u?p	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list SA1]	
3	hair	SBA	comparison_control	72	63	right	2 u?p	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list SBA]	
3	hair	OCU	comparison_control	72	63	right	1 bala	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 63, item 3, list OCU]	
4	face	HO1	republished_control	73	64	left	1 med muwa, 2 med motʃa	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HO1]	
4	face	HTH	target	73	64	left	2 motʃa	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HTH]	ho2024-hth-i004
4	face	HKA	target	73	64	left	1 met? muva	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HKA]	ho2024-hka-i004
4	face	HKE	target	73	64	left	1 me?t mɨe	attested	medium	central close vowel read from the report alphabet as ɨ	manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HKE]	ho2024-hke-i004
4	face	HCH	target	73	64	left	1 met? mɨva	attested	medium	central close vowel read from the report alphabet as ɨ	manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HCH]	ho2024-hch-i004
4	face	HCU	target	73	64	left	1 med? muẽ	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HCU]	ho2024-hcu-i004
4	face	HSU	target	73	64	left	1 met? muve, 2 a motʃa	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HSU]	ho2024-hsu-i004
4	face	HSA	target	73	64	left	2 motʃa	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HSA]	ho2024-hsa-i004
4	face	HJO	target	73	64	left	1 mot? muva	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HJO]	ho2024-hjo-i004
4	face	HDH	target	73	64	left	1 me?d mɨe	attested	medium	central close vowel read from the report alphabet as ɨ	manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HDH]	ho2024-hdh-i004
4	face	HBG	target	73	64	left	1 met? mɨa	attested	medium	central close vowel read from the report alphabet as ɨ	manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HBG]	ho2024-hbg-i004
4	face	HO2	republished_control	73	64	left	1 med mua	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HO2]	
4	face	HRA	target	73	64	left	3 me?na	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HRA]	ho2024-hra-i004
4	face	HO3	republished_control	73	64	left		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HO3]	
4	face	HOP	target	73	64	right	2 met? muta	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HOP]	ho2024-hop-i004
4	face	HBA	target	73	64	right	1 met? muve	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HBA]	ho2024-hba-i004
4	face	HNI	target	73	64	right	5 tʃehera	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list HNI]	ho2024-hni-i004
4	face	BBG	comparison_control	73	64	right	1 met?ŋ mɨana	attested	medium	central close vowel and final velar nasal resolved from alphabet chart	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list BBG]	
4	face	BMA	comparison_control	73	64	right	2 met mute	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list BMA]	
4	face	BOP	comparison_control	73	64	right	1 me?t moan	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list BOP]	
4	face	BRA	comparison_control	73	64	right	2 me?d mote	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list BRA]	
4	face	BGH	comparison_control	73	64	right	2 met muta	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list BGH]	
4	face	MU1	comparison_control	73	64	right		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list MU1]	
4	face	MU2	comparison_control	73	64	right	1 med muanra	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list MU2]	
4	face	SA1	comparison_control	73	64	right	3 mẽt? ãhã	attested	medium	nasalized vowels retained with combining tilde	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list SA1]	
4	face	SBA	comparison_control	73	64	right	3 met tʰʌ	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list SBA]	
4	face	OCU	comparison_control	73	64	right	6 mɖhe	attested	medium	initial cluster contains source retroflex voiced stop glyph	manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 4, list OCU]	
5	eye	HO1	republished_control	73	64	left	1 med	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HO1]	
5	eye	HTH	target	73	64	left	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HTH]	ho2024-hth-i005
5	eye	HKA	target	73	64	left		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	missing	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HKA]	
5	eye	HKE	target	73	64	left	1 me?n	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HKE]	ho2024-hke-i005
5	eye	HCH	target	73	64	left	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HCH]	ho2024-hch-i005
5	eye	HCU	target	73	64	left	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HCU]	ho2024-hcu-i005
5	eye	HSU	target	73	64	left	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HSU]	ho2024-hsu-i005
5	eye	HSA	target	73	64	left	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HSA]	ho2024-hsa-i005
5	eye	HJO	target	73	64	left		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	missing	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HJO]	
5	eye	HDH	target	73	64	left	1 me?d	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HDH]	ho2024-hdh-i005
5	eye	HBG	target	73	64	left	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HBG]	ho2024-hbg-i005
5	eye	HO2	republished_control	73	64	left	1 med	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HO2]	
5	eye	HRA	target	73	64	left	1 me?n	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HRA]	ho2024-hra-i005
5	eye	HO3	republished_control	73	64	left	1 met	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HO3]	
5	eye	HOP	target	73	64	right	1 me?n	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HOP]	ho2024-hop-i005
5	eye	HBA	target	73	64	right	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HBA]	ho2024-hba-i005
5	eye	HNI	target	73	64	right	1 met?ŋ	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	staged	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list HNI]	ho2024-hni-i005
5	eye	BBG	comparison_control	73	64	right	1 met?ŋ	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list BBG]	
5	eye	BMA	comparison_control	73	64	right	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list BMA]	
5	eye	BOP	comparison_control	73	64	right	1 me?n	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list BOP]	
5	eye	BRA	comparison_control	73	64	right	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list BRA]	
5	eye	BGH	comparison_control	73	64	right	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list BGH]	
5	eye	MU1	comparison_control	73	64	right	1 me?d	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list MU1]	
5	eye	MU2	comparison_control	73	64	right	1 med	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	control-excluded	varenkamp2024ho[Appendix D.3, printed p. 64, item 5, list MU2]	
