Item	Gloss	Site_Code	PDF_Page	Printed_Page	Column	OCR_Evidence_Only	Manual_Transcription	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
2	head	HTH	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HKA	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HKE	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HCH	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HCU	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HSU	72	63	left	| boo	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HSA	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HJO	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HDH	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HBG	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HO2	72	63	left	1 bo	1 bo	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HRA	72	63	left	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HO3	72	63	left	1 bo?	1 bo?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HOP	72	63	right	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HBA	72	63	right	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	HNI	72	63	right	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	BBG	72	63	right	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	BMA	72	63	right	1 boho	1 boho	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	BOP	72	63	right	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	BRA	72	63	right	1 bo?o	1 bo?o	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	BGH	72	63	right	1 bo?	1 bo?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	MU1	72	63	right	1 bo?	1 bo?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	MU2	72	63	right	1 bo, 2 mund	1 bo, 2 mund	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	SA1	72	63	right	1 bohok	1 bohok	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	SBA	72	63	right	1 boha?	1 bɔhʌ?	attested	medium	source open-back vowels encoded as ɔ and ʌ	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
2	head	OCU	72	63	right	2 mondo	2 mʊnɖɔ	attested	medium	source vowel/retroflex glyphs encoded as ʊ and ɖ	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HO1	72	63	left	1 bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HTH	72	63	left	1 bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HKA	72	63	left	1 bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HKE	72	63	left	1 bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HCH	72	63	left	1 bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HCU	72	63	left	1 bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HSU	72	63	left	1 bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HSA	72	63	left	1 bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HJO	72	63	left	1 bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HDH	72	63	left	bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HBG	72	63	left	bale?	1 bale?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HO2	72	63	left	ub	2 ub	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HRA	72	63	left	bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HO3	72	63	left	u?p	2 u?p	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HOP	72	63	right	2 bo? up	2 bo? up	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HBA	72	63	right	1 bo?o bale	1 bo?o bale	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	HNI	72	63	right	2 bo? up	2 bo? up	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	BBG	72	63	right	2 ub?	2 ub?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	BMA	72	63	right	ub	2 ub	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	BOP	72	63	right	2 bo?o up	2 bo?o up	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	BRA	72	63	right	bo?o u?b	2 bo?o u?b	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	BGH	72	63	right	u?p	2 u?p	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	MU1	72	63	right	u?b	2 u?b	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	MU2	72	63	right	ub	2 ub	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	SA1	72	63	right	u?p	2 u?p	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	SBA	72	63	right	u?p	2 u?p	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
3	hair	OCU	72	63	right	1 bale	1 bala	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HO1	73	64	left	1 meq muwa, 2 med motfa	1 med muwa, 2 med motʃa	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HTH	73	64	left	2 motfa	2 motʃa	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HKA	73	64	left	1 met? muva	1 met? muva	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HKE	73	64	left	1 me?t moe	1 me?t mɨe	attested	medium	central close vowel read from the report alphabet as ɨ	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HCH	73	64	left	1 met? mfva	1 met? mɨva	attested	medium	central close vowel read from the report alphabet as ɨ	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HCU	73	64	left	1 med? mué	1 med? muẽ	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HSU	73	64	left	1 met? muve, 2 a motfa	1 met? muve, 2 a motʃa	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HSA	73	64	left	2 motfa	2 motʃa	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HJO	73	64	left	1 mot? muva	1 mot? muva	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HDH	73	64	left	1 me?d moe	1 me?d mɨe	attested	medium	central close vowel read from the report alphabet as ɨ	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HBG	73	64	left	t met? mia	1 met? mɨa	attested	medium	central close vowel read from the report alphabet as ɨ	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HO2	73	64	left	1 med mua	1 med mua	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HRA	73	64	left	3 me?na	3 me?na	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HO3	73	64	left	-----		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HOP	73	64	right	2 met? muta	2 met? muta	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HBA	73	64	right	1 met? muve	1 met? muve	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	HNI	73	64	right	5 tfeheca	5 tʃehera	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	BBG	73	64	right	1 met?p mana	1 met?ŋ mɨana	attested	medium	central close vowel and final velar nasal resolved from alphabet chart	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	BMA	73	64	right	2 met mute	2 met mute	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	BOP	73	64	right	1 me?t moan	1 me?t moan	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	BRA	73	64	right	2 me?d mote	2 me?d mote	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	BGH	73	64	right	2 met muta	2 met muta	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	MU1	73	64	right	-----+		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	MU2	73	64	right	1 med muanra	1 med muanra	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	SA1	73	64	right	3 m6t? aha	3 mẽt? ãhã	attested	medium	nasalized vowels retained with combining tilde	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	SBA	73	64	right	3 met tha	3 met tʰʌ	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
4	face	OCU	73	64	right	6 mihe	6 mɖhe	attested	medium	initial cluster contains source retroflex voiced stop glyph	manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HO1	73	64	left	1 med	1 med	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HTH	73	64	left	1 met?	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HKA	73	64	left	-----		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HKE	73	64	left	1 me?n	1 me?n	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HCH	73	64	left	1 met?	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HCU	73	64	left	1 met?	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HSU	73	64	left	1 met?	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HSA	73	64	left	1 met?	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HJO	73	64	left	-----		blank	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HDH	73	64	left	1 me?d	1 me?d	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HBG	73	64	left	1 met?	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HO2	73	64	left	1 med	1 med	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HRA	73	64	left	1 me?n	1 me?n	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HO3	73	64	left	1 met	1 met	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HOP	73	64	right	1 me?n	1 me?n	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HBA	73	64	right	1 met?	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	HNI	73	64	right	1 met?p	1 met?ŋ	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	BBG	73	64	right	1 met?n	1 met?ŋ	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	BMA	73	64	right	1 met?	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	BOP	73	64	right	1 me?n	1 me?n	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	BRA	73	64	right	1 met?	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	BGH	73	64	right	1 met?	1 met?	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	MU1	73	64	right	1 me?d	1 me?d	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	MU2	73	64	right	1 med	1 med	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	SA1	73	64	right	1 mét	1 mẽt	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	SBA	73	64	right	1 met	1 met	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
5	eye	OCU	73	64	right	2 akhi	2 akhi	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HO1	73	64	left	1 tukue	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HTH	73	64	left	1 luguc	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HKA	73	64	left	1 lutue	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HKE	73	64	left	1 lutuec	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HCH	73	64	left	1 luguc	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HCU	73	64	left	1 lutue	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HSU	73	64	left	1 lutuc	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HSA	73	64	left	1 lukue	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HJO	73	64	left	1 lukuc	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HDH	73	64	left	1 luguc	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HBG	73	64	left	1 lutue	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HO2	73	64	left	1 lutue	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HRA	73	64	left	1 lutuc	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HO3	73	64	left	1 lutue	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	HOP	73	64	right	1 lutur	1 luṯur	attested	high		manual-source-image; rendered-180dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
