Form_ID,Source
d1110,"dedr[entry 1110, DED 930(a), DED(N) 930(b)]"
d1111,"dedr[entry 1111, DED 932]"
d1112,"dedr[entry 1112, DED 933]"
d1113,"dedr[entry 1113, DED(S, N) 934]"
d1114,"dedr[entry 1114, DED(S, N) 935]"
d1115,"dedr[entry 1115, DED 936]"
d1116,"dedr[entry 1116, DED(N) 937]"
d1117,"dedr[entry 1117, DED(S, N) 938]"
d1118,"dedr[entry 1118, DED(N) 939]"
d112,"dedr[entry 112, DED(S) 56(b)]"
d1120,"dedr[entry 1120, DED(S) 941]"
d1121,"dedr[entry 1121, DEDS 142]"
d1122,"dedr[entry 1122, DED(S) 942]"
d1123,"dedr[entry 1123, DED(S) 943]"
d1124,"dedr[entry 1124, DED(S, N) 945]"
d1125,"dedr[entry 1125, DED(S) 946]"
d1126,"dedr[entry 1126, DEDS 143]"
d1127,"dedr[entry 1127, DEDS 144]"
d1128,"dedr[entry 1128, DEDS 145]"
d1129,"dedr[entry 1129, DEDS 146]"
d113,"dedr[entry 113, DEDS 21]"
d1130,"dedr[entry 1130, DED 947]"
d1131,"dedr[entry 1131, DED 948]"
d1132,"dedr[entry 1132, DED(S) 1059(b)]"
d1133,"dedr[entry 1133, DED(S) 950]"
d1134,"dedr[entry 1134, DED 951]"
d1135,"dedr[entry 1135, DED(S, N) 952]"
d1136,"dedr[entry 1136, DED(S) 943]"
d1137,"dedr[entry 1137, DED 953]"
d1138,"dedr[entry 1138, DED(N) 954]"
d1139,"dedr[entry 1139, DED(S) 955]"
d114,"dedr[entry 114, DED(S, N) 97]"
d1140,"dedr[entry 1140, DED(S, N) 956]"
d1141,"dedr[entry 1141, DED(S, N) 957]"
d1142,"dedr[entry 1142, DED 958]"
d1143,dedr[entry 1143]
d1144,"dedr[entry 1144, DED 959]"
d1145,"dedr[entry 1145, DED(S) 960]"
d1146,"dedr[entry 1146, DEDS 147]"
d1147,"dedr[entry 1147, DED(S, N) 961]"
d1148,"dedr[entry 1148, DED(S, N) 962]"
d1149,"dedr[entry 1149, DED(S) 963]"
d115,dedr[entry 115]
d1150,"dedr[entry 1150, DED(S, N) 964]"
d1151,"dedr[entry 1151, DED(S, N) 965]"
d1152,"dedr[entry 1152, DED 966]"
d1153,"dedr[entry 1153, DED 967]"
d1154,"dedr[entry 1154, DED 968]"
d1155,"dedr[entry 1155, DED 969]"
d1156,"dedr[entry 1156, DED(S) 970]"
d1157,"dedr[entry 1157, DED 971]"
d1158,"dedr[entry 1158, DED(S, N) 972]"
d1159,"dedr[entry 1159, DED(S) 973]"
d116,"dedr[entry 116, DED(S) 98]"
d1160,"dedr[entry 1160, DED(S) 974]"
d1161,"dedr[entry 1161, DED 975]"
d1162,dedr[entry 1162]
d1163,"dedr[entry 1163, DED(S) 976]"
d1164,"dedr[entry 1164, DED(S) 977]"
d1165,"dedr[entry 1165, DED(S) 978]"
d1166,"dedr[entry 1166, DED(S, N) 979]"
d1167,"dedr[entry 1167, DED 980]"
d1168,"dedr[entry 1168, DED 981]"
d1169,"dedr[entry 1169, DED 982]"
d117,"dedr[entry 117, DED(S) 99]"
d1170,"dedr[entry 1170, DED 983]"
d1171,"dedr[entry 1171, DED(S) 984]"
d1172,"dedr[entry 1172, DED 985]"
d1173,"dedr[entry 1173, DED(S) 986]"
d1174,"dedr[entry 1174, DED 987]"
d1175,"dedr[entry 1175, DED(S) 988]"
d1176,"dedr[entry 1176, DED(S) 989]"
d1177,"dedr[entry 1177, DED 990]"
d1178,"dedr[entry 1178, DEDS 149]"
d1179,"dedr[entry 1179, DEDS 150]"
d118,"dedr[entry 118, DED(S) 100]"
d1180,"dedr[entry 1180, DED(S, N) 991]"
d1181,"dedr[entry 1181, DED(N) 992]"
d1182,"dedr[entry 1182, DED 993]"
d1183,"dedr[entry 1183, DED(S) 994]"
d1184,"dedr[entry 1184, DED(S) 995]"
d1185,"dedr[entry 1185, DED(S) 996]"
d1186,"dedr[entry 1186, DED 997]"
d1187,"dedr[entry 1187, DED 998]"
d1188,"dedr[entry 1188, DED(S, N) 999]"
d1189,"dedr[entry 1189, DED 1000]"
d119,"dedr[entry 119, DED(S) 101]"
d1190,"dedr[entry 1190, DEN 14]"
d1191,"dedr[entry 1191, DEDS 151]"
d1192,"dedr[entry 1192, DEDS 152]"
d1193,"dedr[entry 1193, DED 1001]"
d1194,"dedr[entry 1194, DED 1002]"
d1195,"dedr[entry 1195, DED 1003]"
d1196,"dedr[entry 1196, DED(S) 1004]"
d1197,"dedr[entry 1197, DED 1005]"
d1198,"dedr[entry 1198, DED(S) 1006]"
d1199,"dedr[entry 1199, DED(N) 1007]"
d12,"dedr[entry 12, DEDS 1]"
d120,"dedr[entry 120, DED(S, N) 69(b)]"
d1200,"dedr[entry 1200, DED(S) 1008]"
d1201,"dedr[entry 1201, DED 1009]"
d1202,"dedr[entry 1202, DED 1010]"
d1203,"dedr[entry 1203, DED(S) 1011]"
d1204,"dedr[entry 1204, DED(S) 1012]"
d1205,"dedr[entry 1205, DEDS 153]"
d1206,"dedr[entry 1206, DED 1013]"
d1207,"dedr[entry 1207, DED 1014]"
d1208,"dedr[entry 1208, DED(S, N) 1015]"
d1209,dedr[entry 1209]
d121,"dedr[entry 121, DED 104]"
d1210,"dedr[entry 1210, DED 1016]"
d1211,"dedr[entry 1211, DED(S) 1017]"
d1212,"dedr[entry 1212, DED(S) 1018]"
d1213,"dedr[entry 1213, DED(S) 1019]"
d1214,"dedr[entry 1214, DEDS 154]"
d1215,"dedr[entry 1215, DEDS 155]"
d1216,"dedr[entry 1216, DED 1020]"
d1217,"dedr[entry 1217, DEDS 156]"
d1218,"dedr[entry 1218, DED 1021]"
d1219,"dedr[entry 1219, DED 1022]"
d122,"dedr[entry 122, DED 102]"
d1220,"dedr[entry 1220, DED 1023]"
d1221,"dedr[entry 1221, DED(S, N) 1024]"
d1222,"dedr[entry 1222, DED(S) 1025]"
d1223,"dedr[entry 1223, DED(S, N) 1026]"
d1224,"dedr[entry 1224, DED(S, N) 1027]"
d1225,"dedr[entry 1225, DED(S) 1028]"
d1226,"dedr[entry 1226, DED 1029]"
d1227,"dedr[entry 1227, DEDS 158]"
d1228,dedr[entry 1228]
d1229,"dedr[entry 1229, DED 1030]"
d123,"dedr[entry 123, DED 103]"
d1230,"dedr[entry 1230, DED(S) 1120]"
d1231,"dedr[entry 1231, DED 1031]"
d1232,"dedr[entry 1232, DED 1032]"
d1233,"dedr[entry 1233, DED(N) 1033]"
d1234,"dedr[entry 1234, DED(N) 1034]"
d1235,dedr[entry 1235]
d1236,"dedr[entry 1236, DED 1035]"
d1237,"dedr[entry 1237, DED 1036]"
d1238,"dedr[entry 1238, DED 1037]"
d1239,"dedr[entry 1239, DEDS 161]"
d124,"dedr[entry 124, DED 105]"
d1240,"dedr[entry 1240, DEDS 162]"
d1241,"dedr[entry 1241, DED(S) 1038]"
d1242,"dedr[entry 1242, DED 1040]"
d1243,"dedr[entry 1243, DED(S) 1041]"
d1244,"dedr[entry 1244, DED 1042]"
d1245,"dedr[entry 1245, DED(S, N) 1043]"
d1246,"dedr[entry 1246, DED 1044]"
d1247,"dedr[entry 1247, DED(S) 1045]"
d1248,"dedr[entry 1248, DED(S) 1046]"
d1249,"dedr[entry 1249, DED(S, N) 1047]"
d125,dedr[entry 125]
d1250,"dedr[entry 1250, DED(S) 1048]"
d1251,"dedr[entry 1251, DED(S) 1049]"
d1252,"dedr[entry 1252, DED(S) 1050]"
d1253,"dedr[entry 1253, DEDS 163]"
d1254,"dedr[entry 1254, DED(S) 1051]"
d1255,"dedr[entry 1255, DED 1052]"
d1256,"dedr[entry 1256, DED(S) 1053]"
d1257,dedr[entry 1257]
d1258,"dedr[entry 1258, DED 1054]"
d1259,"dedr[entry 1259, DED(N) 1055]"
d126,"dedr[entry 126, DED 106]"
d1260,"dedr[entry 1260, DED 1056]"
d1261,"dedr[entry 1261, DED(S) 1057]"
d1262,"dedr[entry 1262, DED 1058]"
d1263,"dedr[entry 1263, DED 1059(a)]"
d1264,"dedr[entry 1264, DED 1060]"
d1265,"dedr[entry 1265, DED(S) 1061]"
d1266,"dedr[entry 1266, DED 1062]"
d1267,"dedr[entry 1267, DED(S, N) 1063]"
d1268,"dedr[entry 1268, DED 1064]"
d1269,"dedr[entry 1269, DED(S) 1065]"
d127,"dedr[entry 127, DED(S) 107]"
d1270,"dedr[entry 1270, DED 1066]"
d1271,"dedr[entry 1271, DED 1068]"
d1272,"dedr[entry 1272, DED 1069]"
d1273,"dedr[entry 1273, DEDS 165]"
d1273A,"dedr[entry 1273A, DEDS 167]"
d1274,"dedr[entry 1274, DED(S, N) 1070]"
d1275,"dedr[entry 1275, DED 1071]"
d1276,"dedr[entry 1276, DED 1072]"
d1277,dedr[entry 1277]
d1278,"dedr[entry 1278, DED(S) 1073]"
d1279,"dedr[entry 1279, DED(S, N) 1074]"
d128,"dedr[entry 128, DED 108]"
d1280,"dedr[entry 1280, DED(S) 1075]"
d1281,"dedr[entry 1281, DED(S) 1076]"
d1282,"dedr[entry 1282, DED(S) 1077]"
d1283,"dedr[entry 1283, DED(S, N) 1078]"
d1284,"dedr[entry 1284, DED(S) 1079]"
d1285,"dedr[entry 1285, DED(S) 1080]"
d1286,"dedr[entry 1286, DED 1081]"
d1287,"dedr[entry 1287, DED(S) 1082]"
d1288,"dedr[entry 1288, DED(S) 1083]"
d1289,"dedr[entry 1289, DEN 14]"
d129,"dedr[entry 129, DED 109]"
d1290,"dedr[entry 1290, DED 1084]"
d1291,"dedr[entry 1291, DED(S) 1085]"
d1292,"dedr[entry 1292, DED(S, N) 1086]"
d1293,"dedr[entry 1293, DED(S) 1087]"
d1294,"dedr[entry 1294, DED 1088]"
d1295,"dedr[entry 1295, DED(S) 1089]"
d1296,"dedr[entry 1296, DEDS 168]"
d1297,"dedr[entry 1297, DED(S) 1090]"
d1298,"dedr[entry 1298, DED(S) 1091]"
d1299,"dedr[entry 1299, DED(S) 1092]"
d13,"dedr[entry 13, DED 14]"
d130,"dedr[entry 130, DED 110]"
d1300,"dedr[entry 1300, DED(S) 1093]"
d1301,"dedr[entry 1301, DED(S) 1094]"
d1302,"dedr[entry 1302, DED(S) 1095]"
d1303,"dedr[entry 1303, DED(S) 1096]"
d1304,"dedr[entry 1304, DED 1097]"
d1305,"dedr[entry 1305, DED(S) 1098]"
d1306,"dedr[entry 1306, DED 1099]"
d1307,"dedr[entry 1307, DEN 15]"
d1308,"dedr[entry 1308, DEDS 169]"
d1309,"dedr[entry 1309, DED 1100]"
d131,"dedr[entry 131, DED(S, N) 112]"
d1310,"dedr[entry 1310, DED 1101]"
d1311,"dedr[entry 1311, DED 1102]"
d1312,"dedr[entry 1312, DED 1103]"
d1313,"dedr[entry 1313, DED 1104]"
d1314,"dedr[entry 1314, DEDS 170]"
d1315,"dedr[entry 1315, DED 1105]"
d1316,"dedr[entry 1316, DEDS 171]"
d1317,"dedr[entry 1317, DED 1106]"
d1318,"dedr[entry 1318, DED 1107]"
d1319,"dedr[entry 1319, DED(S) 1108]"
d132,"dedr[entry 132, DED 113]"
d1320,"dedr[entry 1320, DED(S) 1109]"
d1321,"dedr[entry 1321, DED 1110]"
d1322,"dedr[entry 1322, DED 1111]"
d1323,"dedr[entry 1323, DEDS 172]"
d1324,"dedr[entry 1324, DED 1112]"
d1325,"dedr[entry 1325, DED(S, N) 1113]"
d1326,"dedr[entry 1326, DED(S) 1114]"
d1327,"dedr[entry 1327, DED 1115]"
d1328,"dedr[entry 1328, DED(S) 1116]"
d1329,"dedr[entry 1329, DED 1117]"
d133,"dedr[entry 133, DED(S) 114]"
d1330,"dedr[entry 1330, DED 1118]"
d1331,"dedr[entry 1331, DEDS 173]"
d1332,"dedr[entry 1332, DED 1119]"
d1333,"dedr[entry 1333, DED(N) 1129]"
d1334,"dedr[entry 1334, DED(S) 1120]"
d1335,"dedr[entry 1335, DED(S) 1121]"
d1336,"dedr[entry 1336, DED 1122]"
d1337,"dedr[entry 1337, DED(S) 1124]"
d1338,"dedr[entry 1338, DED(S) 1125]"
d1339,"dedr[entry 1339, DEDS 174]"
d134,"dedr[entry 134, DEDS 22]"
d1340,"dedr[entry 1340, DED(S) 1126]"
d1341,"dedr[entry 1341, DED(S) 1127, DED(N) 1123]"
d1342,"dedr[entry 1342, DED(S) 1128]"
d1343,"dedr[entry 1343, DED 1130]"
d1344,"dedr[entry 1344, DED 1131]"
d1345,"dedr[entry 1345, DED 1132]"
d1346,"dedr[entry 1346, DED(S) 1133]"
d1347,"dedr[entry 1347, DED(N) 1134]"
d1348,"dedr[entry 1348, DED(N) 1135]"
d1349,"dedr[entry 1349, DED(S) 1136]"
d135,"dedr[entry 135, DED(N) 115]"
d1350,"dedr[entry 1350, DED(N) 1137]"
d1351,"dedr[entry 1351, DED 1138]"
d1352,"dedr[entry 1352, DED 1139]"
d1353,"dedr[entry 1353, DED(S) 1140]"
d1354,"dedr[entry 1354, DED(S) 1067]"
d1355,"dedr[entry 1355, DED(N) 1141]"
d1356,"dedr[entry 1356, DED(S, N) 1142]"
d1357,"dedr[entry 1357, DED(S, N) 1143]"
d1358,"dedr[entry 1358, DED 1144]"
d1359,"dedr[entry 1359, DED(S, N) 1145]"
d136,"dedr[entry 136, DED 116]"
d1360,"dedr[entry 1360, DEDS 175]"
d1361,"dedr[entry 1361, DED 1146]"
d1362,"dedr[entry 1362, DED(N) 1147]"
d1363,"dedr[entry 1363, DED(S) 1148]"
d1364,"dedr[entry 1364, DED(S) 1149]"
d1365,"dedr[entry 1365, DED 1150]"
d1366,"dedr[entry 1366, DED(S) 1151]"
d1367,"dedr[entry 1367, DED 1152]"
d1368,"dedr[entry 1368, DED 1153]"
d1369,"dedr[entry 1369, DED(S) 1154]"
d137,"dedr[entry 137, DED(S) 117]"
d1370,"dedr[entry 1370, DED(S, N) 1155]"
d1371,"dedr[entry 1371, DEDS 176]"
d1372,"dedr[entry 1372, DED(S) 1156]"
d1373,"dedr[entry 1373, DED(S) 1157]"
d1374,"dedr[entry 1374, DED(S, N) 1158]"
d1375,"dedr[entry 1375, DED(N) 1159]"
d1376,"dedr[entry 1376, DED(S) 1160]"
d1377,"dedr[entry 1377, DED(S) 1161]"
d1378,"dedr[entry 1378, DED 1162]"
d1379,"dedr[entry 1379, DED 1158, DED(S, N) 1162]"
d138,"dedr[entry 138, DED 119]"
d1380,"dedr[entry 1380, DED 1163]"
d1381,"dedr[entry 1381, DEDS 177]"
d1382,dedr[entry 1382]
d1383,"dedr[entry 1383, DED 1164]"
d1384,"dedr[entry 1384, DED 1165]"
d1385,"dedr[entry 1385, DED(S, N) 1166]"
d1386,"dedr[entry 1386, DED(S) 1167]"
d1387,"dedr[entry 1387, DED 1168]"
d1388,dedr[entry 1388]
d1389,"dedr[entry 1389, DED(S, N) 1169]"
d139,"dedr[entry 139, DEDS 23]"
d1390,"dedr[entry 1390, DED 1170]"
d1391,"dedr[entry 1391, DED 1171]"
d1392,"dedr[entry 1392, DED(S, N) 1172]"
d1393,"dedr[entry 1393, DED 1173]"
d1394,"dedr[entry 1394, DED(S) 1174]"
d1395,"dedr[entry 1395, DED(S, N) 1175]"
d1396,"dedr[entry 1396, DED(N) 1175, DEN 16]"
d1397,"dedr[entry 1397, DED(S) 1176]"
d1398,"dedr[entry 1398, DEDS 179]"
d1399,"dedr[entry 1399, DED 1177]"
d14,"dedr[entry 14, DED 15]"
d140,"dedr[entry 140, DED(S) 120]"
d1400,"dedr[entry 1400, DED(S) 1178]"
d1401,"dedr[entry 1401, DED 1179]"
d1402,"dedr[entry 1402, DED 1180]"
d1403,dedr[entry 1403]
d1404,"dedr[entry 1404, DED(S) 1181]"
d1405,"dedr[entry 1405, DED(S) 1182]"
d1406,"dedr[entry 1406, DED(S) 1183(a)]"
d1407,"dedr[entry 1407, DED(S) 1184]"
d1408,"dedr[entry 1408, DED(S) 1183(b)]"
d1409,"dedr[entry 1409, DED(S) 1185]"
d141,"dedr[entry 141, DEN 2, DED 54]"
d1410,"dedr[entry 1410, DED(S) 1186]"
d1411,"dedr[entry 1411, DED(S, N) 1187]"
d1412,"dedr[entry 1412, DED(N) 1188]"
d1413,"dedr[entry 1413, DED 1189]"
d1414,"dedr[entry 1414, DED(S, N) 1190]"
d1415,"dedr[entry 1415, DED 1191]"
d1416,"dedr[entry 1416, DED(S) 1192]"
d1417,"dedr[entry 1417, DED(S, N) 1193]"
d1418,"dedr[entry 1418, DED(S) 1194]"
d1419,"dedr[entry 1419, DED 1195]"
d142,"dedr[entry 142, DED(S) 121]"
d1420,dedr[entry 1420]
d1421,"dedr[entry 1421, DEDS 181]"
d1422,"dedr[entry 1422, DEDS 182]"
d1423,"dedr[entry 1423, DED(S) 1196]"
d1424,"dedr[entry 1424, DEDS 183]"
d1425,"dedr[entry 1425, DED(S) 1197]"
d1426,"dedr[entry 1426, DEDS 184]"
d1427,"dedr[entry 1427, DEDS 185]"
d1428,"dedr[entry 1428, DED(S) 1198]"
d1429,"dedr[entry 1429, DEDS 187]"
d143,"dedr[entry 143, DED 122]"
d1430,"dedr[entry 1430, DED(S) 1199]"
d1431,"dedr[entry 1431, DED(S) 1200]"
d1432,"dedr[entry 1432, DED(N) 1201]"
d1433,"dedr[entry 1433, DEDS 188]"
d1434,"dedr[entry 1434, DED 1202]"
d1435,"dedr[entry 1435, DED 1203]"
d1436,"dedr[entry 1436, DED(S) 1204]"
d1437,"dedr[entry 1437, DED 1205, DEDS 189]"
d1438,"dedr[entry 1438, DED(S) 1206]"
d1439,"dedr[entry 1439, DEDS 190]"
d144,"dedr[entry 144, DED(S) 123]"
d1440,"dedr[entry 1440, DED 1207]"
d1441,"dedr[entry 1441, DED(S) 1208]"
d1442,"dedr[entry 1442, DEDS 191]"
d1443,"dedr[entry 1443, DED(S) 1209]"
d1444,"dedr[entry 1444, DED(S) 1210]"
d1445,"dedr[entry 1445, DED(S) 1211]"
d1446,"dedr[entry 1446, DED(N) 1212]"
d1447,"dedr[entry 1447, DED 1213]"
d1448,"dedr[entry 1448, DED 1214]"
d1449,"dedr[entry 1449, DEDS 193]"
d145,"dedr[entry 145, DED(S) 43(b)]"
d1450,"dedr[entry 1450, DEDS 194]"
d1451,"dedr[entry 1451, DED(S) 1215]"
d1452,"dedr[entry 1452, DEDS 195]"
d1453,"dedr[entry 1453, DEDS 196]"
d1454,"dedr[entry 1454, DED 1216]"
d1455,"dedr[entry 1455, DED 1217]"
d1456,"dedr[entry 1456, DED(S) 1218]"
d1457,"dedr[entry 1457, DEDS 197]"
d1458,"dedr[entry 1458, DED(S, N) 1219]"
d1459,"dedr[entry 1459, DED(S, N) 1220]"
d146,"dedr[entry 146, DED 124]"
d1460,"dedr[entry 1460, DED(S, N) 1221]"
d1461,"dedr[entry 1461, DED(S) 1222]"
d1462,"dedr[entry 1462, DED(S) 1223]"
d1463,"dedr[entry 1463, DED 1224]"
d1464,"dedr[entry 1464, DED(S) 1225]"
d1465,"dedr[entry 1465, DED 1226]"
d1466,"dedr[entry 1466, DED(S, N) 1227]"
d1467,"dedr[entry 1467, DEDS 198]"
d1468,"dedr[entry 1468, DEDS 199]"
d1469,"dedr[entry 1469, DED 1228]"
d147,"dedr[entry 147, DED(S) 125]"
d1470,"dedr[entry 1470, DED 1229]"
d1471,"dedr[entry 1471, DED(S) 1230]"
d1472,"dedr[entry 1472, DED 1231]"
d1473,"dedr[entry 1473, DED 1232]"
d1474,"dedr[entry 1474, DED(S, N) 1233]"
d1475,"dedr[entry 1475, DED(S) 1234]"
d1476,"dedr[entry 1476, DED 1235]"
d1477,"dedr[entry 1477, DED(S) 1236]"
d1478,"dedr[entry 1478, DED(S, N) 1237]"
d1479,"dedr[entry 1479, DED(S, N) 1238, DED 1243]"
d148,"dedr[entry 148, DED 126]"
d1480,"dedr[entry 1480, DED(S, N) 1239]"
d1481,"dedr[entry 1481, DED 1240]"
d1482,"dedr[entry 1482, DED 1241]"
d1483,"dedr[entry 1483, DED(S) 1242]"
d1484,"dedr[entry 1484, DEDS 200]"
d1485,"dedr[entry 1485, DED 1244]"
d1486,"dedr[entry 1486, DED 1245]"
d1487,"dedr[entry 1487, DED 1246]"
d1488,"dedr[entry 1488, DED 1247]"
d1489,"dedr[entry 1489, DED 1248]"
d149,"dedr[entry 149, DED(S) 127]"
d1490,"dedr[entry 1490, DED(N) 1249]"
d1491,"dedr[entry 1491, DED 1250]"
d1492,"dedr[entry 1492, DED 1251]"
d1493,"dedr[entry 1493, DED 1252]"
d1494,"dedr[entry 1494, DED(S) 1253]"
d1495,"dedr[entry 1495, DED(S) 1254]"
d1496,"dedr[entry 1496, DED 1255]"
d1497,"dedr[entry 1497, DED 1256]"
d1498,"dedr[entry 1498, DED 1257]"
d1499,"dedr[entry 1499, DED(S) 1258]"
d15,"dedr[entry 15, DED(S) 16]"
d150,"dedr[entry 150, DED 128]"
d1500,"dedr[entry 1500, DED 1259]"
d1501,"dedr[entry 1501, DED 1260]"
d1502,"dedr[entry 1502, DED 1261]"
d1503,"dedr[entry 1503, DEDS 186]"
d1504,"dedr[entry 1504, DED(S) 1262]"
d1505,"dedr[entry 1505, DED(S) 1263]"
d1506,"dedr[entry 1506, DED(S) 1264]"
d1507,"dedr[entry 1507, DED(S) 1265]"
d1508,"dedr[entry 1508, DED 1266]"
d1509,"dedr[entry 1509, DED 1267]"
d151,"dedr[entry 151, DED(S) 129]"
d1510,"dedr[entry 1510, DED(N) 1268]"
d1511,"dedr[entry 1511, DED(S, N) 1269]"
d1512,"dedr[entry 1512, DED(S, N) 1270]"
d1513,"dedr[entry 1513, DED(S) 1271]"
d1514,"dedr[entry 1514, DED(S, N) 1272]"
d1515,"dedr[entry 1515, DED(S, N) 1273]"
d1516,"dedr[entry 1516, DED 1274]"
d1517,"dedr[entry 1517, DED 1275]"
d1518,"dedr[entry 1518, DEDS 201]"
d1519,"dedr[entry 1519, DEDS 202]"
d152,"dedr[entry 152, DED 130]"
