Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	Printed_Page	Response	Review
8	wind	1	bata	bataʃ	0	45	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	2	noit	noŋʃit	6	45	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	2	nst	nʊŋsɪt	78	45	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	2	nuit	nuŋʃit	1245	45	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
8	wind	2	nuit	nuʃit	3	45	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	1	bddut mkano	bɪddut ʈʃɔmkano	0	45	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	2	namtha kupp	namthaŋ kuppʌ	1	45	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	2	nthwxkp	nɔːŋthwxɐːkpɐʔ	7	45	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	2	nth	nɔŋthɐːŋ	8	45	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	2	nodha kupp	noŋdhaŋ kuppʌ	34	45	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	2	notha kupp	noŋthaŋ kuppʌ	6	45	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	2	nutha kapp	nuŋthaŋ kappʌ	5	45	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
9	lightning	3	nudabi	nuŋdʒabi	2	45	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	1	mh don	mɛgh gɔɹdʒon	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	2	nokhakp	noŋkhakpʌ	2	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	2	nukhakp	nuŋkhakpʌ	5	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	2	nukhob	nuŋkhoŋbʌ	134	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	3	nithoukhob	niŋthou̯khoŋbʌ	6	46	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	3	nthwxb	nɔːŋthɔwxɔːŋbɐʔ	7	46	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
10	thunder	4	bz	bəɹɐzɐ	8	46	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
11	sea	1	mudo	ʃɔmudɾo	04	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
11	sea	1	smd	sɐmʊdɹɐ	78	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
11	sea	2	daija	daɾija	1	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
11	sea	2	dija	dʌɾija	6	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
11	sea	3	ipak	ipak	5	46	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
12	mountain	1	paha	pahaɽ	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
12	mountain	2		ʈʃɪŋ	123456	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
12	mountain	2	tsi	tsiŋ	8	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
12	mountain	3	tsw	tsɪŋʐɐw	7	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
13	water	1	pani	pani	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
13	water	2	s	ɪsɪŋ	7	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
13	water	2	si	ɪsiŋ	8	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
13	water	2	i	iʃɪŋ	123456	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
14	river	1	nodi	nodi	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
14	river	2	tul	tuɹɛːl	7	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
14	river	2	tun	tuɹɛːn	8	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
14	river	2	turl	turɛl	6	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
14	river	2	turn	turɛn	12345	46	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	1	mai	maʈi	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	2	laibak	lai̯bak	1	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	2	leibak	lei̯bak	236	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	2	leipak	lei̯pak	45	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	3	laibak	lai̯bak	1	46	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	3	limi	lɛimɐi	78	46	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
15	soil/ground	3	leibak	lei̯bak	236	46	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	1	kada	kada	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	2	likhm	lɛikhɔːm	78	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	2	leikhom	lei̯khom	1456	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
16	mud	2	leikhum	lei̯khum	23	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	1	dhula	dhula	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	2	phul	ʊphul	78	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	2	uul	uɸul	12	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	2	ufun	ufun	5	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	2	uphun	uphun	3	46	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
17	dust	3	leiphun	lei̯phun	2456	46	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
18	stone	1	pathor	pathor	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
18	stone	2	lu	luŋ	1	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
18	stone	2	nu	nuŋ	2345678	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	1	bali	bali	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	2	lii	lɛiŋɔi	78	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	2	leioi	lei̯ŋŋoi̯	12456	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
19	sand	3	uphun	uphun	3	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
20	gold	1	ona	ʃona	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
20	gold	1	una	ʃuna	2	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
20	gold	2	ana	ʃana	13456	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
20	gold	2	sn	sɐnɐ	78	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
21	silver	1	lupa	lupa	1	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
21	silver	1	rupa	rupa	02456	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
21	silver	2	kondak	kondʒak	3	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
21	silver	3	silb	silbɛɹ	78	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	1	ad	adʒ	0	46	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	2	si	ŋɐsi	8	46	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	2	s	ŋɐsɪ	7	46	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	2	ahi	ŋahi	1	46	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	2	ai	ŋaʃi	2345	46	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
22	today	2	i	ŋʌʃi	6	46	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	1	tokal / kalke	gɔtokal / kalke	0	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	2	aa	aɾaŋ	3	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	2		ŋɐŋɹəːŋ	8	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	2		ŋɐɹɐːŋ	7	47	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
23	yesterday	2	aa	ŋaɾaŋ	12456	47	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	1	aamikal	agamikal	0	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	2	hj	hɐjɛːŋ	78	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
24	tomorrow	2	haj	hajɛŋ	123456	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	1	hpt	hɐptɐ	78	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	1	hapta	hapta	146	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
25	week	1	pta	ʃɔpta	0235	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
26	month	1	ma	maʃ	0	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
26	month	2	tha	tha	123456	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
26	month	2	th	thɐ	8	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
26	month	2	th	thɐː	7	47	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
27	year	1	bhor	bɔʈʃhor	0	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
27	year	2	hi	ʈʃɛhi	123456	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
27	year	2	tsh	tsɐhɪ	78	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	1	dn	dɪn	0123	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	2	nmt	nʊmɪt	7	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	2	numt	numɪt	258	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	3	noma	noŋma	4	47	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
28	day	4	nothn	noŋthɪn	6	47	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	1	kal	ʃɔkal	0	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	2	juk	ɐjuk	78	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
29	morning	2	ajuk	ajuk	123456	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
30	noon	1	dupur	dupur	0	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
30	noon	2	nuthn	nuŋthɪn	7	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
30	noon	3	numtjub	numɪtjuŋbɐ	8	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	1	anda	ʃanda	4	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	1	ondha	ʃondha	02	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	2	numt tabi	numɪt tabi	6	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	2	numt tab	numɪt tabʌ	13	47	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	3	daaba	dʒaʈʃaŋba	5	47	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	4	numidim	numidɐːŋɔiɹɐm	78	47	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
31	evening	5	lw	lɔwɹɐːŋ	7	47	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	1	rat	rat	0	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	2	h	ɐhɪŋ	7	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	2	ah	ahɪŋ	1	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	3	numid	numidɐːŋ	8	47	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	3	numida	numidaŋ	6	47	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
32	night	3	nuda	nuŋdaŋ	2345	47	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
33	paddy rice	1	dhan	dhan	0	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
33	paddy rice	2	phw	phɔw	78	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
33	paddy rice	2	phou	phou̯	2456	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
33	paddy rice	3	fou	fou̯	3	47	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
33	paddy rice	4	au	ɸau̯	1	47	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
34	uncooked rice	1	al	ʈʃal	0	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
34	uncooked rice	2		ʈʃɛŋ	123456	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
34	uncooked rice	2	ts	tsɛːŋ	7	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
34	uncooked rice	2	ts	tsɛŋ	8	47	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
35	cooked rice	1	bhat	bhat	0	47	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
35	cooked rice	2	ak	ʈʃak	123456	47	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
35	cooked rice	2	tsk	tsɐːk	78	47	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
36	wheat	1	m	gɔm	0123456	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
36	wheat	2	hu	gɛhu	78	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
37	corn	1	bhua	bhuʈʈa	0	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
37	corn	2	udak	ʈʃudʒak	1	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
37	corn	2	tsuzk	tsuzɐːk	78	48	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
37	corn	3	udak	ʈʃugʌdʒak	6	48	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
37	corn	3	ukiak	ʈʃukiʈʃak	5	48	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
37	corn	3	ukuak	ʈʃukuʈʃak	234	48	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
37	corn	4	udak	ʈʃudʒak	1	48	7	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
37	corn	4	udak	ʈʃugʌdʒak	6	48	8	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
38	potato	1	lu	ɐlu	78	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
38	potato	1	alu	alu	0123456	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
39	cauliflower	1	phulkopi	phulkopi	0123456	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
39	cauliflower	2	kbithmtst	kɔbithɐmtsɛt	8	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
39	cauliflower	3	kobili	kobilɛi	7	48	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
40	cabbage	1	badhakopi	badhakopi	0123456	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
40	cabbage	2	kbi	kɔbi	8	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
40	cabbage	3	kbiphun	kɔbiphun	7	48	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
41	eggplant	1	bun	bɛgun	0	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
41	eggplant	2	khmn	khɐmɛːn	78	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
41	eggplant	2	khaml	khamɛl	1	48	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
41	eggplant	2	khamn	khamɛn	23456	48	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
42	peanut	1	badam	badam	0123	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
42	peanut	2	libkhwi	lɛibɐːkhɐwɐi	7	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
42	peanut	2	leibak hawai	lei̯bak hawai̯	456	48	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
42	peanut	3	hwith	hɐwɐithɐɹɐ	8	48	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
43	tree	1	ah	gaʈʃh	0	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
43	tree	2	upal	upal	1	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
43	tree	3	pamphi	pamphi	6	48	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
43	tree	3	pnbi	ʊpɐːnbi	8	48	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
43	tree	3	upambi	upambi	2345	48	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
43	tree	4	u	uː	7	48	6	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
44	branch	1	al	ɖal	0	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
44	branch	2	m	mɐʃɐ	8	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
44	branch	2	ms	mɐsɐː	7	48	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
44	branch	2	masa	mas̥a	6	48	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
44	branch	2	maa	maʃa	12345	48	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
45	leaf	1	pata	pata	0	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
45	leaf	2	mn	mɐnɐː	7	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
45	leaf	2	mana	mana	12345	48	3	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
45	leaf	2	mna	mʌna	6	48	4	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
45	leaf	2	un	unɐː	8	48	5	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
46	thorn	1	kaa	kaʈa	0	48	1	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
46	thorn	2	tnkha	tɪnkhaŋ	123456	48	2	official PDF text layer; SAG-IPA bytes converted with SIL's SAGIPA2Uni.map v1.0
