Item	Gloss	Site_Code	PDF_Page	Printed_Page	Column	Manual_Transcription	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Disposition	Citation
4	face	KEL	91	83	left	1 mwɪ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list KEL]
4	face	DHA	91	83	left	1 mwi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list DHA]
4	face	DIG	91	83	left	1 mwɪ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list DIG]
4	face	AMO	91	83	left	1 mwi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list AMO]
4	face	MUN	91	83	left	2 sob	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list MUN]
4	face	AST	91	83	left	2 sob	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list AST]
4	face	MAN	91	83	right	1 mui	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list MAN]
4	face	BHU	91	83	right	1 moi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list BHU]
4	face	AML	91	83	right	1 mwi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list AML]
4	face	SEG	91	83	right	3 mukh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list SEG]
4	face	KAN	91	83	right	1 mwi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list KAN]
4	face	SHA	91	83	right	1 mwi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 4, list SHA]
4	face	TOR	91	83	right	1 mwi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	watters2013northerndhule[Appendix C, printed p. 83, item 4, list TOR]
5	eye	KEL	91	83	left	1 ɖo	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list KEL]
5	eye	DHA	91	83	left	1 ɖo	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list DHA]
5	eye	DIG	91	83	left	1 ɖo	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list DIG]
5	eye	AMO	91	83	left	2, 3 ɖolo	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list AMO]
5	eye	MUN	91	83	left	2 ɖou	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list MUN]
5	eye	AST	91	83	left	2 ɖou	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list AST]
5	eye	MAN	91	83	right	3 ɖula	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list MAN]
5	eye	BHU	91	83	right	3 ɖuɭa	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list BHU]
5	eye	AML	91	83	right	3 ɖuwa	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list AML]
5	eye	SEG	91	83	right	2, 3 ɖuɭu	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list SEG]
5	eye	KAN	91	83	right	2, 3 ɖuɭu	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list KAN]
5	eye	SHA	91	83	right	3 ɖuwa	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 83, item 5, list SHA]
5	eye	TOR	91	83	right	2, 3 ɖolo	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	watters2013northerndhule[Appendix C, printed p. 83, item 5, list TOR]
6	ear	KEL	92	84	left	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list KEL]
6	ear	DHA	92	84	left	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list DHA]
6	ear	DIG	92	84	left	1 kan	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list DIG]
6	ear	AMO	92	84	left	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list AMO]
6	ear	MUN	92	84	left	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list MUN]
6	ear	AST	92	84	left	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list AST]
6	ear	MAN	92	84	right	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list MAN]
6	ear	BHU	92	84	right	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list BHU]
6	ear	AML	92	84	right	2 kanto	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list AML]
6	ear	SEG	92	84	right	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list SEG]
6	ear	KAN	92	84	right	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list KAN]
6	ear	SHA	92	84	right	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 6, list SHA]
6	ear	TOR	92	84	right	1 kaŋ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	watters2013northerndhule[Appendix C, printed p. 84, item 6, list TOR]
7	nose	KEL	92	84	left	1 nak	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list KEL]
7	nose	DHA	92	84	left	1 nak	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list DHA]
7	nose	DIG	92	84	left	1 nak	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list DIG]
7	nose	AMO	92	84	left	1 nakh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list AMO]
7	nose	MUN	92	84	left	1 nakh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list MUN]
7	nose	AST	92	84	left	1 nakh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list AST]
7	nose	MAN	92	84	right	1 nakh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list MAN]
7	nose	BHU	92	84	right	1 nakh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list BHU]
7	nose	AML	92	84	right	1 nakh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list AML]
7	nose	SEG	92	84	right	1 nakh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list SEG]
7	nose	KAN	92	84	right	1 nakh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list KAN]
7	nose	SHA	92	84	right	1 nakh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 7, list SHA]
7	nose	TOR	92	84	right	1 nakh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	watters2013northerndhule[Appendix C, printed p. 84, item 7, list TOR]
8	mouth	KEL	92	84	left	1 mwɪ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list KEL]
8	mouth	DHA	92	84	left	1 mwi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list DHA]
8	mouth	DIG	92	84	left	1 mwi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list DIG]
8	mouth	AMO	92	84	left	1 mwi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list AMO]
8	mouth	MUN	92	84	left	2 sob	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list MUN]
8	mouth	AST	92	84	left	2 sob	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list AST]
8	mouth	MAN	92	84	right	1 mui	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list MAN]
8	mouth	BHU	92	84	right	1 moi	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list BHU]
8	mouth	AML	92	84	right	1 mui	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list AML]
8	mouth	SEG	92	84	right	1 mui	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list SEG]
8	mouth	KAN	92	84	right	1 mui	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list KAN]
8	mouth	SHA	92	84	right	1 mui	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 8, list SHA]
8	mouth	TOR	92	84	right	1 mui	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	watters2013northerndhule[Appendix C, printed p. 84, item 8, list TOR]
9	teeth	KEL	92	84	left	1 ɖaʈh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 9, list KEL]
9	teeth	DHA	92	84	left	1 ɖaʈh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 9, list DHA]
9	teeth	DIG	92	84	left	1 ɖaʈ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 9, list DIG]
9	teeth	AMO	92	84	left	1 ɖaʈ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 9, list AMO]
9	teeth	MUN	92	84	left	1 ɖaʈh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 9, list MUN]
9	teeth	AST	92	84	left	1 ɖaʈh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 9, list AST]
9	teeth	MAN	92	84	right	1 ɖaʈh	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 9, list MAN]
9	teeth	BHU	92	84	right	1 ɖaʈ	attested	high		manual-source-image; rendered-300dpi; OCR-not-accepted	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	watters2013northerndhule[Appendix C, printed p. 84, item 9, list BHU]
