Related_Source	Relation	Dhule_Site	Related_Site	Item	Gloss	Dhule_PDF_Page	Related_PDF_Pages	Dhule_Status	Dhule_Form	Related_Status	Related_Forms	Related_Entry_Keys	Comparison	Dhule_Disposition	Related_Disposition	Evidence
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	18	leg	94	36	attested	2 guɖu	attested	guɖu		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	18	leg	94	36	attested	2 guɖu	attested	guɖu		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	18	leg	94	36	attested	3 pai	attested	pai | pai		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	19	skin	94	36	attested	1 sambʌɖʌ	attested	ambaɖu		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	19	skin	94	36	attested	1 samoɖo	attested	ʂamoɖo		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	19	skin	94	36	attested	1 tsambaɖo	attested	ʈsambaɖo		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	20	bone	94	36	attested	1 atko	attested	aʈko		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	20	bone	94	36	attested	2 aɖ	attested	aɖ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	20	bone	94	36	attested	2 aɖ	attested	aɖɛ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	21	heart	95	37	blank		blank			literal-ledger-exact	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	21	heart	95	37	blank		blank			literal-ledger-exact	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	21	heart	95	37	blank		blank			literal-ledger-exact	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	22	blood	95	37	attested	1 rogʌt̪	attested	rogʌʈ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	22	blood	95	37	attested	1 rokto	attested	rokto		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	22	blood	95	37	attested	3 ɭoi	attested	ɭoi		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	23	urine	95	37	attested	1, 2 mut̪h	attested	muʈh		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	23	urine	95	37	attested	1, 2 mut̪e	blank			same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	23	urine	95	37	attested	1 mut̪	attested	muʈ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	24	feces	95	37	attested	1 ogit	attested	logit		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	24	feces	95	37	attested	1 ogio	blank			same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	24	feces	95	37	attested	1 agio	attested	agio		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	25	village	95	37	attested	1 gau	attested	gau		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	25	village	95	37	attested	1 gau	attested	gau		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	25	village	95	37	attested	1 gaõ	attested	gaũ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	26	house	96	38	attested	3 ko	attested	ko | koʔo		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	26	house	96	38	attested	2 koʔo	attested	koʔo		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	26	house	96	38	attested	6 gjur	attested	gjar		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	27	roof	96	38	blank		attested	pʌha		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	27	roof	96	38	attested	1 paha	attested	pʌha | ɖaba		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	27	roof	96	38	attested	4 set̪	attested	ʂeʈ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	28	door	96	38	attested	2 ba	attested	bʌʔnɔ | bʌʔnɔ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	28	door	96	38	attested	1 baʔaŋo	attested	baʔa | baʔaɳo | baʔaɳo		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	28	door	96	38	attested	1 baiɳo	attested	baiɳo | baiɳo		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	29	firewood	96	38	attested	1 lakʌɖʌ	attested	nakʌɖo | naʌɖʌ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	29	firewood	96	38	attested	1 lakʌɖu	attested	lakɖu		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	29	firewood	96	38	attested	1 lakoɖ	attested	lakoɖ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	30	broom	96	38	attested	1 bʌʌɖi	attested	baʌɖi		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	30	broom	96	38	attested	1 baʔaɖi	attested	baʔaɖi | baʔaɖo		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	30	broom	96	39	attested	1 baiɖi	attested	baiɖi		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	31	mortar	97	39	attested	2 khaɖno	attested	ukhʌl | khaɖɳo		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	31	mortar	97	39	ambiguous	2 khaŋʌɖo?	attested	ukhʌl | khaɳʌɖoʔ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	31	mortar	97	39	attested	3 sapar	attested	ukheɭ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	32	pestle	97	39	attested	3 ukʌl	attested	mukʌl | mukʌl		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	32	pestle	97	39	attested	2 ɖoŋ	attested	muhʌl | muhʌl | ɖoɳ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	32	pestle	97	39	attested	4 goŋɖo	attested	muheɭ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	33	hammer	97	39	attested	1 at̪huɖi	attested	aʈʌɖi		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
