Item	PDF_Page	Printed_Page	Column	Gloss	HRT	HJN	HFT	HNG	HTR	HLH	Review	Uncertainty
32	30	23	2	pestle	1 koṭka /2 dʌsṭa /3 sol	1 koṭʰka /4 mogra	5 bʌṭ·a /6 kuṇḍi	3 soṭ·a	7 musʌlə	3 soṭ·a /7 musli	manual-scan	HRT third form continues beyond the crop and is faint
33	30	23	3	hammer	1 t̪ʰoḍi	1 hʌṭoḍa /1 tʰəuḍa	1 hʌṭʰori	1 tʰʌuḍi	1 hʌṭʰaũḍi	1 hʌṭʰoḍi	manual-scan	
34	30	23	1	knife	1 tʃaku	1 tʃaku	1 tʃaku	1 tʃaku	1 tʃaku /2 tʃʰuri	1 tʃaku	manual-scan	
35	30	23	2	axe	1 kuaḍi	1 kʷaḍa	1 kuaṛi	1 kʷaḍi	1 koṛʰaḍi	1 kʷaḍa	manual-scan	
36	30	23	3	rope	1 dʒevli /2 rʌs·a	1 dʒoḍa (short)	1 dʒev·ḍi	2 rʌs·a /3 ledʒu	1 dʒevḍə	1 dʒevḍi	manual-scan	source parenthetical “short” retained with HJN
37	30	23	1	thread	1 t̪ag·a	1 t̪ʌg·a	1 t̪ag·a /1 d̪ʌg·a	1 t̪ag·a	1 t̪ag·a	1 t̪ag·a	manual-scan	source length dots retained
38	30	23	2	needle	1 sui	1 sui	1 sui	1 sui	1 sui	1 sui	manual-scan	
39	30	23	3	cloth	1 lʌṭ·a /2 gʰʌb·a	1 lʌṭ·a	2 gʰaba /3 kʌpṛa	3 kʌpʌḍa	1 lʌṭ·a	1 lʌṭ·a	manual-scan	source length dots retained
40	30	23	1	ring	1 gutʰi /2 tʃap·	1 guttʰi /2 tʃap·	1 əgutʰi /2 tʃʰap /3 bunti	1 gəntʰi /2 tʃap·	1 gũntʰi	1 gutʰi /2 tʃap /3 bunti	manual-scan	HFT third form checked on full page; source length dots retained
41	30	23	2	sun	1 surʌdʒ	1 surʌdʒ	1 surʌdʒ	1 surʌdʒ	1 surʌdʒ	1 surʌdʒ	manual-scan	
42	30	23	3	moon	1 tʃaṇḍ	1 tʃaṇḍ	1 tʃʌṇḍa	1 tʃaṇḍ	1 tʃaṇḍ	1 tʃaṇḍ	manual-scan	
43	30	23	1	sky	1 rʌmdʒi /2 asman	3 akas /3 kaʃ	3 ʌkas /2 asman	4 ʌmbʌr /2 sman	2 asman	2 asman /3 akas	manual-scan	HRT first form is slightly faint
44	30	23	2	star	1 t̪ara	1 t̪ara	1 t̪ara	1 t̪ara	1 t̪ara	1 t̪ara	manual-scan	
45	30	23	3	rain	1 mi	1 mi	1 mi /2 baris	1 mi /2 barʌs	4 mije	3 me	manual-scan	
46	31	24	1	water	1 paṇi	1 paṇi	1 paṇi	1 paṇi	1 paṇi	1 paṇi	manual-scan	parenthetical “black” is a source note, not a second form
47	31	24	2	river	[elicitation note: call by name]	[blank]	[blank]	[blank]	[blank]	[blank]	manual-scan	all five target blanks confirmed; HRT contains an elicitation instruction rather than a lexical form
48	31	24	3	cloud	1 bʌḍ·ʌl· /2 gʌla	1 bʌḍ·ʌl	1 bʌḍ·ʌl	1 bʌḍ·ʌl /2 gʰʌla	1 bʌḍ·ʌlə	1 bʌḍ·ʌlə	manual-scan	source length dots retained
49	31	24	1	lightning	1 bidʒʌli	1 bidʒʌli	1 bidʒli	1 bidʒʌli	1 bidʒʌli	1 bidʒʌli	manual-scan	
50	31	24	2	rainbow	1 t̪ir kʌmaṇ	1 t̪ir kʌmaṇ /2 indʌr dʰʌnuʃ	2 indər dʰʌnuʃ /3 t̪ir baṇ	4 boḍlja ka beḍa	1 t̪ir kʌmaṇa	2 dʰʌnus	manual-scan	HFT third and HNG descriptive expressions are faint at the crop edge
51	31	24	3	wind	1 baḷ	1 baḷ	2 ʌva /3 puṇ	1 baḷ /2 hʌva	3 pʌũṇ /2 hʌva	1 baḷa	manual-scan	
52	31	24	1	stone	1 d̪ʌla	2 t̪oṛa	1 d̪ʌlo /3 d̪ʌg·ʌl /4 bʌtʰa	4 pʌt̪tʰʌr /5 roḍi	1 d̪ʌla /4 pʌt̪tʰʌr /4 bʰat̪a	1 d̪ʌla /4 batʰa	manual-scan	source length dot retained; last HFT and HTR forms checked on full page
53	31	24	2	path	1 ra /2 gola	3 raj (footpath) /4 gali	1 ra /4 gama· /5 rʌsṭa	1 rah /2 gola· /5 rʌsṭa	1 rʌha /6 dʌgʌḍa	1/3 rahi /2 gel·a	manual-scan	source parenthetical and length dots retained; HJN second form checked on full page
54	31	24	3	sand	1 ret̪·i	1 ret̪	1 ret̪i /2 mʌt·i	1 ret̪	1 riet̪	1 ret̪i /2 mʌt·i	manual-scan	source length dots retained; HTR vowel sequence is faint
55	31	24	1	fire	1 ag	1 əg	1 ag	1 ag	2 atʃ	1 ag	manual-scan	
56	31	24	2	smoke	1 duma	1 dum·a	1 dʰuã	1 duã	1 duã	1 dũã	manual-scan	source length dot retained
57	31	24	3	ash	1 rakʰ	1 rakʰ	1 rakʰ	1 rakʰ /2 seva	1 rakʰ	1 rakʰ	manual-scan	
58	31	24	1	mud	1 garʌ	1 gara /2 tʃikʌḍ /3 kʰetʃa	3 kitʃʌr /2 tʃikʌr /4 kaṭʃa	1 gara	3 kitʃ	1 gara /3 kitʃʌḍo	manual-scan	HJN/HFT final forms are faint and retained with typed uncertainty in the notes
59	31	24	2	dust	1 dʰul	2 mat·i /3 gʌrḍa	1 dʰur /4 uṇḍʰeri	1 dʰul /3 gʌrḍa /1 d̪ud	1 dʰulə	1 dul	manual-scan	HNG third form is faint; source length dot retained
60	31	24	3	gold	1 son·a	1 son·a	1 son·a	1 son·a	1 saũna	1 son·a	manual-scan	source length dots retained
61	32	25	1	tree	1 d̪ʌrkʰʌt̪ /2 ruk /3 peḍ	2 ruk	1 d̪ʌrkʰʌt̪	1 d̪rʌxʌt̪ /2 ruk /3 puḍ	1 d̪ʌrkʰʌt̪ /2 rukʰ	1 d̪ʌrkʰʌt̪	manual-scan	
62	32	25	2	leaf	1 pʌt̪·a	1 pʌt̪·a	1 pʌt̪·a	1 pʌt̪·a	1 pʌt̪·a	1 pʌt̪·a	manual-scan	source length dots retained
63	32	25	3	root	1 dʒʌṛ	1 dʒʌṛ	1 dʒʌṛ	1 dʒʌḍ	1 dʒʌṛ	1 dʒʌṛ	manual-scan	source retroflex flap/stop contrast retained
64	32	25	1	thorn	1 kanḍa /1 kaṭa /2 sul	1 kanḍa (small) /2 sul	1 kanṭa /2 sul	1 kãṇḍa	1 kanṭa /2 sulə /3 bʰaŋk	1 kanṭa /2 sulə	manual-scan	the source repeats HJN where the second row is structurally HFT; normalized to HFT with the source typo noted
65	32	25	2	flower	1 pʰul	1 pʰul	1 pʰul	1 pʰul	1 pʰul	1 pʰul	manual-scan	
66	32	25	3	fruit	1 pʰʌl̃	[blank]	1 fʌ·l̃	1 pʰʌlə	1 pʰʌlə	1 pʰʌlə	manual-scan	HJN printed blank confirmed; source length/nasal marks retained
67	32	25	1	mango	1 ʌmb /2 ʌmbi (unripe)	1 ʌmb /2 ʌmbi (small)	1 am· /2 ʌmbi (unripe)	1 ʌmb /2 ʌmbi gandam	1 am /2 ami	1 am /2 ʌmbi	manual-scan	source parentheticals and length dot retained
68	32	25	2	banana	1 kela	1 kela	1 kela	1 kela	1 kela	1 kela	manual-scan	
69	32	25	3	wheat	1 gju /2 kʌṇʌk	1 gju	2 kʌṇʌk	1 gehũ /2 kʌṇʌk	1 gehũ	1 gju	manual-scan	HNG has an additional clipped response beyond the target crop; checked on full page and not treated as a separate legible form
70	32	25	1	millet	1 bãudʒra	1 badʒra	1 badʒri	1 badʒra	1 badʒra	1 badʒra	manual-scan	HRT initial vowel/nasal sequence is faint
71	32	25	2	rice	1 tʃavʌl̃	1 tʃol̃	1 tʃavʌl̃	1 tʃolə	1 tʃavʌlə	1 tʃavʌlə	manual-scan	source nasalization retained
72	32	25	3	potato	1 alu	1 al·u	1 ʌl·u	1 ʌl·u	1 alu	1 alu	manual-scan	source length dots retained
73	32	25	1	eggplant	1 beŋgʌṇ̃	1 beŋgʌṇ̃	1 beŋgʌn /2 bʌṭã	1 beŋgʌn /2 bʌṭã	1 bʌjŋgʌṇa /2 bʌṭã	1 beŋgʌṇa /2 bʌṭã	manual-scan	source nasalization retained
74	32	25	2	groundnut	1 mũpʰʌli	1 mũpʰli	1 mũfli	1 muŋpʰʌli	1 mũpʰʌli	1 mũpʰʌli	manual-scan	
75	32	25	3	chilli	1 mirʌtʃ	1 mirʌtʃ	1 mirʌtʃ	1 mirtʃ	1 mirʌtʃ	1 mirʌtʃ	manual-scan	
76	33	26	1	turmeric	1 hʌl̃ḍi	1 hʌlʌḍi	1 hʌlḍi	1 ʌleḍi	1 hʌləḍi	1 hʌlḍi	manual-scan	HRT nasal mark retained
77	33	26	2	garlic	1 lʌsʌṇ	1 lʌsʌṇ	1 lʌs·ʌn	1 lʌsʌnə	1 lʌsʌnə	1 lʌsʌnə	manual-scan	source length dot retained
78	33	26	3	onion	1 gʌnṭʰa	1 gʌnṭʰa	1 gʌnṭiõ /2 pjadʒ	1 gʌṭʰa	1 gʌnṭʰa /2 pjadʒ	1 gʌnṭʰia /2 pjadʒ	manual-scan	HFT vowel/nasal ending is faint
79	33	26	1	cauliflower	[blank]	[blank]	1 pʰulgobi	1 pʰul gob·i	1 pʰul gobi	[blank]	manual-scan	three target blanks confirmed visually
80	33	26	2	tomato	1 t̪ʌmaṭʌr	1 tʌmaṭʌr	1 t̪ʌmaṭʌr	1 tʌmaṭʌr	1 t̪ʌmaṭʌr	1 tʌmaṭʌr	manual-scan	
81	33	26	3	cabbage	1 gobi	1 gob·i	1 gobi /1 pʌt̪·a gobi	1 bʌṇḍ gobi	1 pʌt̪·a gobi	1 gob·i	manual-scan	source length dots retained
82	33	26	1	oil	1 t̪el	1 t̪el	1 t̪el	1 t̪el	1 t̪el·	1 t̪el	manual-scan	source length dot retained
83	33	26	2	salt	1 nun	1 nun	1 nũn	1 nunə	1 nunə	1 nunə	manual-scan	HFT nasal mark retained
84	33	26	3	meat	1 mãs	1 mãs /2 mit	1 mãs /2 mit	1 mãs /2 mit	1 mãs /3 gos	1 mãs	manual-scan	
85	33	26	1	fat	1 tʃʌrbi	1 tʃʌrbi	1 tʃʌrbi	1 tʃʌrbi	1 tʃʌrbi	1 tʃʌrbi	manual-scan	
86	33	26	2	fish	1 mʌtʃli	1 mʌtʃʰ·i	1 mʌtʃʰi	1 mʌtʃʰi	1 mʌtʃʰi	1 mʌtʃli	manual-scan	source length dot retained
87	33	26	3	chicken	1 murgi	1 murgi	1 murgi	1 murgi	1 murgi	1 murgi	manual-scan	
88	33	26	1	egg	1 ʌṇḍa	1 ʌṇḍa	1 ʌṇḍa	1 ʌṇḍa	1 ʌṇḍa	1 ʌṇḍa	manual-scan	
89	33	26	2	cow	1 gavʌḍi	2 gã	2 gã	2 gai /2 gʌ̃	1 gavʌḍi /2 gaj	1 gavʌḍi /2 ga	manual-scan	
90	33	26	3	buffalo	1 bɛ̃s	1 mɛ̃s	1 bʰɛ̃s	1 mɛ̃s	1 bʰɛ̃s	1 bʰɛ̃js	manual-scan	HJN/HNG initial nasal-vowel forms are unusual but retained from the scan
91	34	27	1	milk	1 d̪ud̪	1 d̪ud̪̃	1 dudʰ /1 dʰino	1 dudʰ	1 dud̪	1 dudʰ	manual-scan	HFT second response is faint
92	34	27	2	horns	1 siŋg	1 siŋg	1 siŋg	1 siŋg	1 siŋg	1 siŋg	manual-scan	
93	34	27	3	tail	1 putʃ	1 puʒʌr	1 putʃ	1 putʃ	1 pãũtʃ	1 putʃ	manual-scan	HJN form is faint
94	34	27	1	goat	1 bʌkʌri	1 bʌkʌri	1 bʌkri	1 bʌkri	1 bʌkri	1 bʌkʌri	manual-scan	
95	34	27	2	dog	1 koṭ·a	1 koṭ·a	2 gʌṇḍʌk	1 koṭ·a	1 koṭ·a	1 koṭ·a	manual-scan	source length dots retained
96	34	27	3	snake	1 sãp	1 sap	1 samp /2 sʌrʌp·	1 sãp /2 sʌrʌp	1 sʌp	1 sap	manual-scan	source length dot retained
97	34	27	1	monkey	1 bʌnḍʌr (large)	1 bʌnḍʌr	1 bʌṇḍʌr mʌkoḍa	1 bʌnḍʌr	1 bʌnḍʌr	1 bʌnḍʌr	manual-scan	source parenthetical retained; HFT continuation retained as printed
98	34	27	2	mosquito	1 mʌtʃʰʌr	1 mʌtʃʰʌr	1 mʌtʃʰʌr	1 mʌtʃʰʌr	1 mʌtʃʰʌr	1 mʌtʃʰʌr	manual-scan	
99	34	27	3	ant	1 kiḍi /2 mʌkoḍa	1 kiḍi	1 kiḍi (small)	1 kiḍi /2 mʌkoḍa	1 kiḍi /3 tʃeṭa	1 kiḍi /2 mʌkoḍa	manual-scan	source parenthetical retained
100	34	27	1	spider	1 mʌkʌḍi	1 mʌkʌḍi	1 mʌkṛi	1 mʌkʌḍi admi	1 mʌkʌḍi	1 mʌkʌḍi	manual-scan	HNG includes the printed continuation “admi”; retained rather than silently deleting it
101	34	27	2	name	1 nam	1 nam·	1 nam· /1/2 nã	1 nam	1 nam·	1 nam	manual-scan	source length dots retained
102	34	27	3	man	1 maṇʌs	1 maṇʌs	2 admi	1 maṇʌs /3 mʌrd	1 maṇʌs /2 admi	1 maṇʌs	manual-scan	HNG has a clipped further response after the second form
103	34	27	1	woman	1 lugaji	1 lugaji	1 logaji	1 logaji /2 bir	1 logaji /4 birbani	1 logʌji /4 mirbani	manual-scan	
104	34	27	2	child	1 balʌk /2 tʌbʌr (Bagdi)	1 balʌk	2 t̪e·bʌr	1 balʌk	1 balʌk /3 bʌtʃ·a	1 balʌk /2 t̪ʌbʌr	manual-scan	source parenthetical and length dots retained
105	34	27	3	father	1 babu	1 bʌb·u	1 bʌp·u /2 pitadʒi	1 bapu /3 tʃatʃ·a	1 bapu	1 bapu	manual-scan	source length dots retained; HFT has a clipped further response after the second form
106	35	28	1	mother	1 mã	1 mã	1 mã	1 mã	1 mã	1 mã	manual-scan	
107	35	28	2	older brother	1 bʰaji	1 bʌḍ·a bʰai	1 bʌḍ·a bʰai	1 bʌḍa bʰaji	1 bʰai	1 bʌḍa bʰaji	manual-scan	source length dots retained
108	35	28	3	younger brother	[blank]	1 tʃoṭ·u bʰai	1 tʃoṭ·a bʰai	1 tʃoṭa bʰaji	[blank]	1 tʃʰoṭa bʰaj	manual-scan	HRT and HTR blanks confirmed; source length dots retained
109	35	28	1	older sister	1 bʌḍ·i bʌhʌṇ /2 bub·o	2 bʌḍ·i beb·o /1 bɛṇ	1 behen /3 bai	1 bʌḍi behen	1 bʌhʌṇ	1 bʌḍi bʌhʌṇ	manual-scan	source length dots retained
110	35	28	2	younger sister	1 tʃʰoṭi bʌhʌṇ	2 tʃʰoṭ·i beb·o	1 tʃoṭi behen /1 behen	1 tʃoṭi behen	[blank]	1 tʃʰoṭi bʌhʌṇ	manual-scan	HTR blank confirmed; source length dots retained
111	35	28	3	son	1 beṭ·a	1 beṭ·a /2 tʃʰora	1 beṭ·a	1 beṭa	1 beṭa	1 beṭa	manual-scan	source length dots retained
112	35	28	1	daughter	1 beṭ·i	1 beṭ·i /2 tʃʰori	1 beṭ·i	1 beṭi	1 beṭi	1 beṭi	manual-scan	an unlabelled “logaji” line appears between HNG and BPL and remains unresolved in the audit; source length dots retained
113	35	28	2	husband	1 gʰʌrala /2 kʰʌsʌm	1 gʌrala /3 bʌtewu	1 gʰɛralo	1 gʰʌrvala	1 gʰʌrvala /2 kʰʌsʌm	1 gʰʌrvala /2 kʰʌsʌm	manual-scan	
114	35	28	3	wife	1 gʰʌrali /2 bahu	1 gʌrali	1 gʰɛrali	1 gʰʌrvali /2 bahu	1 gʰʌrvali /2 bahu	2 bahu	manual-scan	HNG has a clipped third response beginning “/1” that remains unresolved
115	35	28	1	boy	1 tʃora	1 tʃora	1 tʃora	1 tʃokra	1 tʃʰora /2 lʌḍke	1 tʃora	manual-scan	
116	35	28	2	girl	1 tʃori	1 tʃori	1 tʃori	1 tʃokri	1 tʃʰori /2 lʌḍki	1 tʃori	manual-scan	
117	35	28	3	day	1 d̪in	1 d̪ɛn·	1 d̪in	1 d̪in	1 d̪in	1 d̪in	manual-scan	source length dot retained
118	35	28	1	night	1 rat̪	1 rɛt̪	1 rat̪	1 rat̪	1 rat̪	1 rat̪	manual-scan	
119	35	28	2	morning	1 t̪ʌḍ·ka	1 t̪ʌḍke /2 tʃʰok	3 d̪inge	1 t̪ʌḍʌka /4 sʌbera	1 t̪ʌḍke /5 sebeh	1 t̪ʌḍka	manual-scan	source length dot retained
120	35	28	3	noon	1 dopʰʌri	1 d̪uperi	1 d̪opʌr	1 d̪opeher	1 dopʌr	1 dopʌr	manual-scan	
121	36	29	1	evening	1 sãdʒ /2 d̪in tʃupe	1 sãdʒ	3 aṭʌṇ· /4 aṇḍivʌl·	1 sãdʒ	1 sãdʒ	1 sãdʒ /3 aṭʰʌṇka	manual-scan	HFT forms are faint; source length dots retained
122	36	29	2	yesterday	1 kʌl	1 kal	1 kal	1 kʌl	1 kʌl	1 kʌl	manual-scan	
123	36	29	3	today	1 adʒ	1 adʒ	1 adʒ	1 adʒ /2 ibi	1 adʒ	1 adʒ	manual-scan	
124	36	29	1	tomorrow	1 t̪ʌḍ·lʌ	1 t̪ʌḍkʌ /2 kal	1 t̪ʌḍ·kʌ	2 kʌl	1 t̪ʌḍke	1 t̪ʌḍkʌ /2 kʌl	manual-scan	HRT final syllable is faint; source length dots retained
125	36	29	2	week	1 hʌfṭa	1 hʌfṭa·	1 hʌfṭa	1 hʌfṭa	1 hʌfṭa /1 sʌfṭa	1 hʌfṭa	manual-scan	source length dot retained
126	36	29	3	month	1 mi·na	1 min·a	1 mihno /1 min·a	1 min·a	1 mʌhino /2 mas	1 min·a	manual-scan	source length dots retained
127	36	29	1	year	1 sal /2 bʌrʌs	1 sal	1 sal	1 sal	1 sal /2 vʌrʌs	1 sal /2 bʌrʌs	manual-scan	
128	36	29	2	old	1 pʌraṇa	1 pʌraṇa	1 pʌraṇo	1 pʌraṇa	1 pʌraṇa	1 pʌraṇa	manual-scan	
129	36	29	3	new	1 nʌja	1 nʌja /1 nʌva	2 nʌo /2 njo	1 nʌja /1 nʌvã	1 nʌja	1 nʌja	manual-scan	
130	36	29	1	good	1 ʌtʃʰa /2 bʌḍija /3 suṇa	1 ʌtʃʰa /4 sotʰra	1 ʌtʃo /5 pʰutri /3 s·uṇo	1 ʌtʃʰ·a /3 suṇa	1 ʌtʃʰa /2 bʌḍtʰa	2 bʌḍija /3 suṇa /6 sokʰa	manual-scan	HFT third form is clipped at the crop edge but readable on the full page; source length dots retained
131	36	29	2	bad	1 bʌra /2 bʰuṇḍa	1 bʌra /2 buṇḍa	3 gʌṇḍo	1 bʌra /2 bʰʌḍ·a	1 bʌra /2 bʰuṇḍa	1 bʌra	manual-scan	source length dot retained
132	36	29	3	wet	1 al·a	1 al·a	1 ala	2 gil·a	1 al·a	1 al·a	manual-scan	source length dots retained
133	36	29	1	dry	1 sukʰa· tʰeŋgṇa	1 sukʰa	1 sukʰa	1 sokkʰa	1 sukʰa /2 kosʌk tʰeŋgṇa	1 sukʰa boṇa	manual-scan	unlabelled wrapped continuations are retained with the immediately preceding target response; source length dot retained
134	36	29	2	long	1 lʌmba	1 lʌmba	1 lʌmba	1 lʌmba	1 lʌmba	1 lʌmba	manual-scan	
135	36	29	3	short	1 guṭtʰa (things)	1 guṭtʰa /3 boṇ·a	1 guṭ·o /4 mʌḍro	5 tʃoṭ·a /6 tʰoḍa	1 goṭ·a /5 tʃoṭo	5 tʃoṭa (things)	manual-scan	HRT, HTR, and HLH have clipped additional responses beginning /2, /2, and /3 respectively; source parentheticals and length dots retained
136	37	30	1	hot	1 t̪at̪·a	1 t̪at̪·a	1 t̪at̪o	1 t̪ʌt̪·a	1 t̪at̪·i /2 gʌrʌm	1 t̪at̪·o	manual-scan	source length dots retained
137	37	30	2	cold	1 ʃila	1 sila	2 tʰʌṇḍo	2 tʰʌṇḍu	1 sila	1 ʃila	manual-scan	
138	37	30	3	right	1 sʌdʒʌ·	1 sʌdʒ·a /2 sola	1 sʌdʒ·o	1 sʌdʒ·a	1 sʌdʒa /1 suḷ·a	3 dʌja	manual-scan	source length dots retained
139	37	30	1	left	1 kʰʌb·ʌ	1 kʰʌb·a /2 oḷa	1 kʰʌb·o	1 kʌb·a	1 kʰʌb·a	3 baja	manual-scan	source length dots retained
140	37	30	2	near	1 lʌve /2 niḍe /3 ḍore	1 lowe /3 ḍore	2 neḍe /3 ḍore	1 lʌva /2 niḍa· /3 ḍora	1 lʌve /2 niḍe /3 ḍʰore	2 niḍe /3 ḍore	manual-scan	source length dot retained
141	37	30	3	far	1 d̪ur	1 d̪ur	1 d̪ur	1 d̪ur	1 d̪ur	1 d̪ur	manual-scan	
142	37	30	1	big	1 bʌḍ·a	1 bʌḍa	1 bʌḍo	1 bʌḍa	1 bʌḍa	1 bʌḍ·a	manual-scan	source length dots retained
143	37	30	2	small	1 tʃoṭa	1 tʃoṭ·a	1 tʃʰoṭo	1 tʃʰoṭa	1 tʃʰoṭa	1 tʃoṭ·a	manual-scan	source length dots retained
144	37	30	3	heavy	1 bʰari	1 bʰari	1 bʰari	1 bʰari	1 bʰari	1 bʰarja	manual-scan	
145	37	30	1	light	1 hʌlka	2 ʌlʌvã	1/2 hʌlvi /1 hʌlko	1 hʌlka /2 ʌlva	1 hʌlka	1 hʌlka /2 ʌlʌva	manual-scan	
146	37	30	2	above	1 up·ʌr	1 up·ʌr	1 pʌr	1 opʌr	1 opʌr	2 utʃa	manual-scan	source length dots retained
147	37	30	3	below	1 t̪ʌlʌ	1 t̪ʌle	1 t̪ʌle /2 nitʃe	1 t̪ʌla /2 nitʃe	1 t̪ʌle /2 nitʃe	1 t̪ʌlʌ /2 nitʃa	manual-scan	
148	37	30	1	white	1 d̪oḷa	1 d̪oḷa /2 bura /3 sʌfed	1 d̪oḷa	1 d̪ʰũḷa	1 d̪ʰũḷa	1 d̪oḷa	manual-scan	
149	37	30	2	black	1 kaḷa	1 kaḷa	1 kaḷa	1 kaḷa	1 kaḷa	1 kaḷa	manual-scan	
