Kurux,,məⁱjə,sky,,məⁱjə,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 1, site A Dima]",,,silkurux2011:i001:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,t͜ʃɛ̃p,rain,,t͜ʃɛ̃p,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 6, site D Lohanipara]",,,silkurux2011:i006:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,t͜ʃɛ̃p,rain,,t͜ʃɛ̃p,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 6, site E Dulhapur]",,,silkurux2011:i006:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,ɪndrədos,rainbow,,ɪndrədos,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 7, site A Dima]",,,silkurux2011:i007:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,dʰanukdal,rainbow,,dʰanukdal,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 7, site B Gabindanagar]",,,silkurux2011:i007:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,dʰanukbar,rainbow,,dʰanukbar,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 7, site C Boldipukur]",,,silkurux2011:i007:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,ɾamdʰanu,rainbow,,ɾamdʰanu,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 7, site D Lohanipara]",,,silkurux2011:i007:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,ɾamdʰanu,rainbow,,ɾamdʰanu,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 7, site E Dulhapur]",,,silkurux2011:i007:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,tɛqɛ,wind,,tɛqɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 8, site A Dima]",,,silkurux2011:i008:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,taka,wind,,taka,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 8, site B Gabindanagar]",,,silkurux2011:i008:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,taka,wind,,taka,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 8, site C Boldipukur]",,,silkurux2011:i008:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,taka,wind,,taka,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 8, site D Lohanipara]",,,silkurux2011:i008:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,taka,wind,,taka,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 8, site E Dulhapur]",,,silkurux2011:i008:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,bad͜ʒal,lightning,,bad͜ʒal,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 9, site B Gabindanagar]",,,silkurux2011:i009:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,birt͜ʃʰi,lightning,,birt͜ʃʰi,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 9, site C Boldipukur]",,,silkurux2011:i009:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,birt͜ʃi,lightning,,birt͜ʃi,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 9, site D Lohanipara]",,,silkurux2011:i009:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,birt͜ʃi,lightning,,birt͜ʃi,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 9, site E Dulhapur]",,,silkurux2011:i009:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,muri,thunder,,muri,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 10, site B Gabindanagar]",,,silkurux2011:i010:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,muri,thunder,,muri,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 10, site C Boldipukur]",,,silkurux2011:i010:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,muri,thunder,,muri,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 10, site D Lohanipara]",,,silkurux2011:i010:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,muri,thunder,,muri,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 10, site E Dulhapur]",,,silkurux2011:i010:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,samudar,sea,,samudar,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 11, site B Gabindanagar]",,,silkurux2011:i011:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,ʃamdar,sea,,ʃamdar,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 11, site C Boldipukur]",,,silkurux2011:i011:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,parɛta,mountain,,parɛta,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 12, site B Gabindanagar]",,,silkurux2011:i012:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,parta,mountain,,parta,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 12, site C Boldipukur]",,,silkurux2011:i012:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,parta,mountain,,parta,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 12, site D Lohanipara]",,,silkurux2011:i012:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,pahaɽ,mountain,,pahaɽ,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 12, site E Dulhapur]",,,silkurux2011:i012:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,ɛm,water,,ɛm,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 13, site A Dima]",,,silkurux2011:i013:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,ammɛ,water,,ammɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 13, site B Gabindanagar]",,,silkurux2011:i013:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,ammɛ,water,,ammɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 13, site C Boldipukur]",,,silkurux2011:i013:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,ammɛ,water,,ammɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 13, site D Lohanipara]",,,silkurux2011:i013:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,ammɛ,water,,ammɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 13, site E Dulhapur]",,,silkurux2011:i013:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,kʰɛr,river,,kʰɛr,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 14, site A Dima]",,,silkurux2011:i014:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,xar,river,,xar,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 14, site B Gabindanagar]",,,silkurux2011:i014:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,nadi,river,,nadi,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 14, site C Boldipukur]",,,silkurux2011:i014:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,xar,river,,xar,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 14, site D Lohanipara]",,,silkurux2011:i014:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,xar,river,,xar,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 14, site E Dulhapur]",,,silkurux2011:i014:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,xatd͜ʒɛ,soil/ground,,xatd͜ʒɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 15, site B Gabindanagar]",,,silkurux2011:i015:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,xatd͜ʒɛ,soil/ground,,xatd͜ʒɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 15, site C Boldipukur]",,,silkurux2011:i015:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,xatd͜ʒɛ,soil/ground,,xatd͜ʒɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 15, site D Lohanipara]",,,silkurux2011:i015:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,xatd͜ʒɛ,soil/ground,,xatd͜ʒɛ,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 15, site E Dulhapur]",,,silkurux2011:i015:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,kʰəd,mud,,kʰəd,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 16, site A Dima]",,,silkurux2011:i016:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,kado,mud,,kado,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 16, site B Gabindanagar]",,,silkurux2011:i016:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,kado,mud,,kado,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 16, site C Boldipukur]",,,silkurux2011:i016:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,kado,mud,,kado,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 16, site D Lohanipara]",,,silkurux2011:i016:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,kado,mud,,kado,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 16, site E Dulhapur]",,,silkurux2011:i016:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,dʰur,dust,,dʰur,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 17, site A Dima]",,,silkurux2011:i017:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,dʰuli,dust,,dʰuli,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 17, site B Gabindanagar]",,,silkurux2011:i017:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,dʰuli,dust,,dʰuli,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 17, site C Boldipukur]",,,silkurux2011:i017:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,dʰuli,dust,,dʰuli,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 17, site D Lohanipara]",,,silkurux2011:i017:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,dʰuli,dust,,dʰuli,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 17, site E Dulhapur]",,,silkurux2011:i017:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,dʰoŋgɛ,stone,,dʰoŋgɛ,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 18, site A Dima]",,,silkurux2011:i018:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,pakʰɛna,stone,,pakʰɛna,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 18, site B Gabindanagar]",,,silkurux2011:i018:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,pakʰna,stone,,pakʰna,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 18, site C Boldipukur]",,,silkurux2011:i018:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,pakʰna,stone,,pakʰna,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 18, site D Lohanipara]",,,silkurux2011:i018:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,pakʰna,stone,,pakʰna,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 18, site E Dulhapur]",,,silkurux2011:i018:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,t͜ʃʰɛlkul,sand,,t͜ʃʰɛlkul,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 19, site A Dima]",,,silkurux2011:i019:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,balu,sand,,balu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 19, site B Gabindanagar]",,,silkurux2011:i019:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,t͜ʃalkul,sand,,t͜ʃalkul,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 19, site C Boldipukur]",,,silkurux2011:i019:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,t͜ʃalkul,sand,,t͜ʃalkul,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 19, site D Lohanipara]",,,silkurux2011:i019:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,balu,sand,,balu,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 19, site E Dulhapur]",,,silkurux2011:i019:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,t͜ʃʰutɛ,gold,,t͜ʃʰutɛ,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 20, site A Dima]",,,silkurux2011:i020:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,ʃona,gold,,ʃona,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 20, site B Gabindanagar]",,,silkurux2011:i020:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,ʃona,gold,,ʃona,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 20, site C Boldipukur]",,,silkurux2011:i020:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,ʃona,gold,,ʃona,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 39, wordlist item 20, site D Lohanipara]",,,silkurux2011:i020:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
