item	site_code	site_variant	manual_entry_key	manual_physical_page	manual_printed_page	manual_line_id	manual_gloss	manual_group	manual_status	manual_form	legacy_pdf_page	legacy_group	legacy_status	legacy_raw_form	legacy_entry_key	legacy_reason	gloss_match	group_match	comparison
3	D	1	silkurux2011:i003:D:1	39	38	P039-L008	moon	1	attested	t͜ʃando	38	1	attested	tʃando	silkurux2011:i003:D:1		true	true	form_difference
3	E	1	silkurux2011:i003:E:1	39	38	P039-L008	moon	1	attested	t͜ʃando	38	1	attested	tʃando	silkurux2011:i003:E:1		true	true	form_difference
3	0	1	silkurux2011:i003:0:1	39	38	P039-L010	moon	2	attested	t͜ʃãd	38	2	unresolved	tʃad�		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
4	A	1	silkurux2011:i004:A:1	39	38	P039-L014	star	3	attested	tɛrgɛn	38	3	attested	tɛrɡɑn	silkurux2011:i004:A:1		true	true	form_difference
4	B	1	silkurux2011:i004:B:1	39	38	P039-L012	star	1	attested	binko	38	1	attested	binko	silkurux2011:i004:B:1		true	true	form_exact
4	C	1	silkurux2011:i004:C:1	39	38	P039-L012	star	1	attested	binko	38	1	attested	binko	silkurux2011:i004:C:1		true	true	form_exact
4	D	1	silkurux2011:i004:D:1	39	38	P039-L012	star	1	attested	binko	38	1	attested	binko	silkurux2011:i004:D:1		true	true	form_exact
4	E	1	silkurux2011:i004:E:1	39	38	P039-L012	star	1	attested	binko	38	1	attested	binko	silkurux2011:i004:E:1		true	true	form_exact
4	0	1	silkurux2011:i004:0:1	39	38	P039-L013	star	2	attested	tara	38	2	attested	taɾa	silkurux2011:i004:0:1		true	true	form_difference
5	A	1	silkurux2011:i005:A:1	39	38	P039-L018	cloud	3	attested	bəbri	38	3	attested	bəbɾi	silkurux2011:i005:A:1		true	true	form_difference
5	B	1	silkurux2011:i005:B:1	39	38	P039-L016	cloud	1	attested	padali	38	1	attested	padali	silkurux2011:i005:B:1		true	true	form_exact
5	C	1	silkurux2011:i005:C:1	39	38	P039-L015	cloud	1	attested	badali	38	1	attested	badali	silkurux2011:i005:C:1		true	true	form_exact
5	D	1	silkurux2011:i005:D:1	39	38	P039-L015	cloud	1	attested	badali	38	1	attested	badali	silkurux2011:i005:D:1		true	true	form_exact
5	E	1	silkurux2011:i005:E:1	39	38	P039-L015	cloud	1	attested	badali	38	1	attested	badali	silkurux2011:i005:E:1		true	true	form_exact
5	0	1	silkurux2011:i005:0:1	39	38	P039-L017	cloud	2	attested	mɛgʰ	38	2	attested	mɛɡh	silkurux2011:i005:0:1		true	true	form_difference
6	A	1	silkurux2011:i006:A:1	39	38	P039-L019	rain	1	attested	t͜ʃɛb	38	1	attested	tʃɛb	silkurux2011:i006:A:1		true	true	form_difference
6	B	1	silkurux2011:i006:B:1	39	38	P039-L020	rain	1	attested	t͜ʃɛp	38	1	attested	tʃɛp	silkurux2011:i006:B:1		true	true	form_difference
6	C	1	silkurux2011:i006:C:1	39	38	P039-L021	rain	1	attested	t͜ʃɛ̃p	38	1	unresolved	tʃɛp�		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
6	D	1	silkurux2011:i006:D:1	39	38	P039-L021	rain	1	attested	t͜ʃɛ̃p	38	1	unresolved	tʃɛp�		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
6	E	1	silkurux2011:i006:E:1	39	38	P039-L021	rain	1	attested	t͜ʃɛ̃p	38	1	unresolved	tʃɛp�		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
6	0	1	silkurux2011:i006:0:1	39	38	P039-L022	rain	2	attested	brɪʃti	38	2	attested	brɪʃti	silkurux2011:i006:0:1		true	true	form_exact
7	A	1	silkurux2011:i007:A:1	39	38	P039-L027	rainbow	3	attested	ɪndrədos	38	3	attested	ɪndɾədos	silkurux2011:i007:A:1		true	true	form_difference
7	B	1	silkurux2011:i007:B:1	39	38	P039-L024	rainbow	1	attested	dʰanukdal	38	1	attested	dhanukdal	silkurux2011:i007:B:1		true	true	form_difference
7	C	1	silkurux2011:i007:C:1	39	38	P039-L023	rainbow	1	attested	dʰanukbar	38	1	attested	dhanukbar	silkurux2011:i007:C:1		true	true	form_difference
7	D	1	silkurux2011:i007:D:1	39	38	P039-L025	rainbow	2	attested	ɾamdʰanu	38	2	attested	ɾamdhanu	silkurux2011:i007:D:1		true	true	form_difference
7	E	1	silkurux2011:i007:E:1	39	38	P039-L025	rainbow	2	attested	ɾamdʰanu	38	2	attested	ɾamdhanu	silkurux2011:i007:E:1		true	true	form_difference
7	0	1	silkurux2011:i007:0:1	39	38	P039-L026	rainbow	2	attested	rɔŋdʰɔnu	38	2	unresolved	r !dh nu		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
8	A	1	silkurux2011:i008:A:1	39	38	P039-L028	wind	1	attested	tɛqɛ	38	1	attested	tɑqɑ	silkurux2011:i008:A:1		true	true	form_difference
8	B	1	silkurux2011:i008:B:1	39	38	P039-L029	wind	1	attested	taka	38	1	attested	taka	silkurux2011:i008:B:1		true	true	form_exact
8	C	1	silkurux2011:i008:C:1	39	38	P039-L029	wind	1	attested	taka	38	1	attested	taka	silkurux2011:i008:C:1		true	true	form_exact
8	D	1	silkurux2011:i008:D:1	39	38	P039-L029	wind	1	attested	taka	38	1	attested	taka	silkurux2011:i008:D:1		true	true	form_exact
8	E	1	silkurux2011:i008:E:1	39	38	P039-L029	wind	1	attested	taka	38	1	attested	taka	silkurux2011:i008:E:1		true	true	form_exact
8	0	1	silkurux2011:i008:0:1	39	38	P039-L030	wind	2	attested	bataʃ	38	2	attested	bataʃ	silkurux2011:i008:0:1		true	true	form_exact
9	A	1	silkurux2011:i009:A:1	39	38	P039-L031	lightning	0	blank		38	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
9	B	1	silkurux2011:i009:B:1	39	38	P039-L032	lightning	1	attested	bad͜ʒal	38	1	unresolved	ba$ʒal		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
9	C	1	silkurux2011:i009:C:1	39	38	P039-L033	lightning	2	attested	birt͜ʃʰi	38	2	attested	birtʃhi	silkurux2011:i009:C:1		true	true	form_difference
9	D	1	silkurux2011:i009:D:1	39	38	P039-L034	lightning	2	attested	birt͜ʃi	38	2	attested	birtʃi	silkurux2011:i009:D:1		true	true	form_difference
9	E	1	silkurux2011:i009:E:1	39	38	P039-L034	lightning	2	attested	birt͜ʃi	38	2	attested	birtʃi	silkurux2011:i009:E:1		true	true	form_difference
9	0	1	silkurux2011:i009:0:1	39	38	P039-L035	lightning	3	attested	bɪddut t͜ʃɔmkano	38	3	attested	bɪddut tʃ mkano	silkurux2011:i009:0:1		true	true	form_difference
10	A	1	silkurux2011:i010:A:1	39	38	P039-L036	thunder	0	blank		38	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
10	B	1	silkurux2011:i010:B:1	39	38	P039-L037	thunder	1	attested	muri	38	1	attested	muɾi	silkurux2011:i010:B:1		true	true	form_difference
10	C	1	silkurux2011:i010:C:1	39	38	P039-L037	thunder	1	attested	muri	38	1	attested	muɾi	silkurux2011:i010:C:1		true	true	form_difference
10	D	1	silkurux2011:i010:D:1	39	38	P039-L037	thunder	1	attested	muri	38	1	attested	muɾi	silkurux2011:i010:D:1		true	true	form_difference
10	E	1	silkurux2011:i010:E:1	39	38	P039-L037	thunder	1	attested	muri	38	1	attested	muɾi	silkurux2011:i010:E:1		true	true	form_difference
10	0	1	silkurux2011:i010:0:1	39	38	P039-L038	thunder	2	attested	mɛgʰ gɔɽd͜ʒon	38	2	attested	mɛɡh ɡ ɹdʒon	silkurux2011:i010:0:1		true	true	form_difference
11	A	1	silkurux2011:i011:A:1	39	38	P039-L039	sea	0	blank		38	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
11	B	1	silkurux2011:i011:B:1	39	38	P039-L041	sea	1	attested	samudar	38	1	attested	samudar	silkurux2011:i011:B:1		true	true	form_exact
11	C	1	silkurux2011:i011:C:1	39	38	P039-L040	sea	1	attested	ʃamdar	38	1	attested	ʃamdar	silkurux2011:i011:C:1		true	true	form_exact
11	D	1	silkurux2011:i011:D:1	39	38	P039-L039	sea	0	blank		38	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
11	E	1	silkurux2011:i011:E:1	39	38	P039-L039	sea	0	blank		38	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
11	0	1	silkurux2011:i011:0:1	39	38	P039-L042	sea	2	attested	ʃomudro	38	2	attested	ʃ mudɾo	silkurux2011:i011:0:1		true	true	form_difference
12	A	1	silkurux2011:i012:A:1	39	38	P039-L043	mountain	0	blank		38	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
12	B	1	silkurux2011:i012:B:1	39	38	P039-L044	mountain	1	attested	parɛta	38	1	attested	paɾɛta	silkurux2011:i012:B:1		true	true	form_difference
12	C	1	silkurux2011:i012:C:1	39	38	P039-L045	mountain	1	attested	parta	38	1	attested	parta	silkurux2011:i012:C:1		true	true	form_exact
12	D	1	silkurux2011:i012:D:1	39	38	P039-L045	mountain	1	attested	parta	38	1	attested	parta	silkurux2011:i012:D:1		true	true	form_exact
12	E	1	silkurux2011:i012:E:1	39	38	P039-L046	mountain	2	attested	pahaɽ	38	2	attested	pahaɽ	silkurux2011:i012:E:1		true	true	form_exact
12	0	1	silkurux2011:i012:0:1	39	38	P039-L046	mountain	2	attested	pahaɽ	38	2	attested	pahaɽ	silkurux2011:i012:0:1		true	true	form_exact
13	A	1	silkurux2011:i013:A:1	39	38	P039-L049	water	3	attested	ɛm	38	3	attested	ɑm	silkurux2011:i013:A:1		true	true	form_difference
13	B	1	silkurux2011:i013:B:1	39	38	P039-L047	water	1	attested	ammɛ	38	1	attested	ammɛ	silkurux2011:i013:B:1		true	true	form_exact
13	C	1	silkurux2011:i013:C:1	39	38	P039-L047	water	1	attested	ammɛ	38	1	attested	ammɛ	silkurux2011:i013:C:1		true	true	form_exact
13	D	1	silkurux2011:i013:D:1	39	38	P039-L047	water	1	attested	ammɛ	38	1	attested	ammɛ	silkurux2011:i013:D:1		true	true	form_exact
13	E	1	silkurux2011:i013:E:1	39	38	P039-L047	water	1	attested	ammɛ	38	1	attested	ammɛ	silkurux2011:i013:E:1		true	true	form_exact
13	0	1	silkurux2011:i013:0:1	39	38	P039-L048	water	2	attested	pani	38	2	attested	pani	silkurux2011:i013:0:1		true	true	form_exact
14	A	1	silkurux2011:i014:A:1	39	38	P039-L050	river	1	attested	kʰɛr	38	1	attested	khɑr	silkurux2011:i014:A:1		true	true	form_difference
14	B	1	silkurux2011:i014:B:1	39	38	P039-L051	river	1	attested	xar	38	1	attested	xar	silkurux2011:i014:B:1		true	true	form_exact
14	C	1	silkurux2011:i014:C:1	39	38	P039-L052	river	2	attested	nadi	38	2	attested	nadi	silkurux2011:i014:C:1		true	true	form_exact
14	D	1	silkurux2011:i014:D:1	39	38	P039-L051	river	1	attested	xar	38	1	attested	xar	silkurux2011:i014:D:1		true	true	form_exact
14	E	1	silkurux2011:i014:E:1	39	38	P039-L051	river	1	attested	xar	38	1	attested	xar	silkurux2011:i014:E:1		true	true	form_exact
14	0	1	silkurux2011:i014:0:1	39	38	P039-L053	river	2	attested	nodi	38	2	attested	nodi	silkurux2011:i014:0:1		true	true	form_exact
15	A	1	silkurux2011:i015:A:1	39	38	P039-L054	soil/ground	0	blank		38	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
15	B	1	silkurux2011:i015:B:1	39	38	P039-L055	soil/ground	1	attested	xatd͜ʒɛ	38	1	unresolved	xat$ʒɛ		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
15	C	1	silkurux2011:i015:C:1	39	38	P039-L055	soil/ground	1	attested	xatd͜ʒɛ	38	1	unresolved	xat$ʒɛ		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
15	D	1	silkurux2011:i015:D:1	39	38	P039-L055	soil/ground	1	attested	xatd͜ʒɛ	38	1	unresolved	xat$ʒɛ		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
15	E	1	silkurux2011:i015:E:1	39	38	P039-L055	soil/ground	1	attested	xatd͜ʒɛ	38	1	unresolved	xat$ʒɛ		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
15	0	1	silkurux2011:i015:0:1	39	38	P039-L056	soil/ground	2	attested	maʈi	38	2	attested	mati	silkurux2011:i015:0:1		true	true	form_difference
16	A	1	silkurux2011:i016:A:1	40	39	P040-L003	mud	1	attested	kʰəd	39	1	attested	khəd	silkurux2011:i016:A:1		true	true	form_difference
16	B	1	silkurux2011:i016:B:1	40	39	P040-L002	mud	1	attested	kado	39	1	attested	kado	silkurux2011:i016:B:1		true	true	form_exact
16	C	1	silkurux2011:i016:C:1	40	39	P040-L002	mud	1	attested	kado	39	1	attested	kado	silkurux2011:i016:C:1		true	true	form_exact
16	D	1	silkurux2011:i016:D:1	40	39	P040-L002	mud	1	attested	kado	39	1	attested	kado	silkurux2011:i016:D:1		true	true	form_exact
16	E	1	silkurux2011:i016:E:1	40	39	P040-L002	mud	1	attested	kado	39	1	attested	kado	silkurux2011:i016:E:1		true	true	form_exact
16	0	1	silkurux2011:i016:0:1	40	39	P040-L001	mud	1	attested	kada	39	1	attested	kada	silkurux2011:i016:0:1		true	true	form_exact
17	A	1	silkurux2011:i017:A:1	40	39	P040-L006	dust	1	attested	dʰur	39	1	attested	dhur	silkurux2011:i017:A:1		true	true	form_difference
17	B	1	silkurux2011:i017:B:1	40	39	P040-L005	dust	1	attested	dʰuli	39	1	attested	dhuli	silkurux2011:i017:B:1		true	true	form_difference
17	C	1	silkurux2011:i017:C:1	40	39	P040-L005	dust	1	attested	dʰuli	39	1	attested	dhuli	silkurux2011:i017:C:1		true	true	form_difference
17	D	1	silkurux2011:i017:D:1	40	39	P040-L005	dust	1	attested	dʰuli	39	1	attested	dhuli	silkurux2011:i017:D:1		true	true	form_difference
17	E	1	silkurux2011:i017:E:1	40	39	P040-L005	dust	1	attested	dʰuli	39	1	attested	dhuli	silkurux2011:i017:E:1		true	true	form_difference
17	0	1	silkurux2011:i017:0:1	40	39	P040-L004	dust	1	attested	dʰula	39	1	attested	dhula	silkurux2011:i017:0:1		true	true	form_difference
18	A	1	silkurux2011:i018:A:1	40	39	P040-L010	stone	3	attested	dʰoŋgɛ	39	3	unresolved	dho!ɡɑ		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
18	B	1	silkurux2011:i018:B:1	40	39	P040-L007	stone	1	attested	pakʰɛna	39	1	attested	pakhɛna	silkurux2011:i018:B:1		true	true	form_difference
18	C	1	silkurux2011:i018:C:1	40	39	P040-L008	stone	1	attested	pakʰna	39	1	attested	pakhna	silkurux2011:i018:C:1		true	true	form_difference
18	D	1	silkurux2011:i018:D:1	40	39	P040-L008	stone	1	attested	pakʰna	39	1	attested	pakhna	silkurux2011:i018:D:1		true	true	form_difference
18	E	1	silkurux2011:i018:E:1	40	39	P040-L008	stone	1	attested	pakʰna	39	1	attested	pakhna	silkurux2011:i018:E:1		true	true	form_difference
18	0	1	silkurux2011:i018:0:1	40	39	P040-L009	stone	2	attested	patʰor	39	2	attested	pathor	silkurux2011:i018:0:1		true	true	form_difference
19	A	1	silkurux2011:i019:A:1	40	39	P040-L014	sand	2	attested	t͜ʃʰɛlkul	39	2	attested	tʃhɑlkul	silkurux2011:i019:A:1		true	true	form_difference
19	B	1	silkurux2011:i019:B:1	40	39	P040-L012	sand	1	attested	balu	39	1	attested	balu	silkurux2011:i019:B:1		true	true	form_exact
19	C	1	silkurux2011:i019:C:1	40	39	P040-L013	sand	2	attested	t͜ʃalkul	39	2	attested	tʃalkul	silkurux2011:i019:C:1		true	true	form_difference
19	D	1	silkurux2011:i019:D:1	40	39	P040-L013	sand	2	attested	t͜ʃalkul	39	2	attested	tʃalkul	silkurux2011:i019:D:1		true	true	form_difference
19	E	1	silkurux2011:i019:E:1	40	39	P040-L012	sand	1	attested	balu	39	1	attested	balu	silkurux2011:i019:E:1		true	true	form_exact
19	0	1	silkurux2011:i019:0:1	40	39	P040-L011	sand	1	attested	bali	39	1	attested	bali	silkurux2011:i019:0:1		true	true	form_exact
20	A	1	silkurux2011:i020:A:1	40	39	P040-L016	gold	2	attested	t͜ʃʰutɛ	39	2	attested	tʃhutɑ	silkurux2011:i020:A:1		true	true	form_difference
20	B	1	silkurux2011:i020:B:1	40	39	P040-L015	gold	1	attested	ʃona	39	1	attested	ʃona	silkurux2011:i020:B:1		true	true	form_exact
20	C	1	silkurux2011:i020:C:1	40	39	P040-L015	gold	1	attested	ʃona	39	1	attested	ʃona	silkurux2011:i020:C:1		true	true	form_exact
20	D	1	silkurux2011:i020:D:1	40	39	P040-L015	gold	1	attested	ʃona	39	1	attested	ʃona	silkurux2011:i020:D:1		true	true	form_exact
20	E	1	silkurux2011:i020:E:1	40	39	P040-L015	gold	1	attested	ʃona	39	1	attested	ʃona	silkurux2011:i020:E:1		true	true	form_exact
20	0	1	silkurux2011:i020:0:1	40	39	P040-L015	gold	1	attested	ʃona	39	1	attested	ʃona	silkurux2011:i020:0:1		true	true	form_exact
21	A	1	silkurux2011:i021:A:1	40	39	P040-L017	silver	0	blank		39	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
21	B	1	silkurux2011:i021:B:1	40	39	P040-L018	silver	1	attested	rupa	39	1	attested	rupa	silkurux2011:i021:B:1		true	true	form_exact
21	C	1	silkurux2011:i021:C:1	40	39	P040-L018	silver	1	attested	rupa	39	1	attested	rupa	silkurux2011:i021:C:1		true	true	form_exact
21	D	1	silkurux2011:i021:D:1	40	39	P040-L018	silver	1	attested	rupa	39	1	attested	rupa	silkurux2011:i021:D:1		true	true	form_exact
21	E	1	silkurux2011:i021:E:1	40	39	P040-L018	silver	1	attested	rupa	39	1	attested	rupa	silkurux2011:i021:E:1		true	true	form_exact
21	0	1	silkurux2011:i021:0:1	40	39	P040-L018	silver	1	attested	rupa	39	1	attested	rupa	silkurux2011:i021:0:1		true	true	form_exact
22	A	1	silkurux2011:i022:A:1	40	39	P040-L020	today	1	attested	ɪnːe	39	1	unresolved	ɪn%ɑ		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
22	B	1	silkurux2011:i022:B:1	40	39	P040-L019	today	1	attested	ɪnːa	39	1	unresolved	ɪn%a		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
22	C	1	silkurux2011:i022:C:1	40	39	P040-L019	today	1	attested	ɪnːa	39	1	unresolved	ɪn%a		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
22	D	1	silkurux2011:i022:D:1	40	39	P040-L020	today	1	attested	ɪnːe	39	1	unresolved	ɪn%ɑ		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
22	E	1	silkurux2011:i022:E:1	40	39	P040-L021	today	1	attested	ɪnːɛ	39	1	unresolved	ɪn%ɛ		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
22	0	1	silkurux2011:i022:0:1	40	39	P040-L022	today	2	attested	ad͜ʒ	39	2	attested	adʒ	silkurux2011:i022:0:1		true	true	form_difference
23	A	1	silkurux2011:i023:A:1	40	39	P040-L023	yesterday	0	blank		39	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
23	B	1	silkurux2011:i023:B:1	40	39	P040-L024	yesterday	1	attested	t͜ʃɛro	39	1	attested	tʃɛɾo	silkurux2011:i023:B:1		true	true	form_difference
23	C	1	silkurux2011:i023:C:1	40	39	P040-L024	yesterday	1	attested	t͜ʃɛro	39	1	attested	tʃɛɾo	silkurux2011:i023:C:1		true	true	form_difference
23	D	1	silkurux2011:i023:D:1	40	39	P040-L024	yesterday	1	attested	t͜ʃɛro	39	1	attested	tʃɛɾo	silkurux2011:i023:D:1		true	true	form_difference
23	E	1	silkurux2011:i023:E:1	40	39	P040-L024	yesterday	1	attested	t͜ʃɛro	39	1	attested	tʃɛɾo	silkurux2011:i023:E:1		true	true	form_difference
23	0	1	silkurux2011:i023:0:1	40	39	P040-L025	yesterday	2	attested	gɔtokal / kalkɛ	39	2	attested	ɡ tokal / kalke	silkurux2011:i023:0:1		true	true	form_difference
24	A	1	silkurux2011:i024:A:1	40	39	P040-L027	tomorrow	1	attested	nɛlɛ	39	1	attested	nɛlɑ	silkurux2011:i024:A:1		true	true	form_difference
24	B	1	silkurux2011:i024:B:1	40	39	P040-L026	tomorrow	1	attested	nɛla	39	1	attested	nɛla	silkurux2011:i024:B:1		true	true	form_exact
24	C	1	silkurux2011:i024:C:1	40	39	P040-L026	tomorrow	1	attested	nɛla	39	1	attested	nɛla	silkurux2011:i024:C:1		true	true	form_exact
24	D	1	silkurux2011:i024:D:1	40	39	P040-L026	tomorrow	1	attested	nɛla	39	1	attested	nɛla	silkurux2011:i024:D:1		true	true	form_exact
24	E	1	silkurux2011:i024:E:1	40	39	P040-L026	tomorrow	1	attested	nɛla	39	1	attested	nɛla	silkurux2011:i024:E:1		true	true	form_exact
24	0	1	silkurux2011:i024:0:1	40	39	P040-L028	tomorrow	2	attested	agamikal	39	2	attested	aɡamikal	silkurux2011:i024:0:1		true	true	form_difference
25	A	1	silkurux2011:i025:A:1	40	39	P040-L029	week	1	attested	hɛptɛ	39	1	attested	hɑptɑ	silkurux2011:i025:A:1		true	true	form_difference
25	B	1	silkurux2011:i025:B:1	40	39	P040-L030	week	1	attested	hapta	39	1	attested	hapta	silkurux2011:i025:B:1		true	true	form_exact
25	C	1	silkurux2011:i025:C:1	40	39	P040-L030	week	1	attested	hapta	39	1	attested	hapta	silkurux2011:i025:C:1		true	true	form_exact
25	D	1	silkurux2011:i025:D:1	40	39	P040-L030	week	1	attested	hapta	39	1	attested	hapta	silkurux2011:i025:D:1		true	true	form_exact
25	E	1	silkurux2011:i025:E:1	40	39	P040-L030	week	1	attested	hapta	39	1	attested	hapta	silkurux2011:i025:E:1		true	true	form_exact
25	0	1	silkurux2011:i025:0:1	40	39	P040-L031	week	1	attested	ʃɔpta	39	1	attested	ʃ pta	silkurux2011:i025:0:1		true	true	form_difference
26	A	1	silkurux2011:i026:A:1	40	39	P040-L032	month	1	attested	mɛⁱnɛ	39	1	attested	mɑinɑ	silkurux2011:i026:A:1		true	true	form_difference
26	B	1	silkurux2011:i026:B:1	40	39	P040-L033	month	1	attested	mahina	39	1	attested	mahina	silkurux2011:i026:B:1		true	true	form_exact
26	C	1	silkurux2011:i026:C:1	40	39	P040-L033	month	1	attested	mahina	39	1	attested	mahina	silkurux2011:i026:C:1		true	true	form_exact
26	D	1	silkurux2011:i026:D:1	40	39	P040-L033	month	1	attested	mahina	39	1	attested	mahina	silkurux2011:i026:D:1		true	true	form_exact
26	E	1	silkurux2011:i026:E:1	40	39	P040-L033	month	1	attested	mahina	39	1	attested	mahina	silkurux2011:i026:E:1		true	true	form_exact
26	0	1	silkurux2011:i026:0:1	40	39	P040-L034	month	2	attested	maʃ	39	2	attested	maʃ	silkurux2011:i026:0:1		true	true	form_exact
27	A	1	silkurux2011:i027:A:1	40	39	P040-L037	year	2	attested	sɛl	39	2	attested	sɑl	silkurux2011:i027:A:1		true	true	form_difference
27	B	1	silkurux2011:i027:B:1	40	39	P040-L035	year	1	attested	bat͜ʃʰar	39	1	attested	batʃhar	silkurux2011:i027:B:1		true	true	form_difference
27	C	1	silkurux2011:i027:C:1	40	39	P040-L035	year	1	attested	bat͜ʃʰar	39	1	attested	batʃhar	silkurux2011:i027:C:1		true	true	form_difference
27	D	1	silkurux2011:i027:D:1	40	39	P040-L035	year	1	attested	bat͜ʃʰar	39	1	attested	batʃhar	silkurux2011:i027:D:1		true	true	form_difference
27	E	1	silkurux2011:i027:E:1	40	39	P040-L035	year	1	attested	bat͜ʃʰar	39	1	attested	batʃhar	silkurux2011:i027:E:1		true	true	form_difference
27	0	1	silkurux2011:i027:0:1	40	39	P040-L036	year	1	attested	bɔt͜ʃʰor	39	1	attested	b tʃhor	silkurux2011:i027:0:1		true	true	form_difference
28	A	1	silkurux2011:i028:A:1	40	39	P040-L038	day	0	blank		39	0	blank	no entry		printed gap: the item was not elicited at this site	true	true	blank_match
28	B	1	silkurux2011:i028:B:1	40	39	P040-L039	day	1	attested	ʊlːa	39	1	unresolved	'l%a		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
28	C	1	silkurux2011:i028:C:1	40	39	P040-L039	day	1	attested	ʊlːa	39	1	unresolved	'l%a		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
28	D	1	silkurux2011:i028:D:1	40	39	P040-L039	day	1	attested	ʊlːa	39	1	unresolved	'l%a		contains a glyph with no verified reading	true	true	manual_recovered_legacy_unresolved
