entry_key	item	site_code	site_variant	role	language_id	dialect_id	status	form	gloss	physical_page	printed_page	line_id	disposition	reason
silkurux2011:i009:C:1	9	C	1	target	Kurux	kurux2011-C-boldipukur	attested	birt͜ʃʰi	lightning	39	38	P039-L033	staged_target	attested Kurux target-site form
silkurux2011:i009:D:1	9	D	1	target	Kurux	kurux2011-D-lohanipara	attested	birt͜ʃi	lightning	39	38	P039-L034	staged_target	attested Kurux target-site form
silkurux2011:i009:E:1	9	E	1	target	Kurux	kurux2011-E-dulhapur	attested	birt͜ʃi	lightning	39	38	P039-L034	staged_target	attested Kurux target-site form
silkurux2011:i009:0:1	9	0	1	control	B	kurux2011-0-bangla	attested	bɪddut t͜ʃɔmkano	lightning	39	38	P039-L035	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i010:A:1	10	A	1	target	Kurux	kurux2011-A-dima	blank		thunder	39	38	P039-L036	excluded_blank	printed no-entry cell
silkurux2011:i010:B:1	10	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	muri	thunder	39	38	P039-L037	staged_target	attested Kurux target-site form
silkurux2011:i010:C:1	10	C	1	target	Kurux	kurux2011-C-boldipukur	attested	muri	thunder	39	38	P039-L037	staged_target	attested Kurux target-site form
silkurux2011:i010:D:1	10	D	1	target	Kurux	kurux2011-D-lohanipara	attested	muri	thunder	39	38	P039-L037	staged_target	attested Kurux target-site form
silkurux2011:i010:E:1	10	E	1	target	Kurux	kurux2011-E-dulhapur	attested	muri	thunder	39	38	P039-L037	staged_target	attested Kurux target-site form
silkurux2011:i010:0:1	10	0	1	control	B	kurux2011-0-bangla	attested	mɛgʰ gɔɽd͜ʒon	thunder	39	38	P039-L038	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i011:A:1	11	A	1	target	Kurux	kurux2011-A-dima	blank		sea	39	38	P039-L039	excluded_blank	printed no-entry cell
silkurux2011:i011:B:1	11	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	samudar	sea	39	38	P039-L041	staged_target	attested Kurux target-site form
silkurux2011:i011:C:1	11	C	1	target	Kurux	kurux2011-C-boldipukur	attested	ʃamdar	sea	39	38	P039-L040	staged_target	attested Kurux target-site form
silkurux2011:i011:D:1	11	D	1	target	Kurux	kurux2011-D-lohanipara	blank		sea	39	38	P039-L039	excluded_blank	printed no-entry cell
silkurux2011:i011:E:1	11	E	1	target	Kurux	kurux2011-E-dulhapur	blank		sea	39	38	P039-L039	excluded_blank	printed no-entry cell
silkurux2011:i011:0:1	11	0	1	control	B	kurux2011-0-bangla	attested	ʃomudro	sea	39	38	P039-L042	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i012:A:1	12	A	1	target	Kurux	kurux2011-A-dima	blank		mountain	39	38	P039-L043	excluded_blank	printed no-entry cell
silkurux2011:i012:B:1	12	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	parɛta	mountain	39	38	P039-L044	staged_target	attested Kurux target-site form
silkurux2011:i012:C:1	12	C	1	target	Kurux	kurux2011-C-boldipukur	attested	parta	mountain	39	38	P039-L045	staged_target	attested Kurux target-site form
silkurux2011:i012:D:1	12	D	1	target	Kurux	kurux2011-D-lohanipara	attested	parta	mountain	39	38	P039-L045	staged_target	attested Kurux target-site form
silkurux2011:i012:E:1	12	E	1	target	Kurux	kurux2011-E-dulhapur	attested	pahaɽ	mountain	39	38	P039-L046	staged_target	attested Kurux target-site form
silkurux2011:i012:0:1	12	0	1	control	B	kurux2011-0-bangla	attested	pahaɽ	mountain	39	38	P039-L046	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i013:A:1	13	A	1	target	Kurux	kurux2011-A-dima	attested	ɛm	water	39	38	P039-L049	staged_target	attested Kurux target-site form
silkurux2011:i013:B:1	13	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	ammɛ	water	39	38	P039-L047	staged_target	attested Kurux target-site form
silkurux2011:i013:C:1	13	C	1	target	Kurux	kurux2011-C-boldipukur	attested	ammɛ	water	39	38	P039-L047	staged_target	attested Kurux target-site form
silkurux2011:i013:D:1	13	D	1	target	Kurux	kurux2011-D-lohanipara	attested	ammɛ	water	39	38	P039-L047	staged_target	attested Kurux target-site form
silkurux2011:i013:E:1	13	E	1	target	Kurux	kurux2011-E-dulhapur	attested	ammɛ	water	39	38	P039-L047	staged_target	attested Kurux target-site form
silkurux2011:i013:0:1	13	0	1	control	B	kurux2011-0-bangla	attested	pani	water	39	38	P039-L048	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i014:A:1	14	A	1	target	Kurux	kurux2011-A-dima	attested	kʰɛr	river	39	38	P039-L050	staged_target	attested Kurux target-site form
silkurux2011:i014:B:1	14	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	xar	river	39	38	P039-L051	staged_target	attested Kurux target-site form
silkurux2011:i014:C:1	14	C	1	target	Kurux	kurux2011-C-boldipukur	attested	nadi	river	39	38	P039-L052	staged_target	attested Kurux target-site form
silkurux2011:i014:D:1	14	D	1	target	Kurux	kurux2011-D-lohanipara	attested	xar	river	39	38	P039-L051	staged_target	attested Kurux target-site form
silkurux2011:i014:E:1	14	E	1	target	Kurux	kurux2011-E-dulhapur	attested	xar	river	39	38	P039-L051	staged_target	attested Kurux target-site form
silkurux2011:i014:0:1	14	0	1	control	B	kurux2011-0-bangla	attested	nodi	river	39	38	P039-L053	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i015:A:1	15	A	1	target	Kurux	kurux2011-A-dima	blank		soil/ground	39	38	P039-L054	excluded_blank	printed no-entry cell
silkurux2011:i015:B:1	15	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	xatd͜ʒɛ	soil/ground	39	38	P039-L055	staged_target	attested Kurux target-site form
silkurux2011:i015:C:1	15	C	1	target	Kurux	kurux2011-C-boldipukur	attested	xatd͜ʒɛ	soil/ground	39	38	P039-L055	staged_target	attested Kurux target-site form
silkurux2011:i015:D:1	15	D	1	target	Kurux	kurux2011-D-lohanipara	attested	xatd͜ʒɛ	soil/ground	39	38	P039-L055	staged_target	attested Kurux target-site form
silkurux2011:i015:E:1	15	E	1	target	Kurux	kurux2011-E-dulhapur	attested	xatd͜ʒɛ	soil/ground	39	38	P039-L055	staged_target	attested Kurux target-site form
silkurux2011:i015:0:1	15	0	1	control	B	kurux2011-0-bangla	attested	maʈi	soil/ground	39	38	P039-L056	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i016:A:1	16	A	1	target	Kurux	kurux2011-A-dima	attested	kʰəd	mud	40	39	P040-L003	staged_target	attested Kurux target-site form
silkurux2011:i016:B:1	16	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	kado	mud	40	39	P040-L002	staged_target	attested Kurux target-site form
silkurux2011:i016:C:1	16	C	1	target	Kurux	kurux2011-C-boldipukur	attested	kado	mud	40	39	P040-L002	staged_target	attested Kurux target-site form
silkurux2011:i016:D:1	16	D	1	target	Kurux	kurux2011-D-lohanipara	attested	kado	mud	40	39	P040-L002	staged_target	attested Kurux target-site form
silkurux2011:i016:E:1	16	E	1	target	Kurux	kurux2011-E-dulhapur	attested	kado	mud	40	39	P040-L002	staged_target	attested Kurux target-site form
silkurux2011:i016:0:1	16	0	1	control	B	kurux2011-0-bangla	attested	kada	mud	40	39	P040-L001	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i017:A:1	17	A	1	target	Kurux	kurux2011-A-dima	attested	dʰur	dust	40	39	P040-L006	staged_target	attested Kurux target-site form
silkurux2011:i017:B:1	17	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	dʰuli	dust	40	39	P040-L005	staged_target	attested Kurux target-site form
silkurux2011:i017:C:1	17	C	1	target	Kurux	kurux2011-C-boldipukur	attested	dʰuli	dust	40	39	P040-L005	staged_target	attested Kurux target-site form
silkurux2011:i017:D:1	17	D	1	target	Kurux	kurux2011-D-lohanipara	attested	dʰuli	dust	40	39	P040-L005	staged_target	attested Kurux target-site form
silkurux2011:i017:E:1	17	E	1	target	Kurux	kurux2011-E-dulhapur	attested	dʰuli	dust	40	39	P040-L005	staged_target	attested Kurux target-site form
silkurux2011:i017:0:1	17	0	1	control	B	kurux2011-0-bangla	attested	dʰula	dust	40	39	P040-L004	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i018:A:1	18	A	1	target	Kurux	kurux2011-A-dima	attested	dʰoŋgɛ	stone	40	39	P040-L010	staged_target	attested Kurux target-site form
silkurux2011:i018:B:1	18	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	pakʰɛna	stone	40	39	P040-L007	staged_target	attested Kurux target-site form
silkurux2011:i018:C:1	18	C	1	target	Kurux	kurux2011-C-boldipukur	attested	pakʰna	stone	40	39	P040-L008	staged_target	attested Kurux target-site form
silkurux2011:i018:D:1	18	D	1	target	Kurux	kurux2011-D-lohanipara	attested	pakʰna	stone	40	39	P040-L008	staged_target	attested Kurux target-site form
silkurux2011:i018:E:1	18	E	1	target	Kurux	kurux2011-E-dulhapur	attested	pakʰna	stone	40	39	P040-L008	staged_target	attested Kurux target-site form
silkurux2011:i018:0:1	18	0	1	control	B	kurux2011-0-bangla	attested	patʰor	stone	40	39	P040-L009	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i019:A:1	19	A	1	target	Kurux	kurux2011-A-dima	attested	t͜ʃʰɛlkul	sand	40	39	P040-L014	staged_target	attested Kurux target-site form
silkurux2011:i019:B:1	19	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	balu	sand	40	39	P040-L012	staged_target	attested Kurux target-site form
silkurux2011:i019:C:1	19	C	1	target	Kurux	kurux2011-C-boldipukur	attested	t͜ʃalkul	sand	40	39	P040-L013	staged_target	attested Kurux target-site form
silkurux2011:i019:D:1	19	D	1	target	Kurux	kurux2011-D-lohanipara	attested	t͜ʃalkul	sand	40	39	P040-L013	staged_target	attested Kurux target-site form
silkurux2011:i019:E:1	19	E	1	target	Kurux	kurux2011-E-dulhapur	attested	balu	sand	40	39	P040-L012	staged_target	attested Kurux target-site form
silkurux2011:i019:0:1	19	0	1	control	B	kurux2011-0-bangla	attested	bali	sand	40	39	P040-L011	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i020:A:1	20	A	1	target	Kurux	kurux2011-A-dima	attested	t͜ʃʰutɛ	gold	40	39	P040-L016	staged_target	attested Kurux target-site form
silkurux2011:i020:B:1	20	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	ʃona	gold	40	39	P040-L015	staged_target	attested Kurux target-site form
silkurux2011:i020:C:1	20	C	1	target	Kurux	kurux2011-C-boldipukur	attested	ʃona	gold	40	39	P040-L015	staged_target	attested Kurux target-site form
silkurux2011:i020:D:1	20	D	1	target	Kurux	kurux2011-D-lohanipara	attested	ʃona	gold	40	39	P040-L015	staged_target	attested Kurux target-site form
silkurux2011:i020:E:1	20	E	1	target	Kurux	kurux2011-E-dulhapur	attested	ʃona	gold	40	39	P040-L015	staged_target	attested Kurux target-site form
silkurux2011:i020:0:1	20	0	1	control	B	kurux2011-0-bangla	attested	ʃona	gold	40	39	P040-L015	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i021:A:1	21	A	1	target	Kurux	kurux2011-A-dima	blank		silver	40	39	P040-L017	excluded_blank	printed no-entry cell
silkurux2011:i021:B:1	21	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	rupa	silver	40	39	P040-L018	staged_target	attested Kurux target-site form
silkurux2011:i021:C:1	21	C	1	target	Kurux	kurux2011-C-boldipukur	attested	rupa	silver	40	39	P040-L018	staged_target	attested Kurux target-site form
silkurux2011:i021:D:1	21	D	1	target	Kurux	kurux2011-D-lohanipara	attested	rupa	silver	40	39	P040-L018	staged_target	attested Kurux target-site form
silkurux2011:i021:E:1	21	E	1	target	Kurux	kurux2011-E-dulhapur	attested	rupa	silver	40	39	P040-L018	staged_target	attested Kurux target-site form
silkurux2011:i021:0:1	21	0	1	control	B	kurux2011-0-bangla	attested	rupa	silver	40	39	P040-L018	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i022:A:1	22	A	1	target	Kurux	kurux2011-A-dima	attested	ɪnːe	today	40	39	P040-L020	staged_target	attested Kurux target-site form
silkurux2011:i022:B:1	22	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	ɪnːa	today	40	39	P040-L019	staged_target	attested Kurux target-site form
silkurux2011:i022:C:1	22	C	1	target	Kurux	kurux2011-C-boldipukur	attested	ɪnːa	today	40	39	P040-L019	staged_target	attested Kurux target-site form
silkurux2011:i022:D:1	22	D	1	target	Kurux	kurux2011-D-lohanipara	attested	ɪnːe	today	40	39	P040-L020	staged_target	attested Kurux target-site form
silkurux2011:i022:E:1	22	E	1	target	Kurux	kurux2011-E-dulhapur	attested	ɪnːɛ	today	40	39	P040-L021	staged_target	attested Kurux target-site form
silkurux2011:i022:0:1	22	0	1	control	B	kurux2011-0-bangla	attested	ad͜ʒ	today	40	39	P040-L022	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i023:A:1	23	A	1	target	Kurux	kurux2011-A-dima	blank		yesterday	40	39	P040-L023	excluded_blank	printed no-entry cell
silkurux2011:i023:B:1	23	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	t͜ʃɛro	yesterday	40	39	P040-L024	staged_target	attested Kurux target-site form
silkurux2011:i023:C:1	23	C	1	target	Kurux	kurux2011-C-boldipukur	attested	t͜ʃɛro	yesterday	40	39	P040-L024	staged_target	attested Kurux target-site form
silkurux2011:i023:D:1	23	D	1	target	Kurux	kurux2011-D-lohanipara	attested	t͜ʃɛro	yesterday	40	39	P040-L024	staged_target	attested Kurux target-site form
silkurux2011:i023:E:1	23	E	1	target	Kurux	kurux2011-E-dulhapur	attested	t͜ʃɛro	yesterday	40	39	P040-L024	staged_target	attested Kurux target-site form
silkurux2011:i023:0:1	23	0	1	control	B	kurux2011-0-bangla	attested	gɔtokal / kalkɛ	yesterday	40	39	P040-L025	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i024:A:1	24	A	1	target	Kurux	kurux2011-A-dima	attested	nɛlɛ	tomorrow	40	39	P040-L027	staged_target	attested Kurux target-site form
silkurux2011:i024:B:1	24	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	nɛla	tomorrow	40	39	P040-L026	staged_target	attested Kurux target-site form
silkurux2011:i024:C:1	24	C	1	target	Kurux	kurux2011-C-boldipukur	attested	nɛla	tomorrow	40	39	P040-L026	staged_target	attested Kurux target-site form
silkurux2011:i024:D:1	24	D	1	target	Kurux	kurux2011-D-lohanipara	attested	nɛla	tomorrow	40	39	P040-L026	staged_target	attested Kurux target-site form
silkurux2011:i024:E:1	24	E	1	target	Kurux	kurux2011-E-dulhapur	attested	nɛla	tomorrow	40	39	P040-L026	staged_target	attested Kurux target-site form
silkurux2011:i024:0:1	24	0	1	control	B	kurux2011-0-bangla	attested	agamikal	tomorrow	40	39	P040-L028	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i025:A:1	25	A	1	target	Kurux	kurux2011-A-dima	attested	hɛptɛ	week	40	39	P040-L029	staged_target	attested Kurux target-site form
silkurux2011:i025:B:1	25	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	hapta	week	40	39	P040-L030	staged_target	attested Kurux target-site form
silkurux2011:i025:C:1	25	C	1	target	Kurux	kurux2011-C-boldipukur	attested	hapta	week	40	39	P040-L030	staged_target	attested Kurux target-site form
silkurux2011:i025:D:1	25	D	1	target	Kurux	kurux2011-D-lohanipara	attested	hapta	week	40	39	P040-L030	staged_target	attested Kurux target-site form
silkurux2011:i025:E:1	25	E	1	target	Kurux	kurux2011-E-dulhapur	attested	hapta	week	40	39	P040-L030	staged_target	attested Kurux target-site form
silkurux2011:i025:0:1	25	0	1	control	B	kurux2011-0-bangla	attested	ʃɔpta	week	40	39	P040-L031	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i026:A:1	26	A	1	target	Kurux	kurux2011-A-dima	attested	mɛⁱnɛ	month	40	39	P040-L032	staged_target	attested Kurux target-site form
silkurux2011:i026:B:1	26	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	mahina	month	40	39	P040-L033	staged_target	attested Kurux target-site form
silkurux2011:i026:C:1	26	C	1	target	Kurux	kurux2011-C-boldipukur	attested	mahina	month	40	39	P040-L033	staged_target	attested Kurux target-site form
silkurux2011:i026:D:1	26	D	1	target	Kurux	kurux2011-D-lohanipara	attested	mahina	month	40	39	P040-L033	staged_target	attested Kurux target-site form
silkurux2011:i026:E:1	26	E	1	target	Kurux	kurux2011-E-dulhapur	attested	mahina	month	40	39	P040-L033	staged_target	attested Kurux target-site form
silkurux2011:i026:0:1	26	0	1	control	B	kurux2011-0-bangla	attested	maʃ	month	40	39	P040-L034	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i027:A:1	27	A	1	target	Kurux	kurux2011-A-dima	attested	sɛl	year	40	39	P040-L037	staged_target	attested Kurux target-site form
silkurux2011:i027:B:1	27	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	bat͜ʃʰar	year	40	39	P040-L035	staged_target	attested Kurux target-site form
silkurux2011:i027:C:1	27	C	1	target	Kurux	kurux2011-C-boldipukur	attested	bat͜ʃʰar	year	40	39	P040-L035	staged_target	attested Kurux target-site form
silkurux2011:i027:D:1	27	D	1	target	Kurux	kurux2011-D-lohanipara	attested	bat͜ʃʰar	year	40	39	P040-L035	staged_target	attested Kurux target-site form
silkurux2011:i027:E:1	27	E	1	target	Kurux	kurux2011-E-dulhapur	attested	bat͜ʃʰar	year	40	39	P040-L035	staged_target	attested Kurux target-site form
silkurux2011:i027:0:1	27	0	1	control	B	kurux2011-0-bangla	attested	bɔt͜ʃʰor	year	40	39	P040-L036	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i028:A:1	28	A	1	target	Kurux	kurux2011-A-dima	blank		day	40	39	P040-L038	excluded_blank	printed no-entry cell
silkurux2011:i028:B:1	28	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	ʊlːa	day	40	39	P040-L039	staged_target	attested Kurux target-site form
silkurux2011:i028:C:1	28	C	1	target	Kurux	kurux2011-C-boldipukur	attested	ʊlːa	day	40	39	P040-L039	staged_target	attested Kurux target-site form
silkurux2011:i028:D:1	28	D	1	target	Kurux	kurux2011-D-lohanipara	attested	ʊlːa	day	40	39	P040-L039	staged_target	attested Kurux target-site form
silkurux2011:i028:E:1	28	E	1	target	Kurux	kurux2011-E-dulhapur	attested	ʊlːɛ	day	40	39	P040-L040	staged_target	attested Kurux target-site form
silkurux2011:i028:0:1	28	0	1	control	B	kurux2011-0-bangla	attested	din	day	40	39	P040-L041	excluded_control	standard Bangla comparison control retained audit-only
silkurux2011:i029:A:1	29	A	1	target	Kurux	kurux2011-A-dima	attested	pʰɛⁱri	morning	40	39	P040-L043	staged_target	attested Kurux target-site form
silkurux2011:i029:B:1	29	B	1	target	Kurux	kurux2011-B-gabindanagar	attested	pairi	morning	40	39	P040-L042	staged_target	attested Kurux target-site form
silkurux2011:i029:C:1	29	C	1	target	Kurux	kurux2011-C-boldipukur	attested	pairi	morning	40	39	P040-L042	staged_target	attested Kurux target-site form
silkurux2011:i029:D:1	29	D	1	target	Kurux	kurux2011-D-lohanipara	attested	pairi	morning	40	39	P040-L042	staged_target	attested Kurux target-site form
silkurux2011:i029:E:1	29	E	1	target	Kurux	kurux2011-E-dulhapur	attested	pairi	morning	40	39	P040-L042	staged_target	attested Kurux target-site form
