DBIA_ID,Number,Letter,Page,Donor,CDIAL_ID,Compared_Entry_ID,Decision,Comparison_Status,Confidence,Forms,Candidates
dbia55,55,,16,śreņi-,12718,12718,unique normalized headword,matched-cdial,high,6,śreņi- | seņi- | nilḥ
dbia56,56,,16,helana-,,dbia56-ia,no safe CDIAL match,source-local-ia,high,4,helana- | hel-
dbia57,57,,17,,,,no safe CDIAL match,unresolved-no-ia-headword,,4,
dbia58,58,,17,apasărayati,,dbia58-ia,no safe CDIAL match,source-local-ia,medium,3,apasărayati | avasarati | has | acc
dbia59,59,,17,odra-,2549,2549,homonym disambiguated by gloss,matched-cdial,high,5,odra- | odda
dbia60,60,,17,vihāra,12033,12033,unique normalized headword,matched-cdial,high,4,vihāra
dbia61,61,,18,upādhāya-,,dbia61-ia,no safe CDIAL match,source-local-ia,high,3,upādhāya-
dbia62,62,,18,śroņă-,,dbia62-ia,no safe CDIAL match,source-local-ia,high,3,śroņă-
dbia63,63,,18,avalagna-,822,822,unique normalized headword,matched-cdial,high,5,olagg- | avalagna-
dbia64,64,,18,avali-,1423,1423,unique normalized headword,matched-cdial,high,4,avali- | oli-
dbia65,65,,18,karkați-,,dbia65-ia,no safe CDIAL match,source-local-ia,high,3,karkați- | kakkadi- | kakşi
dbia66,66,,18,kacora-,,dbia66-ia,no safe CDIAL match,source-local-ia,high,5,kacora- | kacur
dbia67,67,,19,kamsabell-metal,,dbia67-ia,no safe CDIAL match,source-local-ia,low,5,kamsabell-metal
dbia68,68,,19,kāştha-,3120,3120,homonym disambiguated by gloss,matched-cdial,high,8,kāştha- | kațțha-
dbia69,69,,19,gañaka-,3989,3989,unique normalized headword,matched-cdial,high,4,gañaka-
dbia70,70,,19,ganda-,,dbia70-ia,no safe CDIAL match,source-local-ia,high,5,ganda-
dbia71,71,,19,khand-,,dbia71-ia,no safe CDIAL match,source-local-ia,high,7,khand-
dbia72,72,,19,kartarĨ-,2858,2858,unique normalized headword,matched-cdial,high,7,kartarĨ- | kattari-
dbia73,73,,20,gādi,3975,3975,unique normalized headword,matched-cdial,high,3,gādi
dbia74,74,,20,kapaț,,dbia74-ia,no safe CDIAL match,source-local-ia,high,7,kapaț | kapatafraud | kavada-
dbia75,75,,20,kapi,,dbia75-ia,no safe CDIAL match,source-local-ia,low,5,kapi
dbia76,76,,20,kambala,2771,2771,homonym disambiguated by gloss,matched-cdial,high,12,kambala | Pkt | kambala- | kamlī
dbia77,77,,20,skambha,13639,13639,homonym disambiguated by gloss,matched-cdial,high,8,skambha | Pkt | khambha-
dbia78,78,,21,kami,,dbia78-ia,no safe CDIAL match,source-local-ia,high,6,kami
dbia79a,79,a,21,karman-,2892,2892,homonym disambiguated by gloss,matched-cdial,high,6,karman- | kamma-
dbia80,80,,21,kaparda-,2740,2740,unique normalized headword,matched-cdial,high,6,kaparda- | kavadda- | kauſi
dbia81,81,,21,kabār,,dbia81-ia,no safe CDIAL match,source-local-ia,high,3,kabār
dbia82,82,,21,gāvdā,,dbia82-ia,no safe CDIAL match,source-local-ia,high,8,gāvdā | grāma-kūțachief | gāmaŭda-
dbia83,83,,21,gỉdhravulture,,dbia83-ia,no safe CDIAL match,source-local-ia,high,5,gỉdhravulture | gaddha- | gaddha-
dbia84,84,,21,khani-,,dbia84-ia,no safe CDIAL match,source-local-ia,high,6,khani-
dbia85,85,,22,kanya-,2737,2737,homonym disambiguated by gloss,matched-cdial,high,6,kanya- | kaññā- | kaņņā-
dbia86,86,,22,kāgad,,dbia86-ia,no safe CDIAL match,source-local-ia,high,7,kāgad
dbia87,87,,22,ghānā,4466,4466,homonym disambiguated by gloss,matched-cdial,high,4,ghānā | ghāņā | ghāņamill | ghātana-
dbia88,88,,22,kāņda-,,dbia88-ia,no safe CDIAL match,source-local-ia,high,4,kāņda-
dbia89,89,,22,kāņda-pața-,,dbia89-ia,no safe CDIAL match,source-local-ia,high,2,kāņda-pața-
dbia90,90,,22,ghata-,4460,4460,homonym disambiguated by gloss,matched-cdial,high,8,ghata- | ghāa- | ghāv | ghāy
dbia91,91,,22,gāruda-,4138,4138,homonym disambiguated by gloss,matched-cdial,high,3,gāruda- | gāruļī
dbia92,92,,22,kāraṇa-,3057,3057,homonym disambiguated by gloss,matched-cdial,high,3,kāraṇa-
dbia93,93,,23,ghāriā-,,dbia93-ia,no safe CDIAL match,source-local-ia,high,3,ghāriā- | ghari | ghārika-
dbia94,94,,23,kāryawork,,dbia94-ia,no safe CDIAL match,source-local-ia,high,7,kāryawork
dbia95,95,,23,Mar,,dbia95-ia,no safe CDIAL match,source-local-ia,high,4,Mar | gārā
dbia96,96,,23,kārttikan,,dbia96-ia,no safe CDIAL match,source-local-ia,high,6,kārttikan
dbia97,97,,23,kala,,dbia97-ia,no safe CDIAL match,source-local-ia,high,8,kala
dbia98,98,,23,gāvuta-,4150,4150,unique normalized headword,matched-cdial,high,4,gavyūti | gāvuta-
dbia99,99,,23,khatakkika-,3770,3770,unique normalized headword,matched-cdial,high,6,khatakkika- | khadakkiid | khiệkī | khidki
dbia100,100,,23,kițța-,3156,3156,unique normalized headword,matched-cdial,high,5,kițța- | kițţa-
dbia101,101,,24,kīța-,3193,3193,unique normalized headword,matched-cdial,high,5,kīța- | kida-
dbia102,102,,24,kirti-,3200,3200,unique normalized headword,matched-cdial,high,6,kirti-
dbia103,103,,24,guggulu-,,dbia103-ia,no safe CDIAL match,source-local-ia,low,5,guggulu-
dbia104,104,,24,khunța-,3898,3898,unique normalized headword,matched-cdial,high,5,khunța- | khūtā | khūță
dbia105,105,,24,kuttā,,dbia105-ia,no safe CDIAL match,source-local-ia,high,6,kuttā | guttā | kuta
dbia106,106,,25,kůrpása-,,dbia106-ia,no safe CDIAL match,source-local-ia,high,10,kůrpása- | kuppāsa- | W | S
dbia107,107,,25,go,4255,4255,unique normalized headword,matched-cdial,high,6,go | gov | gobar | govar | govar
dbia108,108,,25,kuppi,,dbia108-ia,no safe CDIAL match,source-local-ia,high,6,kuppi
dbia109,109,,25,kumbhakāra,3310,3310,unique normalized headword,matched-cdial,high,9,kumbhakāra | kumbhaara- | kumhār | kūbhär
dbia110,110,,25,kula-,3330,3330,homonym disambiguated by gloss,matched-cdial,high,7,kula-
dbia111,111,,25,jyeșthā-,5292a,5292a,homonym disambiguated by gloss,matched-cdial,high,6,jyeșthā-
dbia112,112,,26,kşepa-,3738,3738,unique normalized headword,matched-cdial,high,4,khewā | kşepa-
dbia113,113,,26,keliplay,,dbia113-ia,no safe CDIAL match,source-local-ia,high,7,keliplay
dbia114,114,,26,kuştha-,3370,3370,homonym disambiguated by gloss,matched-cdial,high,2,kuştha- | koţthaplant
dbia115,115,,26,koştha-,3546,3546,homonym disambiguated by gloss,matched-cdial,high,5,koştha- | koţtha- | kothār
dbia116,116,,26,kustumbari-,3380,3380,unique normalized headword,matched-cdial,high,5,kustumbari- | kutthumbhari-
dbia117,117,,26,guda-,,dbia117-ia,no safe CDIAL match,source-local-ia,high,2,guda-
dbia118,118,,26,kūrpara-,3413,3413,unique normalized headword,matched-cdial,high,4,kūrpara- | koppara-
dbia119,119,,26,,,,no safe CDIAL match,unresolved-no-ia-headword,,4,
dbia120,120,,27,gol,4320,4320,unique normalized headword,matched-cdial,high,4,gol
dbia121,121,,27,ghoſā,4528,4528,unique normalized headword,matched-cdial,high,4,ghoțaka- | ghoſā | ghodā
dbia122,122,,27,kodi,3503,3503,unique normalized headword,matched-cdial,high,6,korī | kodi
dbia123,123,,27,godhūma-,4287,4287,unique normalized headword,matched-cdial,high,11,gong | godhūma- | gohūma- | gohum
dbia124,124,,27,kumāra-,3303,3303,unique normalized headword,matched-cdial,high,2,kumāra- | kumăra- | kaumāra- | komāra-
dbia125,125,,27,koli-,,dbia125-ia,no safe CDIAL match,source-local-ia,high,3,koli-
dbia126,126,,27,śaskulĩ-,,dbia126-ia,no safe CDIAL match,source-local-ia,high,4,śaskulĩ- | sakkuli-
dbia127,127,,28,śakața-,12236,12236,unique normalized headword,matched-cdial,high,4,śakața- | sagadi-
dbia128,128,,28,sah,,dbia128-ia,no safe CDIAL match,source-local-ia,high,5,sah
dbia129,129,,28,jhagada-,,dbia129-ia,no safe CDIAL match,source-local-ia,high,4,jhagada- | jhagrā | jhagdā
dbia130,130,,28,samghāța-,12859,12859,homonym disambiguated by gloss,matched-cdial,high,4,samghāța- | sanghāța- | samghāda- | săgad
dbia131,131,,28,śřńkhală,12580,12580,unique normalized headword,matched-cdial,high,11,śřńkhală | sank | sãkal
dbia132,132,,29,Mar,,dbia132-ia,no safe CDIAL match,source-local-ia,high,3,Mar | soji
dbia133,133,,29,sadhila-,,dbia133-ia,no safe CDIAL match,source-local-ia,high,4,sadhila- | śithila-
dbia134,134,,29,jhadi-,5329,5329,unique normalized headword,matched-cdial,high,4,jhadi- | jhaời | jhaf
dbia135,135,,29,,,,no safe CDIAL match,unresolved-no-ia-headword,,4,
dbia136,136,,29,canda-,4584,4584,unique normalized headword,matched-cdial,high,6,canda-
dbia137,137,,29,ślakṣṇa-,12732,12732,homonym disambiguated by gloss,matched-cdial,high,3,ślakṣṇa- | sanha-
dbia138,138,,29,catur-,,dbia138-ia,no safe CDIAL match,source-local-ia,high,4,catur-
dbia139,139,,29,samdhi-,12913,12913,unique normalized headword,matched-cdial,high,8,samdhi-
dbia140,140,,30,samsthā-,13049,13049,unique normalized headword,matched-cdial,high,7,samsthā- | samthāgāraassembly | *samthă- | samsthāna- | saņthāna- | samdhā-
dbia141,141,,30,,,,no safe CDIAL match,unresolved-no-ia-headword,,4,
dbia142,142,,30,chappar,,dbia142-ia,no safe CDIAL match,source-local-ia,high,6,chappar | chattvarahouse
dbia143,143,,30,sambala-,12315,12315,unique normalized headword,matched-cdial,high,7,sambala-
dbia144,144,,30,sampuța,12941,12941,unique normalized headword,matched-cdial,high,3,sampuța
dbia145,145,,30,jalp-,,dbia145-ia,no safe CDIAL match,source-local-ia,high,2,jalp- | jamp-
dbia146,146,,30,saraka-,13247a,13247a,unique normalized headword,matched-cdial,high,5,saraka-
dbia147,147,,31,sadṛśa-,13120,13120,unique normalized headword,matched-cdial,high,9,sadṛśa- | sari-
dbia148,148,,31,jha,,dbia148-ia,no safe CDIAL match,source-local-ia,high,2,jha
dbia149,149,,31,cela,4910,4910,unique normalized headword,matched-cdial,high,6,cela | sela
dbia150,150,,32,jhālar,,dbia150-ia,no safe CDIAL match,source-local-ia,high,3,jhālar
dbia151,151,,32,jhāl,,dbia151-ia,no safe CDIAL match,source-local-ia,high,2,jhāl
dbia152,152,,32,ja'i,,dbia152-ia,no safe CDIAL match,source-local-ia,high,4,ja'i
dbia153,153,,32,sarvalā-,13279,13279,unique normalized headword,matched-cdial,high,4,sarvalā- | savvala-
dbia154,154,,32,savãg,,dbia154-ia,no safe CDIAL match,source-local-ia,high,3,savãg | samarghacheap
dbia155,155,,32,catuṣka,4629,4629,unique normalized headword,matched-cdial,high,4,catuṣka | caükka-
dbia156,156,,32,jāti-,5187,5187,homonym disambiguated by gloss,matched-cdial,high,3,jāti- | *jādi-
dbia157,157,,32,cahāļ,,dbia157-ia,no safe CDIAL match,source-local-ia,high,5,cahāļ
dbia158,158,,32,cāți-,4736,4736,unique normalized headword,matched-cdial,high,8,cāți- | cāți | Mar | group
dbia159,159,,33,chagana-,4961,4961,unique normalized headword,matched-cdial,high,3,chagana- | chagana-
dbia160,160,,33,śāņa-,12388,12388,homonym disambiguated by gloss,matched-cdial,high,6,śāņa-
dbia161,161,,33,prasāda-,,dbia161-ia,no safe CDIAL match,source-local-ia,high,3,prasāda-
dbia162,162,,33,svāmin-,13930,13930,unique normalized headword,matched-cdial,high,6,svāmin- | sāmi-
dbia163,163,,33,śyāmăka-,12667,12667,unique normalized headword,matched-cdial,high,5,cāma | śyāmăka- | samăa- | sämā | sãvā
dbia164,164,,33,sara,,dbia164-ia,no safe CDIAL match,source-local-ia,high,6,sara
dbia165,165,,33,cēla,4910,4910,unique normalized headword,matched-cdial,high,6,cēla | śālā- | sālā | sāl | sāļ
dbia166,166,,34,yavagu-,10438,10438,unique normalized headword,matched-cdial,high,3,yavagu- | yāgu- | jāu
dbia167,167,,34,sisa-,13445,13445,unique normalized headword,matched-cdial,high,7,sisa-
dbia168,168,,34,jirā,5233,5233,unique normalized headword,matched-cdial,high,4,jiraka- | jīraa- | jirā
dbia169,169,,34,kşura-,3727,3727,homonym disambiguated by gloss,matched-cdial,high,7,kşura- | chura-
dbia170,170,,34,kşulla-,3732,3732,unique normalized headword,matched-cdial,high,2,kşulla- | chulla | Pkt | culla-
dbia171,171,,34,cūcub,,dbia171-ia,no safe CDIAL match,source-local-ia,high,9,cūcub | sūc- | sui- | sui
dbia172,172,,35,dyūta-,6608,6608,unique normalized headword,matched-cdial,high,8,dyūta- | jūta- | *jūda-
dbia173,173,,35,cakra,4538,4538,unique normalized headword,matched-cdial,high,3,cakra | cakka
dbia174,174,,35,seyyā,12609,12609,unique normalized headword,matched-cdial,high,2,sayya- | seyyā | sejjā- | sej
dbia175,175,,35,śreșthin,12726,12726,unique normalized headword,matched-cdial,high,5,śreșthin | Pkt | setthi- | seth | śeth
dbia176,176,,35,jethi,,dbia176-ia,no safe CDIAL match,source-local-ia,high,3,jethi | jyestha-
dbia177,177,,35,sva,13893,13893,unique normalized headword,matched-cdial,low,5,sva
dbia178,178,,35,jhõpā,,dbia178-ia,no safe CDIAL match,source-local-ia,high,5,jhõpā
dbia179,179,,35,jorto,,dbia179-ia,no safe CDIAL match,source-local-ia,high,9,jorto | jor | jodnē
dbia180,180,,36,śudh-,13467,13467,unique normalized headword,matched-cdial,high,7,śudh-
dbia181,181,,36,,,,no safe CDIAL match,unresolved-no-ia-headword,,6,
dbia182,182,,36,ñāya-,6965,6965,unique normalized headword,matched-cdial,high,7,nyāyamethod | ñāya- | ņāya-
dbia183,183,,36,dhīlā,5590,5590,homonym disambiguated by gloss,matched-cdial,high,3,Ņhilā | dhīlā | Ņhilla- | sadhila-
dbia184,184,,37,doki,,dbia184-ia,no safe CDIAL match,source-local-ia,high,3,doki
dbia185,185,,37,thakņē,,dbia185-ia,no safe CDIAL match,source-local-ia,high,3,thakņē
dbia186,186,,37,danda-,6128,6128,homonym disambiguated by gloss,matched-cdial,high,7,danda-
dbia187,187,,37,tāță,,dbia187-ia,no safe CDIAL match,source-local-ia,high,4,tāță | tātā | root
dbia188,188,,38,dadrŭ-,6142,6142,unique normalized headword,matched-cdial,high,6,dadrŭ- | Pkt | daddu- | dad
dbia189,189,,38,tapelē,,dbia189-ia,no safe CDIAL match,source-local-ia,high,6,tapelē | tap-
dbia190,190,,38,dābhan,,dbia190-ia,no safe CDIAL match,source-local-ia,high,4,dābhan
dbia191,191,,38,tāmbūla-,5776,5776,homonym disambiguated by gloss,matched-cdial,high,2,tāmbūla- | tambolaid | tābol
dbia192,192,,38,tarka-,5714,5714,unique normalized headword,matched-cdial,high,7,tarka- | takka
dbia193,193,,38,darbha-,6203,6203,homonym disambiguated by gloss,matched-cdial,high,5,darbha- | dabbha
dbia194,194,,38,yavasa-,10436,10436,homonym disambiguated by gloss,matched-cdial,high,5,yavasa- | javasa-
dbia195,195,,38,drịha-,,dbia195-ia,no safe CDIAL match,source-local-ia,high,4,drịha- | dadha | drờha-
dbia196,196,,39,dala,,dbia196-ia,no safe CDIAL match,source-local-ia,high,6,dala | dal | dal
dbia197,197,,39,talasurface,,dbia197-ia,no safe CDIAL match,source-local-ia,high,4,talasurface
dbia198,198,,39,sthalī-,13766,13766,unique normalized headword,matched-cdial,high,3,sthalī- | thali-
dbia199,199,,39,sthālavessel,,dbia199-ia,no safe CDIAL match,source-local-ia,high,5,sthālavessel | thālaka- | thalliāearthen | thaliyā
dbia200,200,,39,dharā-,6748,6748,homonym disambiguated by gloss,matched-cdial,high,2,dharā-
dbia201,201,,39,dāsaservant,,dbia201-ia,no safe CDIAL match,source-local-ia,high,4,dāsaservant
dbia202,202,,39,dāsi-,,dbia202-ia,no safe CDIAL match,source-local-ia,high,5,dāsi-
dbia203,203,,40,dāhā-,,dbia203-ia,no safe CDIAL match,source-local-ia,high,7,dāhā- | dadha- | dāșhā
dbia204,204,,40,dhārstyaboldness,,dbia204-ia,no safe CDIAL match,source-local-ia,high,4,dhārstyaboldness | *dhāțha-
dbia205,205,,40,tāmhan,,dbia205-ia,no safe CDIAL match,source-local-ia,high,4,tāmhan | tāmracopper
dbia206,206,,40,dhārā-,6793,6793,homonym disambiguated by gloss,matched-cdial,high,7,dhārā-
dbia207,207,,40,sthāman-,13760,13760,unique normalized headword,matched-cdial,high,4,sthāman- | thāma- | thăw | thāv
dbia208,208,,40,tāla-,5801,5801,homonym disambiguated by gloss,matched-cdial,high,6,tāla- | tāla-
dbia209,209,,40,diś-,6339,6339,unique normalized headword,matched-cdial,high,8,diś-
dbia210,210,,41,dệti-,,dbia210-ia,no safe CDIAL match,source-local-ia,high,6,dệti- | *diti-
dbia211,211,,41,śri-,,dbia211-ia,no safe CDIAL match,source-local-ia,high,3,śri- | siri-
dbia212,212,,41,stuti,13698,13698,unique normalized headword,matched-cdial,high,5,stuti | st- | thuti- | thuti-
dbia213,213,,41,dora,,dbia213-ia,no safe CDIAL match,source-local-ia,high,8,dora | dhurya- | dhoreyya- | dhoreya-
dbia214,214,,41,tula-,5886,5886,homonym disambiguated by gloss,matched-cdial,high,6,tula-
dbia215,215,,42,,,,no safe CDIAL match,unresolved-no-ia-headword,,4,
dbia216,216,,42,dūşya-,6506,6506,unique normalized headword,matched-cdial,high,2,dūşya- | dussa- | dūsa-
dbia217,217,,42,tithi,5810,5810,unique normalized headword,matched-cdial,high,6,tithi
dbia218,218,,42,devadāsī-,,dbia218-ia,no safe CDIAL match,source-local-ia,high,3,devadāsī-
dbia219,219,,42,deva-,6523,6523,homonym disambiguated by gloss,matched-cdial,high,8,deva- | devagod
dbia220,220,,42,droņi-,6644,6644,unique normalized headword,matched-cdial,high,6,droņi- | Pkt | doni- | Joni | doni
dbia221,221,,42,naga-,,dbia221-ia,no safe CDIAL match,source-local-ia,high,7,naga- | nag | nag
dbia222,222,,43,nāgaraanchor,,dbia222-ia,no safe CDIAL match,source-local-ia,high,5,nāgaraanchor | nãgar | langar
dbia223,223,,43,nastā,7031,7031,homonym disambiguated by gloss,matched-cdial,high,5,nastā | ḥatthānose-rope | nath
dbia224,224,,43,nāļi-,,dbia224-ia,no safe CDIAL match,source-local-ia,high,7,nāļi-
dbia225,225,,43,ņāņaka-,7050,7050,unique normalized headword,matched-cdial,high,5,nāņakacoin | ņāņaka-
dbia226,226,,43,nāyaleader,,dbia226-ia,no safe CDIAL match,source-local-ia,high,3,nāyaleader
dbia227,227,,43,nija-,7181,7181,unique normalized headword,matched-cdial,high,5,nija-
dbia228,228,,44,nimba-,7245,7245,unique normalized headword,matched-cdial,high,4,līm | nimba-
dbia229,229,,44,nimbū,7247,7247,unique normalized headword,matched-cdial,high,5,nimbū
dbia230,230,,44,nibhasembling,,dbia230-ia,no safe CDIAL match,source-local-ia,high,4,nibhasembling | nibhāappearance | ņihă-
dbia231,231,,44,niyamarule,,dbia231-ia,no safe CDIAL match,source-local-ia,high,7,niyamarule | niyam
dbia232,232,,45,pagdā,,dbia232-ia,no safe CDIAL match,source-local-ia,high,6,pagdā | pag
dbia233a,233,a,45,paksa-,7627,7627,homonym disambiguated by gloss,matched-cdial,high,9,paksa- | pakkha- | pakşinbird | pakkhin- | pakkhi-
dbia234,234,,45,bhạngāra-,,dbia234-ia,no safe CDIAL match,source-local-ia,high,6,bhạngāra-
dbia235,235,,45,phālguna-,,dbia235-ia,no safe CDIAL match,source-local-ia,high,2,phālguna- | Pkt | phagguņa-
dbia236,236,,45,pracchada,8496,8496,unique normalized headword,matched-cdial,high,7,pracchada | pacchaa- | pața-
dbia237,237,,45,panji,,dbia237-ia,no safe CDIAL match,source-local-ia,high,3,panji
dbia238,238,,45,pañcā,7655,7655,unique normalized headword,matched-cdial,high,3,pañcā
dbia239,239,,46,patākā-,7726,7726,homonym disambiguated by gloss,matched-cdial,high,3,patākā- | patākā- | padāga-
dbia240a,240,a,46,pața-,7692,7692,homonym disambiguated by gloss,matched-cdial,high,15,pața-
dbia241,241,,46,barhāi,,dbia241-ia,no safe CDIAL match,source-local-ia,high,6,barhāi
dbia242,242,,46,path-,,dbia242-ia,no safe CDIAL match,source-local-ia,high,8,path- | padh- | paſhnā
dbia243,243,,46,pratigraha-,8554,8554,unique normalized headword,matched-cdial,high,5,pratigraha- | padiggaha-
dbia244,244,,46,sphaţikā-,13818,13818,unique normalized headword,matched-cdial,high,5,sphaţikā-
dbia245,245,,46,pațu-,,dbia245-ia,no safe CDIAL match,source-local-ia,high,8,pațu-
dbia246,246,,47,pațța-,7699,7699,homonym disambiguated by gloss,matched-cdial,high,8,pațța-
dbia247,247,,47,pattra,7733,7733,unique normalized headword,matched-cdial,high,4,pațțiśa- | pață | pattra
dbia248,248,,47,bhatta-,9366,9366,unique normalized headword,matched-cdial,high,6,bhatta-
dbia249,249,,47,bhrăştra-,,dbia249-ia,no safe CDIAL match,source-local-ia,high,4,bhrăştra- | bhattha- | bhatt
dbia250,250,,47,pana,7715,7715,homonym disambiguated by gloss,matched-cdial,high,7,pana
dbia251,251,,47,piņdāra,,dbia251-ia,no safe CDIAL match,source-local-ia,high,3,piņdāra
dbia252,252,,48,vart-,,dbia252-ia,no safe CDIAL match,source-local-ia,high,4,vart- | batti | vart-
dbia253,253,,48,pańkti-,7646,7646,unique normalized headword,matched-cdial,high,6,pańkti- | Pkt | panti-
dbia254,254,,48,parwă,,dbia254-ia,no safe CDIAL match,source-local-ia,high,8,parwă
dbia255,255,,48,parāmṛść,,dbia255-ia,no safe CDIAL match,source-local-ia,high,6,parāmṛść | parāmas- | parāmaristo
dbia256,256,,48,parvan-,7947,7947,unique normalized headword,matched-cdial,high,10,parvan- | pavvaid | parb
