DBIA_ID,CDIAL_ID,Headword,Reason
dbia115,3546,koştha-,homonym disambiguated by gloss
dbia116,3380,kustumbari-,unique normalized headword
dbia118,3413,kūrpara-,unique normalized headword
dbia120,4320,gol,unique normalized headword
dbia121,4528,ghoſā,unique normalized headword
dbia122,3503,kodi,unique normalized headword
dbia123,4287,godhūma-,unique normalized headword
dbia124,3303,kumāra-,unique normalized headword
dbia127,12236,śakața-,unique normalized headword
dbia130,12859,samghāța-,homonym disambiguated by gloss
dbia131,12580,śřńkhală,unique normalized headword
dbia134,5329,jhadi-,unique normalized headword
dbia136,4584,canda-,unique normalized headword
dbia137,12732,ślakṣṇa-,homonym disambiguated by gloss
dbia139,12913,samdhi-,unique normalized headword
dbia140,13049,samsthā-,unique normalized headword
dbia143,12315,sambala-,unique normalized headword
dbia144,12941,sampuța,unique normalized headword
dbia146,13247a,saraka-,unique normalized headword
dbia147,13120,sadṛśa-,unique normalized headword
dbia149,4910,cela,unique normalized headword
dbia153,13279,sarvalā-,unique normalized headword
dbia155,4629,catuṣka,unique normalized headword
dbia156,5187,jāti-,homonym disambiguated by gloss
dbia158,4736,cāți-,unique normalized headword
dbia159,4961,chagana-,unique normalized headword
dbia160,12388,śāņa-,homonym disambiguated by gloss
dbia162,13930,svāmin-,unique normalized headword
dbia163,12667,śyāmăka-,unique normalized headword
dbia165,4910,cēla,unique normalized headword
dbia166,10438,yavagu-,unique normalized headword
dbia167,13445,sisa-,unique normalized headword
dbia168,5233,jirā,unique normalized headword
dbia169,3727,kşura-,homonym disambiguated by gloss
dbia170,3732,kşulla-,unique normalized headword
dbia172,6608,dyūta-,unique normalized headword
dbia173,4538,cakra,unique normalized headword
dbia174,12609,seyyā,unique normalized headword
dbia175,12726,śreșthin,unique normalized headword
dbia177,13893,sva,unique normalized headword
dbia180,13467,śudh-,unique normalized headword
dbia182,6965,ñāya-,unique normalized headword
dbia183,5590,dhīlā,homonym disambiguated by gloss
dbia186,6128,danda-,homonym disambiguated by gloss
dbia188,6142,dadrŭ-,unique normalized headword
dbia191,5776,tāmbūla-,homonym disambiguated by gloss
dbia192,5714,tarka-,unique normalized headword
dbia193,6203,darbha-,homonym disambiguated by gloss
dbia194,10436,yavasa-,homonym disambiguated by gloss
dbia198,13766,sthalī-,unique normalized headword
dbia200,6748,dharā-,homonym disambiguated by gloss
dbia206,6793,dhārā-,homonym disambiguated by gloss
dbia207,13760,sthāman-,unique normalized headword
dbia208,5801,tāla-,homonym disambiguated by gloss
dbia209,6339,diś-,unique normalized headword
dbia212,13698,stuti,unique normalized headword
dbia214,5886,tula-,homonym disambiguated by gloss
dbia216,6506,dūşya-,unique normalized headword
dbia217,5810,tithi,unique normalized headword
dbia219,6523,deva-,homonym disambiguated by gloss
dbia220,6644,droņi-,unique normalized headword
dbia223,7031,nastā,homonym disambiguated by gloss
dbia225,7050,ņāņaka-,unique normalized headword
dbia227,7181,nija-,unique normalized headword
dbia228,7245,nimba-,unique normalized headword
dbia229,7247,nimbū,unique normalized headword
dbia233a,7627,paksa-,homonym disambiguated by gloss
dbia236,8496,pracchada,unique normalized headword
dbia238,7655,pañcā,unique normalized headword
dbia239,7726,patākā-,homonym disambiguated by gloss
dbia240a,7692,pața-,homonym disambiguated by gloss
dbia243,8554,pratigraha-,unique normalized headword
dbia244,13818,sphaţikā-,unique normalized headword
dbia246,7699,pațța-,homonym disambiguated by gloss
dbia247,7733,pattra,unique normalized headword
dbia248,9366,bhatta-,unique normalized headword
dbia250,7715,pana,homonym disambiguated by gloss
dbia253,7646,pańkti-,unique normalized headword
dbia256,7947,parvan-,unique normalized headword
dbia257,9054,phalaka-,unique normalized headword
dbia258,13818,Sphatika-,unique normalized headword
dbia259,8914,prākāra-,homonym disambiguated by gloss
dbia260,8022,pāka-,unique normalized headword
dbia262,8132,pāśa,homonym disambiguated by gloss
dbia264,8038,pāțhā-,homonym disambiguated by gloss
dbia265,8570,pratipad-,unique normalized headword
dbia266,8092,pāpa-,unique normalized headword
dbia267,8131,pāli-,unique normalized headword
dbia268,8076,pādukā-,unique normalized headword
dbia269a,8218,pişța-,homonym disambiguated by gloss
dbia270,8184,pittala-,homonym disambiguated by gloss
dbia272,12064,vřkka-,unique normalized headword
dbia273,8371,prstha-,homonym disambiguated by gloss
dbia275,8329,pūr-,unique normalized headword
dbia279,9625,bhoga-,unique normalized headword
dbia281,9630,bhojana-,unique normalized headword
dbia282,9736,manda-,homonym disambiguated by gloss
dbia285,9784,madhu-,unique normalized headword
dbia286,9892,mardala,unique normalized headword
dbia289,9895,maryādā-,homonym disambiguated by gloss
dbia290,9828,manuşya-,unique normalized headword
dbia292,9982,māmsa-,unique normalized headword
dbia293,9993,māgha-,homonym disambiguated by gloss
dbia294,10048,māņava,unique normalized headword
dbia298,9875,marica-,unique normalized headword
dbia299,10191,munda-,unique normalized headword
dbia300,10226,musta,homonym disambiguated by gloss
dbia301,10262,mūşa-,homonym disambiguated by gloss
dbia304,10358,mộșā,unique normalized headword
dbia305,10203,mudrā-,unique normalized headword
dbia306,10974,lava,homonym disambiguated by gloss
dbia307,10595,raņa-,homonym disambiguated by gloss
dbia312,12188,vyākhyāna-,unique normalized headword
dbia314,11275,vandhyā-,unique normalized headword
dbia315,11403,vaļā-,homonym disambiguated by gloss
dbia316a,11727a,vịtta,homonym disambiguated by gloss
dbia317,11366,vartman-,unique normalized headword
dbia318,7700,pațța-,homonym disambiguated by gloss
dbia320,11338,varņa-,homonym disambiguated by gloss
dbia321,11564,vārttā-,unique normalized headword
dbia322,9409,bhalla,homonym disambiguated by gloss
dbia323a,11175,vamsa-,unique normalized headword
dbia325,9444,bhāța,unique normalized headword
dbia326,11480,vāța-,homonym disambiguated by gloss
dbia327,9203,bāņa-,unique normalized headword
dbia329,11547,vāra-,homonym disambiguated by gloss
dbia334,9617,bhēļā,unique normalized headword
dbia335,12101,vetra,unique normalized headword
dbia336,12115,velā-,homonym disambiguated by gloss
dbia337,9455,bhāma,homonym disambiguated by gloss
